OBJECTID_12_13,OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTAre,ShapeSTLen,OBJECTID_1,County_1,State,OBJECTID_12,DEPCODE_1,COUNTYN,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,PUIAgeAvrg,PUIAgeRange,C_AgeAvrg,C_AgeRange,C_AllResTypes,C_NonResDeaths,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUITravelNo,PUITravelUnkn,PUITravelYes,C_ED_NO,C_ED_NoData,C_ED_Yes,C_Hosp_No,C_Hosp_Nodata,C_Hosp_Yes,FLResDeaths,PUILab_Yes,TPositive,TNegative,TInconc,TPending,PUIContNo,PUIContUnkn,PUIContYes,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length
49,49,44,087,MONROE,2000-05-16T00:00:00.000Z,28308543761.6011,4591181.83897766,44,Monroe,FL,49,44,87,347,2,1,24,51,53,66,75,49,16,10,0,0,0,5,5,3,11,6,3,5,0,50,0 to 92,49,19 to 80,33,0,193,148,6,329,18,0,49,249,49,11,17,10,28,3,7,0,266,38,228,0,81,80,106,25,38,21,17,33,5,0,217,11,347,228,38,0,103,98,2629619857.16548,1399292.97354894
50,50,57,113,SANTA ROSA,2000-05-16T00:00:00.000Z,28109274128.0588,1198564.1555946,55,Santa Rosa,FL,50,57,113,479,28,18,45,78,84,85,51,62,25,3,0,2,0,9,8,6,6,7,7,2,0,43,0 to 90,43,0 to 81,47,0,287,191,1,479,0,0,36,416,27,16,20,11,40,0,7,2,477,47,430,0,2,44,3,19,47,27,20,47,0,0,430,0,479,430,47,2,412,175,2596863920.94926,364280.718031263
51,51,66,131,WALTON,2000-05-16T00:00:00.000Z,29260992908.4669,1216747.48888053,67,Walton,FL,51,66,131,145,5,3,14,9,23,28,27,24,9,3,0,0,0,3,1,1,4,3,2,4,1,49,1 to 97,55,20 to 90,12,0,79,63,3,134,11,0,36,82,27,11,1,7,13,1,5,0,145,19,126,0,0,16,35,12,19,7,12,12,7,0,122,4,145,126,19,0,22,17,2708101782.46999,370154.781284707
52,52,32,063,JACKSON,2000-05-16T00:00:00.000Z,26457674355.9754,735287.597926583,32,Jackson,FL,52,32,63,96,0,0,11,19,13,16,16,8,9,3,1,0,0,0,3,1,0,0,0,0,0,48,18 to 88,32,28 to 38,3,0,56,33,7,94,2,0,16,66,14,3,0,1,4,0,0,0,85,4,81,0,11,18,5,7,4,1,3,3,1,0,80,1,96,81,4,0,7,4,2452499072.79567,223828.324060307
53,53,67,133,WASHINGTON,2000-05-16T00:00:00.000Z,17212291868.187,801011.879871898,68,Washington,FL,53,67,133,55,0,1,2,8,11,8,11,9,4,1,0,0,0,0,0,0,1,0,0,0,0,51,5 to 86,53,53 to 53,1,0,29,16,10,55,0,0,16,33,6,0,1,0,0,0,1,0,49,1,48,0,6,18,2,2,1,1,0,1,0,0,48,0,55,48,1,0,9,9,1594396648.51196,243766.072259733
54,54,45,089,NASSAU,2000-05-16T00:00:00.000Z,17668341931.5773,1275144.97327404,45,Nassau,FL,54,45,89,230,2,4,11,39,41,28,48,32,19,6,0,0,0,1,2,3,2,3,5,0,0,50,1 to 92,52,24 to 73,16,0,137,83,10,228,2,0,13,203,14,6,5,5,13,0,3,0,230,16,214,0,0,15,6,10,16,7,9,16,0,0,212,2,230,214,16,0,20,17,1641620662.32831,388721.737801268
55,55,22,043,GLADES,2000-05-16T00:00:00.000Z,27470534483.1281,776973.436241095,22,Glades,FL,55,22,43,7,0,0,0,0,1,1,1,2,1,1,0,0,0,0,0,0,0,0,1,1,1,64,39 to 89,79,67 to 89,3,0,2,5,0,7,0,0,3,4,0,0,1,2,0,0,3,1,7,3,4,0,0,0,1,2,3,2,1,3,0,0,4,0,7,4,3,1,2,1,2551976411.00452,236757.936928168
56,56,8,015,CHARLOTTE,2000-05-16T00:00:00.000Z,19647662652.4031,1306868.96108577,8,Charlotte,FL,56,8,15,397,8,9,19,27,44,52,65,98,48,25,2,1,0,1,3,1,7,4,12,5,4,56,0 to 96,62,0 to 94,38,0,224,161,12,395,2,0,17,374,6,11,24,3,13,21,4,0,392,38,354,0,5,15,1,11,38,13,24,38,0,0,353,1,397,354,38,0,72,61,1825525431.11919,398247.923422686
57,57,58,115,SARASOTA,2000-05-16T00:00:00.000Z,16244595346.2406,866480.222854252,56,Sarasota,FL,57,58,115,1024,12,10,48,87,90,132,146,181,195,123,0,1,0,4,6,6,14,13,25,29,12,60,0 to 99,64,4 to 99,100,0,564,452,8,994,30,0,378,598,48,41,16,53,59,5,46,7,1013,110,902,1,11,295,73,91,110,51,58,100,10,0,885,18,1024,903,110,7,217,137,1509311882.53409,264158.506465067
58,58,14,027,DESOTO,2000-05-16T00:00:00.000Z,17811561535.2703,552611.74528102,14,Desoto,FL,58,14,27,132,3,1,7,27,16,9,24,19,21,5,0,0,0,0,4,0,0,3,0,0,1,53,2 to 91,49,27 to 91,8,0,78,53,1,132,0,0,49,82,1,4,0,4,5,0,3,1,128,8,120,0,4,8,65,16,8,6,2,8,0,0,120,0,132,120,8,1,3,1,1654926851.96404,168390.780925558
