OBJECTID_12_13,OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTAre,ShapeSTLen,OBJECTID_1,County_1,State,OBJECTID_12,DEPCODE_1,COUNTYN,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length
1,1,21,041,GILCHRIST,2000-05-16T00:00:00.000Z,9908353355.45099,487300.011359113,21,Gilchrist,FL,1,21,41,137,4,2,17,18,26,16,23,15,13,3,0,0 to 89,45,85,52,0,137,0,0,4,131,9,2,6,131,0,0,137,3,3,0,6,0,0,0,0,3,1,2,0,0,0,0,36 to 56,46,4,0,0,2,0,3,3,1,0,1,0,0,0,6,3,3,6,0,0,131,0,137,131,6,0,2,2,920490830.042053,148547.348006441
2,2,54,107,PUTNAM,2000-05-16T00:00:00.000Z,23058687375.9514,762967.677232753,54,Putnam,FL,2,54,107,868,23,35,77,128,119,137,146,95,79,24,5,0 to 118,48,506,323,39,865,3,0,57,699,120,15,43,822,0,3,862,23,20,0,43,0,8,2,5,5,9,4,8,2,0,0,6 to 82,47,29,14,0,0,0,41,2,12,0,8,0,0,1,43,20,23,43,0,0,819,3,868,822,43,1,63,32,2142439482.67719,232574.925675008
3,3,62,123,TAYLOR,2000-05-16T00:00:00.000Z,28917470565.3829,877252.709451284,62,Taylor,FL,3,62,123,130,11,5,5,13,24,20,23,16,11,2,0,0 to 118,48,71,52,7,130,0,0,8,121,31,3,1,129,0,0,130,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,29 to 29,29,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,129,0,130,129,1,0,11,8,2685252568.13834,267348.178950349
4,4,46,091,OKALOOSA,2000-05-16T00:00:00.000Z,25621585036.2256,1087058.00438284,46,Okaloosa,FL,4,46,91,1356,51,38,89,204,211,201,232,157,105,66,2,0 to 118,48,845,472,39,1338,17,1,75,1167,118,51,104,1239,1,12,1326,57,43,0,100,1,1,2,16,11,11,19,18,16,9,0,3 to 96,59,78,11,5,6,7,86,7,31,1,17,0,0,1,104,46,58,99,4,1,1226,13,1356,1239,104,1,291,163,2369222670.29688,330553.160278386
5,5,7,013,CALHOUN,2000-05-16T00:00:00.000Z,16048085397.4672,631344.00909672,7,Calhoun,FL,5,7,13,63,1,2,7,9,10,8,8,8,9,1,0,0 to 88,47,34,27,2,63,0,0,3,56,4,3,5,58,0,0,63,3,2,0,5,0,0,1,1,0,1,0,1,0,1,0,20 to 88,47,1,4,0,0,0,5,0,4,0,2,0,0,0,5,2,3,5,0,0,58,0,63,58,5,0,27,18,1487626835.10838,192207.890331272
6,6,50,099,PALM BEACH,2000-05-16T00:00:00.000Z,61491591969.0616,1522726.89747538,50,Palm Beach,FL,6,50,99,11260,147,178,748,1519,1646,1822,1895,1591,1088,585,41,0 to 110,52,6300,4802,158,11142,116,2,180,10720,565,128,1740,9331,112,77,10957,839,836,15,1690,5,9,107,184,229,265,274,291,250,123,3,0 to 104,57,633,185,128,744,208,700,782,381,20,294,13,2,103,1740,863,862,1688,50,2,9267,64,11260,9331,1740,103,683,492,5710098601.29486,464192.459734082
7,7,56,111,ST. LUCIE,2000-05-16T00:00:00.000Z,16149484820.9557,829518.692770346,59,St. Lucie,FL,7,56,111,2026,33,42,130,255,315,360,342,289,189,71,0,0 to 99,51,1186,768,72,2021,5,0,138,1773,197,52,165,1819,1,41,1979,96,67,0,163,0,0,10,13,21,22,32,32,24,11,0,18 to 96,60,102,34,9,18,23,120,20,68,0,49,0,0,8,165,68,97,163,2,0,1816,3,2026,1819,165,8,71,62,1499679486.67142,252832.323289834
8,8,51,101,PASCO,2000-05-16T00:00:00.000Z,21260807285.8637,739390.643597644,51,Pasco,FL,8,51,101,3675,66,85,248,477,570,659,666,527,279,94,4,0 to 102,50,2241,1422,12,3650,25,0,104,3396,221,82,177,3470,6,22,3622,85,85,0,170,1,1,15,20,40,35,29,28,5,3,0,1 to 94,48,116,14,30,10,45,111,14,59,3,36,2,0,3,177,89,88,170,7,0,3452,18,3675,3470,177,3,363,222,1975344274.45807,225211.500752162
9,9,20,039,GADSDEN,2000-05-16T00:00:00.000Z,14744963472.2481,673612.426077503,20,Gadsden,FL,9,20,39,229,6,7,23,40,40,44,33,26,7,2,1,0 to 90,43,145,82,2,227,1,1,1,192,26,6,38,191,0,0,228,25,12,0,37,0,0,3,8,9,8,6,3,1,0,0,20 to 81,43,3,16,0,18,0,16,21,1,0,3,0,0,0,38,12,26,36,1,1,191,0,229,191,38,0,58,32,1367889846.39806,205127.330650714
10,10,37,073,LEON,2000-05-16T00:00:00.000Z,19584016138.2098,807989.691181563,37,Leon,FL,10,37,73,2003,48,40,271,373,333,333,313,199,69,23,1,0 to 95,43,1142,801,60,1990,12,1,41,1825,118,48,150,1846,2,5,1984,81,63,2,146,0,2,21,32,27,24,27,15,0,2,0,9 to 86,43,66,51,5,24,10,110,26,42,3,21,1,0,0,150,64,84,145,4,1,1838,8,2003,1846,150,0,270,189,1817477697.41779,246081.909627491
11,11,33,065,JEFFERSON,2000-05-16T00:00:00.000Z,17033402669.7849,749466.142282919,33,Jefferson,FL,11,33,65,74,2,2,2,9,15,11,18,7,3,4,1,1 to 95,51,46,27,1,71,3,0,3,46,18,5,13,60,0,1,70,5,6,0,11,0,0,1,1,1,1,1,3,2,3,0,22 to 95,67,4,5,1,1,1,7,3,3,2,3,0,0,1,13,8,5,11,2,0,59,1,74,60,13,1,37,24,1581350101.5302,228391.565390175
12,12,40,079,MADISON,2000-05-16T00:00:00.000Z,19954266828.3091,719422.161444634,40,Madison,FL,12,40,79,125,18,7,8,15,17,18,12,16,11,3,0,0 to 89,42,68,55,2,122,3,0,11,95,26,3,14,110,0,1,121,8,5,0,13,2,0,2,2,1,2,2,2,1,0,0,0 to 77,46,5,4,0,4,1,8,4,3,0,1,0,0,0,14,5,9,13,1,0,108,2,125,110,14,0,44,16,1853116752.08771,219176.19751538
13,13,39,077,LIBERTY,2000-05-16T00:00:00.000Z,23545304208.6892,1014156.81652576,39,Liberty,FL,13,39,77,28,1,2,2,8,5,3,4,2,1,0,0,2 to 76,36,13,13,2,28,0,0,1,26,2,0,2,26,0,0,28,0,2,0,2,0,0,0,1,0,0,1,0,0,0,0,29 to 56,42,2,0,0,0,0,2,0,1,0,0,0,0,0,2,2,0,2,0,0,26,0,28,26,2,0,9,9,2183538740.41838,308797.501184753
14,14,24,047,HAMILTON,2000-05-16T00:00:00.000Z,14477960107.7779,763034.416582444,24,Hamilton,FL,14,24,47,77,1,1,11,10,11,7,15,12,7,2,0,0 to 93,51,40,31,6,75,2,0,8,63,12,2,2,74,0,1,75,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,56 to 62,59,2,0,0,0,0,2,0,1,0,0,0,0,0,2,0,2,2,0,0,73,1,77,74,2,0,2,0,1344926537.82205,232510.619937192
15,15,3,005,BAY,2000-05-16T00:00:00.000Z,20842319162.9517,1834701.30277606,3,Bay,FL,15,3,5,626,7,11,45,92,97,134,108,76,40,16,0,0 to 99,49,326,253,47,624,2,0,27,579,46,27,38,588,0,0,624,16,21,0,37,0,0,2,7,7,10,5,6,0,1,0,21 to 93,47,24,5,3,5,6,24,7,13,1,5,1,0,2,38,22,16,37,1,0,587,1,626,588,38,2,31,27,1930770661.49939,558412.990825665
16,16,12,023,COLUMBIA,2000-05-16T00:00:00.000Z,22266487302.2026,905417.470831242,12,Columbia,FL,16,12,23,466,19,23,37,57,77,62,92,62,25,9,3,0 to 118,48,248,198,20,461,5,0,108,320,89,17,28,430,0,8,455,14,13,0,27,1,0,2,5,2,3,10,3,2,0,0,1 to 79,58,22,3,1,1,4,21,2,0,0,4,0,0,0,28,14,14,27,1,0,428,2,466,430,28,0,8,7,2068684690.43686,276060.430857214
