"county","as of","cases","deaths","url","notes","tested","pending","negative","positive","inconclusive","positives-travel","Locally Acquired (person to person or community spread)","Known Contact Positives","Community Transmission Positives","unknown/under investigation","recovered","Hospitalized","hospitalized-status","ICU","ICU-status","federal quarantine","Non-Resident Positive Tests","PUI (travelers + others)","travelers completed monitoring","for map?","updated","more granular data avaialble?","race data?"
"San Diego","4/14/2020 17:12:42","1930","53","https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/community_epidemiology/dc/2019-nCoV/status.html","","27048","","","","","","","","","","","450","","164","","","","","","","","x","x"
"San Joaquin","4/14/2020 17:13:13","335","17","http://www.sjcphs.org/","","","","","","","","","","","","","","","","","","","","","","","x",""
"San Luis Obispo","4/14/2020 17:14:36","120","1","https://www.emergencyslo.org/en/positive-case-details.aspx","Testing numbers don't include private labs positives or negatives.","749","","","","","","","","","","101","3","current","2","current","","","","","","","x",""
"Santa Barbara","4/14/2020 17:15:33","313","2","https://publichealthsbc.org/","","1885","","1569","313","3","","","","","","124","40","current","15","current","","","","","","","x",""
"Shasta","4/14/2020 17:16:02","25","3","https://www.co.shasta.ca.us/index/hhsa/health-safety/current-heath-concerns/coronavirus","Numbers are in a video report.","","","721","25","","","","","","","6","","","","","","","","","","","",""
"Sierra","4/14/2020 17:16:13","0","0","http://www.sierracounty.ca.gov/582/Coronavirus-COVID-19","","10","0","10","0","","","","","","","","","","","","","","","","","","",""
"Siskiyou","4/14/2020 17:17:24","5","0","https://www.co.siskiyou.ca.us/publichealth","","188","3","180","5","","","","","","","3","","","","","","","","","","","",""
"Stanislaus","4/14/2020 17:17:45","163","4","http://schsa.org/publichealth/pages/corona-virus/","","","","2540","","","","","","","","77","","","","","","","","","","","x",""
"Sutter","4/14/2020 21:30:30","24","2","https://www.suttercounty.org/doc/government/depts/cao/em/coronavirus","Yuba and Sutter appear to report together to a certain extent. Testing is reported together, so I'm placing it in sutter/","1055","197","","","","","","","","","3","3/1","ever/currently","","","","","","","","","",""
"Tehama","4/14/2020 17:18:20","1","0","https://www.tehamacohealthservices.net/","","","","167","","","","","","","","","","","","","","","","","","","",""
"Trinity","4/10/2020 16:53:00","0","0","https://www.trinitycounty.org/Public-Health","","58","","58","","","","","","","","","","","","","","","","","","","",""
"Tulare","4/14/2020 17:18:50","296","13","https://tchhsa.org/eng/index.cfm/public-health/covid-19-updates-novel-coronavirus/","","","","","","","","","","","","15","","","","","","","","","","","x",""
"Tuolumne","4/14/2020 17:19:29","1","0","https://www.tuolumnecounty.ca.gov/250/Public-Health","","332","3","328","1","","","","","","","","","","","","","1","","","","","",""
"Ventura","4/14/2020 17:20:10","317","10","https://www.vcemergency.com/","","5806","","","","","","","","","","133","64","ever","22","ever","","","","","","","x",""
"Yolo","4/14/2020 17:20:53","102","4","https://www.yolocounty.org/health-human-services/adults/communicable-disease-investigation-and-control/novel-coronavirus-2019","","1085","","","","","","","","","","","21","ever","","","","","","","","","",""
"Yuba","4/14/2020 21:31:00","15","1","https://www.yuba.org/coronavirus/","Yuba and Sutter appear to report together to a certain extent, and info is easier to find on the Sutter county website.","","","","","","","","","","","8","","ever/currently","","","","","","","","","",""
