ï»¿FID,IACountyID,FIPS,Name,State,Confirmed,Recovered,Deaths,last_updated,Country,pop_est_2018,SHAPE_Length,SHAPE_Area
50,14,19027,Carroll,IA,6,,0,2020/05/08 15:59:59,USA,20154,1.6197601288418,0.160534308640552
51,37,19073,Greene,IA,13,,0,2020/05/08 15:59:59,USA,8981,1.62157185711836,0.160866715753459
52,8,19015,Boone,IA,33,,0,2020/05/08 15:59:59,USA,26346,1.62489466407202,0.161510465217336
53,85,19169,Story,IA,54,,1,2020/05/08 15:59:59,USA,98105,1.62511481218105,0.161547069415365
54,64,19127,Marshall,IA,701,,3,2020/05/08 15:59:59,USA,39981,1.62374952565441,0.161426130789666
55,23,19045,Clinton,IA,53,,1,2020/05/08 15:59:59,USA,46518,2.24361687403991,0.199530757525027
56,16,19031,Cedar,IA,39,,1,2020/05/08 15:59:59,USA,18627,1.63234594510688,0.163181818164524
57,43,19085,Harrison,IA,17,,0,2020/05/08 15:59:59,USA,14134,2.15390456644706,0.196078880287994
58,83,19165,Shelby,IA,16,,0,2020/05/08 15:59:59,USA,11578,1.74937315948455,0.165599269790057
59,5,19009,Audubon,IA,9,,0,2020/05/08 15:59:59,USA,5506,1.50015453828969,0.124202963325951
60,39,19077,Guthrie,IA,32,,0,2020/05/08 15:59:59,USA,10720,1.72265090697959,0.16608372356967
61,52,19103,Johnson,IA,546,,6,2020/05/08 15:59:59,USA,151260,1.84505285201546,0.174467390391056
62,25,19049,Dallas,IA,654,,5,2020/05/08 15:59:59,USA,90180,1.68881467047954,0.165695923991871
63,48,19095,Iowa,IA,27,,0,2020/05/08 15:59:59,USA,16141,1.64529790199185,0.164521602033462
64,77,19153,Polk,IA,2150,,54,2020/05/08 15:59:59,USA,487204,1.79851653423037,0.165798164756224
65,79,19157,Poweshiek,IA,78,,5,2020/05/08 15:59:59,USA,18699,1.64560614400894,0.164235421919034
66,50,19099,Jasper,IA,235,,6,2020/05/08 15:59:59,USA,37147,1.89209025622817,0.205206542990887
67,82,19163,Scott,IA,276,,8,2020/05/08 15:59:59,USA,173283,1.9042879308868,0.131101028674465
68,70,19139,Muscatine,IA,446,,18,2020/05/08 15:59:59,USA,42929,1.64834850784657,0.125418794469062
69,78,19155,Pottawattamie,IA,76,,2,2020/05/08 15:59:59,USA,93533,2.67014056132483,0.26717770427201
70,15,19029,Cass,IA,1,,0,2020/05/08 15:59:59,USA,12930,1.60199838221897,0.157431037196136
71,92,19183,Washington,IA,155,,7,2020/05/08 15:59:59,USA,22141,1.65656170409436,0.158972056822445
72,1,19001,Adair,IA,3,,0,2020/05/08 15:59:59,USA,7063,1.61086976908435,0.158860246110915
73,54,19107,Keokuk,IA,7,,0,2020/05/08 15:59:59,USA,10225,1.62594763010153,0.161616444275989
