ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,Chart_MedAge
1,1,21,041,GILCHRIST,Gilchrist,FL,291,7,7,29,45,39,45,48,35,26,10,0,0 to 118,48,179,109,3,291,0,0,4,285,2,12,1,6,285,0,0,291,6,0,0,0,4,2,0,6,0,0,0,1,1,2,2,0,0,0,0,25 to 61,50,5,1,0,0,0,6,0,1,0,0,0,0,0,6,2,4,6,0,0,285,0,291,285,6,0,12,1,920490830.042053,148547.348006441,50
2,2,54,107,PUTNAM,Putnam,FL,2283,45,66,209,317,298,363,344,284,225,127,5,0 to 118,50,1480,760,43,2278,5,0,70,2071,133,196,17,120,2158,1,4,2273,76,44,0,0,73,47,0,120,0,11,13,13,19,18,10,18,10,8,0,6 to 98,47,69,48,3,0,2,116,2,29,0,17,0,0,4,120,47,73,120,0,0,2153,5,2279,2158,120,4,91,28,2142439482.67719,232574.925675008,42
3,3,62,123,TAYLOR,Taylor,FL,260,21,11,13,36,36,35,44,37,20,6,1,0 to 118,48,127,109,24,260,0,0,14,227,3,65,3,3,257,0,0,260,3,0,0,0,3,0,0,3,0,0,0,1,0,1,1,0,0,0,0,29 to 60,47,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,3,0,0,257,0,260,257,3,0,19,2,2685252568.13834,267348.178950349,47
4,4,46,091,OKALOOSA,Okaloosa,FL,3116,101,68,249,523,512,444,514,345,205,124,31,0 to 119,46,1877,1205,34,2989,126,1,92,2827,137,174,59,165,2949,1,1,2988,88,70,3,4,82,76,0,158,2,3,5,22,21,21,32,28,20,11,0,0 to 96,57,125,26,6,1,26,131,1,47,1,26,0,0,5,165,80,85,157,7,1,2830,119,3115,2949,165,5,432,160,2369222670.29688,330553.160278386,58
5,5,7,013,CALHOUN,Calhoun,FL,194,1,3,15,25,33,24,22,24,30,16,1,0 to 99,51,117,72,5,194,0,0,3,166,4,18,3,24,168,1,1,192,12,12,0,0,20,4,0,24,0,0,2,2,3,1,2,3,5,6,0,20 to 99,72,11,6,1,6,0,18,6,9,0,4,0,0,0,24,4,20,24,0,0,168,0,193,168,24,0,54,21,1487626835.10838,192207.890331272,52
6,6,50,099,PALM BEACH,Palm Beach,FL,38955,531,659,2465,4603,4843,5788,7101,5871,3748,1993,1353,0 to 115,54,21642,17135,178,38514,439,2,472,37509,465,1586,157,3615,35052,224,64,38232,3418,127,64,6,1735,1809,1,3545,18,41,283,469,519,545,580,484,411,261,4,0 to 104,53,1659,604,385,897,827,1734,984,780,25,590,15,9,229,3615,1849,1765,3543,70,2,34687,365,38891,35052,3615,229,704,441,5710098601.29486,464192.459734082,55
7,7,56,111,ST. LUCIE,St. Lucie,FL,4326,81,94,275,524,579,724,775,678,414,173,9,0 to 102,53,2507,1699,120,4236,90,0,224,3768,188,489,69,275,3993,4,54,4178,245,17,13,0,153,109,0,262,2,4,19,25,41,37,45,45,33,24,0,3 to 97,57,158,61,19,24,36,197,29,103,0,78,0,0,25,275,114,161,262,13,0,3916,77,4272,3993,275,25,73,58,1499679486.67142,252832.323289834,58
8,8,51,101,PASCO,Pasco,FL,7417,120,155,519,915,1078,1241,1324,1090,677,291,7,0 to 119,52,4454,2936,27,7372,45,0,130,7006,223,390,89,291,7099,6,21,7345,240,43,7,1,151,132,0,283,5,6,24,33,59,60,41,38,14,11,0,1 to 94,48,184,33,39,27,60,191,32,77,3,57,2,1,9,291,136,155,283,8,0,7062,37,7396,7099,291,9,532,183,1975344274.45807,225211.500752162,48
9,9,20,039,GADSDEN,Gadsden,FL,819,20,26,75,110,133,161,129,104,48,12,1,0 to 97,48,515,294,10,815,3,1,10,707,46,116,9,123,694,0,2,815,115,7,1,0,80,42,0,122,1,2,8,16,26,33,18,12,7,0,0,4 to 83,47,18,70,2,32,4,78,40,22,0,23,0,0,0,123,42,81,121,1,1,693,1,817,694,123,0,155,64,1367889846.39806,205127.330650714,45
10,10,37,073,LEON,Leon,FL,5397,95,133,616,910,822,881,951,666,211,94,18,0 to 116,46,2936,2339,122,5318,78,1,89,5028,201,255,62,249,5136,3,9,5307,226,9,13,1,129,106,0,235,1,3,34,51,40,42,48,23,4,3,0,2 to 87,44,96,116,7,16,15,200,20,66,8,33,8,5,6,249,114,135,234,14,1,5072,64,5388,5136,249,6,424,183,1817477697.41779,246081.909627491,43
11,11,33,065,JEFFERSON,Jefferson,FL,202,7,4,8,18,34,27,41,28,22,12,1,0 to 96,55,124,74,4,199,3,0,5,135,41,56,6,28,174,0,0,199,6,20,2,0,13,13,0,26,0,0,1,1,1,3,7,7,4,4,0,22 to 95,66,11,11,4,0,3,21,2,4,2,7,0,0,2,28,15,13,26,2,0,173,1,202,174,28,2,43,9,1581350101.5302,228391.565390175,66
12,12,40,079,MADISON,Madison,FL,513,34,24,49,51,63,60,63,79,51,32,7,0 to 99,50,318,187,8,497,16,0,20,402,53,204,6,61,448,0,4,493,23,34,4,0,33,24,0,57,2,0,6,4,7,7,13,10,4,8,0,0 to 98,57,19,34,1,3,1,45,11,8,0,4,0,0,3,61,25,36,57,4,0,436,12,509,448,61,3,94,25,1853116752.08771,219176.19751538,56
13,13,39,077,LIBERTY,Liberty,FL,1509,2,4,98,480,388,297,177,46,8,1,8,0 to 89,38,51,1455,3,1509,0,0,1,1468,1,37,0,196,1313,0,0,1509,194,2,0,0,3,192,1,196,0,0,10,51,51,48,32,4,0,0,0,20 to 73,41,94,75,3,24,2,64,130,3,0,0,0,0,0,196,192,3,196,0,0,1313,0,1509,1313,196,0,19,6,2183538740.41838,308797.501184753,49
