ï»¿OBJECTID_12,OBJECTID,COUNTY,COUNTY_LAB,Region,Shape_Leng,OBJECTID_1,COUNTY_1,NEW_CASES,TOTAL_CASES,NEW_DEATHS,TOTAL_DEATHS,PROBABLE_DEATHS,Number_of_Facilities___Cumulati,Cumulative_COVID_Cases_Reported,Cumulative_COVID_Cases_Report_1,Cumulative_COVID_deaths_Reporte,Cumulative_COVID_deaths_Repor_1,Facilities_with_Active_Outbreak,Active_COVID_Cases_Reported_by_,Active_COVID_Cases_Reported_by1,Active_COVID_deaths_Reported_by,Active_COVID_deaths_Reported__1,SHAPE_Length,SHAPE_Area
1,1,ATLANTIC,Atlantic County,South,650227.599305,1,ATLANTIC,22,3109,0,221,15,17,694,323,155,1,9,633,263,138,1,2.05447812147641,0.16559498041373
2,2,BERGEN,Bergen County,North,443324.34793,2,BERGEN,17,19979,2,1766,268,64,3297,1740,928,11,50,2975,1543,818,11,1.39387886623887,0.0664519051933741
3,3,BURLINGTON,Burlington County,South,788903.854872,3,BURLINGTON,22,5440,2,416,42,30,1421,798,295,5,25,1314,729,264,4,2.44002736600597,0.223724841246765
4,4,CAMDEN,Camden County,South,495006.578775,4,CAMDEN,25,7818,0,501,56,32,1329,500,305,3,28,1312,483,304,3,1.5543030516609,0.0620009389436172
5,5,CAPE MAY,Cape May County,South,514564.340282,5,CAPE MAY,3,752,0,78,4,12,238,185,52,0,9,148,95,29,0,1.58994162990645,0.0772352247636285
6,6,CUMBERLAND,Cumberland County,South,704221.618565,6,CUMBERLAND,9,3075,0,140,13,7,388,253,66,1,6,284,224,39,1,2.21365547167372,0.135867606809924
7,7,ESSEX,Essex County,North,344556.352028,7,ESSEX,15,19105,1,1838,255,48,2174,1055,557,20,27,1493,737,377,14,1.10531082341503,0.0358568237634079
8,8,GLOUCESTER,Gloucester County,South,560696.852574,8,GLOUCESTER,12,2820,0,190,7,17,702,271,143,3,12,617,234,120,3,1.80429807369917,0.0914749371966451
9,9,HUDSON,Hudson County,North,381356.570663,9,HUDSON,13,19261,1,1313,185,15,1009,586,254,8,14,940,564,226,8,1.22502437377172,0.0142321908375888
10,10,HUNTERDON,Hunterdon County,Central,561755.697692,10,HUNTERDON,2,1101,0,70,56,5,216,179,37,2,5,216,179,37,2,1.78512935993174,0.120468851107817
11,11,MERCER,Mercer County,Central,484092.889323,11,MERCER,15,7844,3,565,43,25,1201,615,344,4,16,977,507,283,4,1.5501420715373,0.0627676690792756
12,12,MONMOUTH,Monmouth County,Central,733254.571341,13,MONMOUTH,14,9649,0,746,101,54,1885,913,509,7,33,1249,665,365,7,2.30128897653111,0.133191124803161
13,13,OCEAN,Ocean County,Central,722804.023315,15,OCEAN,23,9940,1,933,73,52,1992,936,518,4,26,1478,679,373,1,2.1761306129879,0.206732780359718
14,14,PASSAIC,Passaic County,North,492850.749337,16,PASSAIC,15,17167,3,1079,158,27,1351,800,414,16,18,907,570,287,7,1.56336840982204,0.0550131927088685
15,15,SALEM,Salem County,South,664540.959975,17,SALEM,6,830,0,74,5,6,185,117,62,0,5,172,111,56,0,2.08307712712064,0.0942680106180723
16,16,SOMERSET,Somerset County,Central,541586.64384,18,SOMERSET,10,5070,1,472,82,33,1074,709,297,8,30,1017,689,276,7,1.71686776703541,0.0839848419907746
17,17,SUSSEX,Sussex County,North,525986.641842,19,SUSSEX,3,1243,0,158,37,9,260,155,110,4,6,254,127,108,3,1.69177740640281,0.14878204079266
18,18,UNION,Union County,North,321814.207051,20,UNION,10,16546,1,1165,179,29,1494,742,475,11,29,1494,742,475,11,1.05870542897882,0.0290675390089666
19,19,WARREN,Warren County,North,554859.389117,21,WARREN,1,1273,0,154,17,9,413,136,123,1,6,256,103,78,1,1.7507652347905,0.100311884632681
20,20,MORRIS,Morris County,North,750263.075351,14,MORRIS,14,6952,0,669,157,45,1461,739,494,3,19,702,376,249,1,2.40809246203369,0.133188921848586
21,21,MIDDLESEX,Middlesex County,Central,505626.031639,12,MIDDLESEX,17,17174,1,1177,221,42,1739,906,512,8,42,1739,906,512,8,1.62072838209013,0.0871537443231625
