County,Cases,Deaths,Recovered,ReportDate
TULSA,6243,84,4898,2020-07-18
OKLAHOMA,6195,77,4616,2020-07-18
CLEVELAND,1670,40,1299,2020-07-18
TEXAS,1007,7,993,2020-07-18
MCCURTAIN,680,13,532,2020-07-18
CANADIAN,652,4,488,2020-07-18
COMANCHE,591,9,474,2020-07-18
PAYNE,526,2,461,2020-07-18
WASHINGTON,490,39,424,2020-07-18
WAGONER,458,19,342,2020-07-18
ROGERS,435,10,296,2020-07-18
GRADY,302,5,218,2020-07-18
DELAWARE,288,19,214,2020-07-18
MCCLAIN,286,4,233,2020-07-18
CREEK,267,9,199,2020-07-18
MUSKOGEE,246,14,154,2020-07-18
OSAGE,246,9,193,2020-07-18
BRYAN,226,1,156,2020-07-18
CADDO,223,11,187,2020-07-18
OTTAWA,219,2,141,2020-07-18
OKMULGEE,216,0,122,2020-07-18
CARTER,213,3,169,2020-07-18
JACKSON,211,3,62,2020-07-18
POTTAWATOMIE,201,5,138,2020-07-18
MAYES,177,5,101,2020-07-18
ADAIR,168,4,133,2020-07-18
GARFIELD,160,2,110,2020-07-18
CHEROKEE,148,1,119,2020-07-18
KAY,146,9,113,2020-07-18
GARVIN,145,3,118,2020-07-18
CHOCTAW,136,1,120,2020-07-18
STEPHENS,125,1,80,2020-07-18
LOGAN,119,1,81,2020-07-18
CUSTER,107,0,75,2020-07-18
PONTOTOC,100,2,66,2020-07-18
MCINTOSH,99,1,81,2020-07-18
LE FLORE,86,1,50,2020-07-18
PITTSBURG,86,3,68,2020-07-18
PAWNEE,84,3,66,2020-07-18
SEMINOLE,83,4,47,2020-07-18
SEQUOYAH,83,3,65,2020-07-18
GREER,71,7,58,2020-07-18
KINGFISHER,60,0,43,2020-07-18
NOBLE,58,1,46,2020-07-18
LINCOLN,58,2,38,2020-07-18
LOVE,55,0,48,2020-07-18
MARSHALL,50,0,41,2020-07-18
ATOKA,42,0,35,2020-07-18
NOWATA,41,1,37,2020-07-18
CRAIG,37,0,26,2020-07-18
PUSHMATAHA,37,0,19,2020-07-18
BEAVER,32,0,32,2020-07-18
TILLMAN,32,1,25,2020-07-18
MURRAY,29,0,26,2020-07-18
BECKHAM,27,0,17,2020-07-18
LATIMER,25,1,14,2020-07-18
JOHNSTON,23,0,15,2020-07-18
BLAINE,23,0,17,2020-07-18
OKFUSKEE,23,0,16,2020-07-18
HUGHES,22,1,14,2020-07-18
HASKELL,21,0,15,2020-07-18
JEFFERSON,20,0,17,2020-07-18
KIOWA,18,1,14,2020-07-18
WOODWARD,18,0,14,2020-07-18
MAJOR,16,1,13,2020-07-18
COAL,16,0,11,2020-07-18
WASHITA,12,0,6,2020-07-18
WOODS,12,0,8,2020-07-18
COTTON,12,2,7,2020-07-18
DEWEY,7,0,4,2020-07-18
GRANT,4,0,2,2020-07-18
HARMON,4,0,2,2020-07-18
ROGER MILLS,3,0,0,2020-07-18
HARPER,2,0,1,2020-07-18
ALFALFA,1,0,1,2020-07-18
ELLIS,1,0,1,2020-07-18
CIMARRON,1,0,1,2020-07-18
