ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,897,26,27,105,118,125,136,130,111,80,39,0,0 to 118,49,502,386,9,897,0,0,29,700,2,227,4,201,696,0,0,897,175,26,0,0,83,117,1,201,8,9,29,33,31,33,26,16,13,3,0,0 to 94,40,145,16,17,23,33,138,30,13,0,3,0,0,0,201,117,83,201,0,0,2673,0,2879,2673,201,0,320,303,,1.42926667229121,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,4099,90,179,449,620,525,619,661,460,315,168,13,0 to 118,48,2475,1557,67,4091,8,0,130,3639,133,703,22,926,3169,1,3,4087,527,399,0,0,460,434,32,926,21,85,168,166,138,119,109,59,40,19,2,0 to 100,36,438,256,102,130,170,604,152,149,0,89,0,0,8,926,434,460,926,0,0,8734,8,9674,8742,926,8,243,174,,2.24642787374222,0.19954202112213
3,3,62,123,TAYLOR,Taylor,FL,1108,35,36,121,170,154,150,182,153,77,26,4,0 to 118,47,633,450,25,1100,8,0,34,795,3,356,28,200,908,0,0,1100,165,33,2,0,110,88,0,198,0,8,42,48,34,23,24,9,10,2,0,6 to 91,35,94,69,21,14,27,149,22,35,0,10,0,0,2,200,88,112,198,2,0,2006,6,2213,2012,200,2,466,365,,2.58429378620819,0.251180544250225
4,4,46,091,OKALOOSA,Okaloosa,FL,8437,234,195,831,1328,1210,1105,1213,912,769,597,43,0 to 119,48,5001,3346,90,8285,151,1,306,7038,137,932,102,1753,6659,0,25,8261,1597,136,15,5,935,763,35,1733,22,51,324,376,268,229,200,132,86,62,3,0 to 103,38,921,161,133,518,277,834,622,159,3,92,1,0,12,1753,772,946,1732,20,1,18948,131,20852,19079,1753,12,1830,1400,,3.21429590024741,0.223073367593869
5,5,7,013,CALHOUN,Calhoun,FL,713,10,15,64,74,107,102,123,102,76,40,0,0 to 99,53,423,275,15,713,0,0,21,467,4,177,9,199,511,0,3,710,183,16,0,0,127,72,0,199,1,6,24,24,20,23,28,25,25,23,0,1 to 99,55,154,16,16,13,12,167,20,29,0,20,0,0,7,199,72,127,199,0,0,1380,0,1586,1380,199,7,376,314,,1.88103049327488,0.139649278946295
6,6,50,099,PALM BEACH,Palm Beach,FL,85443,1404,2218,7546,11431,10944,12157,13838,11753,8120,4405,1627,0 to 119,52,46380,38742,321,84557,884,2,4611,71751,465,15273,486,25045,60027,175,196,84191,24582,218,239,6,12599,12118,83,24800,424,922,3654,4742,4130,3743,3152,1891,1315,1043,29,0 to 105,41,9205,3905,3488,8202,7093,9001,8706,3083,42,2225,27,14,666,25045,12246,12713,24798,245,2,181776,635,207855,182411,25045,666,7197,6932,,4.37197700721313,0.517626395458035
7,7,56,111,ST. LUCIE,St. Lucie,FL,13430,253,330,1088,1772,1787,2104,2231,1924,1232,669,40,0 to 119,51,7781,5371,278,13282,148,0,807,10611,188,2703,98,3500,9702,7,221,13054,3377,107,16,0,1894,1546,44,3484,61,134,476,637,570,586,450,304,167,107,8,0 to 104,42,1110,624,355,1395,667,1197,1620,334,2,259,2,1,79,3500,1555,1901,3484,16,0,28403,129,32076,28532,3500,79,2301,2286,,2.4043656096016,0.13681239009026
8,8,51,101,PASCO,Pasco,FL,18225,359,475,1762,2463,2570,2886,2992,2525,1508,655,30,0 to 119,49,10313,7800,112,18137,88,0,898,14780,223,3151,165,4769,13402,2,52,18083,4633,113,22,1,2384,2305,57,4746,74,137,780,903,778,747,585,417,224,123,1,0 to 105,41,2628,308,471,1339,788,2364,1594,535,9,329,4,1,42,4769,2316,2396,4746,23,0,46739,65,51612,46804,4769,42,3420,2868,,2.21152384171728,0.18173091103068
9,9,20,039,GADSDEN,Gadsden,FL,3402,67,141,292,564,588,581,506,410,161,89,3,0 to 119,45,2281,1103,18,3382,19,1,71,2920,46,551,22,779,2621,1,1,3381,744,29,6,0,475,290,8,773,15,50,97,142,162,129,79,53,33,18,1,0 to 98,39,229,297,39,208,111,411,251,132,0,81,0,0,10,779,290,481,772,6,1,7119,13,7928,7132,779,10,596,401,,2.03339191693402,0.128633605861004
10,10,37,073,LEON,Leon,FL,15325,227,404,2500,2581,2170,2197,2324,1817,708,355,42,0 to 119,43,7976,7204,145,15067,257,1,410,13751,201,1344,117,2884,12425,2,14,15052,2791,38,52,3,1487,1316,26,2829,23,109,1144,566,324,271,259,121,41,16,10,0 to 105,26,816,831,125,1057,185,1244,1400,179,13,74,11,7,10,2884,1343,1515,2828,55,1,40039,198,43200,40237,2884,10,1298,880,,2.42861632663576,0.170704044186268
