ï»¿FID,OBJECTID,COUNTY,COUNTY_LAB,Region,OBJECTID_1,COUNTY_1,NEW_CASES,TOTAL_CASES,NEW_DEATHS,TOTAL_DEATHS,Number_of_Facilities,Number_COVID_Cases_Confirmed,Total_Number_of_COVID_Deaths_,SHAPE_Length,SHAPE_Area
1,1,ATLANTIC,Atlantic County,South,1,ATLANTIC,23,1533,5,77,13,642,66,2.05447812147641,0.16559498041373
2,2,BERGEN,Bergen County,North,2,BERGEN,69,17028,3,1358,63,4076,799,1.39387886623887,0.0664519051933741
3,3,BURLINGTON,Burlington County,South,3,BURLINGTON,92,3665,2,200,25,1483,167,2.44002736600597,0.223724841246765
4,4,CAMDEN,Camden County,South,4,CAMDEN,91,4959,3,227,25,1078,173,1.5543030516609,0.0620009389436172
5,5,CAPE MAY,Cape May County,South,5,CAPE MAY,6,462,Â 0,32,7,248,24,1.58994162990645,0.0772352247636285
6,6,CUMBERLAND,Cumberland County,South,6,CUMBERLAND,77,1363,4,40,5,248,20,2.21365547167372,0.135867606809924
7,7,ESSEX,Essex County,North,7,ESSEX,77,15602,3,1426,46,2520,508,1.10531082341503,0.0358568237634079
8,8,GLOUCESTER,Gloucester County,South,8,GLOUCESTER,36,1690,2,83,12,494,72,1.80429807369917,0.0914749371966451
9,9,HUDSON,Hudson County,North,9,HUDSON,111,16936,2,971,15,1094,177,1.22502437377172,0.0142321908375888
10,10,HUNTERDON,Hunterdon County,Central,10,HUNTERDON,9,723,Â 0,45,4,287,27,1.78512935993174,0.120468851107817
11,11,MERCER,Mercer County,Central,11,MERCER,76,5393,7,340,22,1262,236,1.5501420715373,0.0627676690792756
12,12,MONMOUTH,Monmouth County,Central,13,MONMOUTH,92,6988,2,445,49,1820,331,2.30128897653111,0.133191124803161
13,13,OCEAN,Ocean County,Central,15,OCEAN,106,7569,7,547,45,2026,322,2.1761306129879,0.206732780359718
14,14,PASSAIC,Passaic County,North,16,PASSAIC,106,14645,3,747,25,1430,296,1.56336840982204,0.0550131927088685
15,15,SALEM,Salem County,South,17,SALEM,1,411,Â 0,18,3,44,11,2.08307712712064,0.0942680106180723
16,16,SOMERSET,Somerset County,Central,18,SOMERSET,37,4093,2,335,32,1446,258,1.71686776703541,0.0839848419907746
17,17,SUSSEX,Sussex County,North,19,SUSSEX,7,1033,1,128,5,336,100,1.69177740640281,0.14878204079266
18,18,UNION,Union County,North,20,UNION,115,14164,8,875,29,1812,418,1.05870542897882,0.0290675390089666
19,19,WARREN,Warren County,North,21,WARREN,3,1047,Â 0,104,7,488,90,1.7507652347905,0.100311884632681
20,20,MORRIS,Morris County,North,14,MORRIS,25,5876,2,518,41,1617,395,2.40809246203369,0.133188921848586
21,21,MIDDLESEX,Middlesex County,Central,12,MIDDLESEX,100,14036,3,794,42,1946,400,1.62072838209013,0.0871537443231625
