ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,803,18,21,93,106,112,123,121,102,71,36,0,0 to 118,49,446,346,11,803,0,0,16,677,2,167,3,122,681,0,0,803,102,20,0,0,33,89,0,122,5,6,20,21,20,23,18,6,3,0,0,0 to 83,39,89,13,15,5,30,83,9,6,0,1,0,0,0,122,89,33,122,0,0,2370,0,2495,2370,122,0,223,206,39,39,1.42926667229121,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,3769,80,144,403,554,471,577,616,447,303,162,12,0 to 118,49,2292,1399,78,3759,10,0,93,3384,133,425,22,566,3200,1,2,3756,312,252,1,1,271,253,40,564,12,52,114,102,80,73,59,42,23,8,1,0 to 98,35,250,198,41,75,87,359,118,77,0,42,0,0,6,566,254,272,564,2,0,6984,8,7559,6992,566,6,208,139,40,35,2.24642787374222,0.19954202112213
3,3,62,123,TAYLOR,Taylor,FL,946,33,20,89,148,124,118,170,143,73,24,4,0 to 118,49,525,390,31,938,8,0,20,764,3,196,28,102,843,1,0,937,81,19,2,0,44,55,1,100,0,2,19,33,18,6,12,4,8,0,0,6 to 84,33,59,12,20,9,26,64,10,20,0,8,0,0,1,102,55,46,100,2,0,1480,6,1590,1486,102,1,263,161,32,33,2.58429378620819,0.251180544250225
4,4,46,091,OKALOOSA,Okaloosa,FL,7592,181,171,656,1147,1096,999,1123,855,747,577,40,0 to 119,50,4555,2986,51,7444,147,1,204,6653,137,625,86,938,6643,0,11,7434,792,130,11,5,493,428,1,922,12,33,157,192,157,125,107,73,53,29,0,0 to 99,39,574,75,74,199,196,482,244,113,3,67,1,0,9,938,437,500,921,16,1,15216,131,16300,15347,938,9,1208,777,43,39,3.21429590024741,0.223073367593869
5,5,7,013,CALHOUN,Calhoun,FL,578,5,4,49,56,83,81,102,87,72,39,0,0 to 99,56,345,215,18,578,0,0,7,449,4,84,5,101,476,0,1,577,85,16,0,0,68,32,1,101,0,0,12,11,8,7,10,11,21,21,0,15 to 99,70,71,12,7,11,9,76,16,15,0,10,0,0,6,101,32,68,101,0,0,904,0,1008,904,101,6,179,117,78,70,1.88103049327488,0.139649278946295
6,6,50,099,PALM BEACH,Palm Beach,FL,77567,1211,1879,6379,9918,9621,10925,12842,11183,7802,4199,1608,0 to 119,53,42189,35068,310,76739,826,2,3401,67185,465,11229,411,17645,59562,185,175,76384,17293,160,179,6,8702,8699,52,17453,302,637,2541,3250,2874,2568,2231,1379,1021,823,12,0 to 105,41,6914,2862,2567,5110,5464,6561,5428,2639,39,1921,25,14,563,17638,8801,8784,17451,185,2,145842,638,164372,146480,17638,563,5473,5208,44,41,4.37197700721313,0.517626395458035
7,7,56,111,ST. LUCIE,St. Lucie,FL,11815,203,272,916,1486,1513,1831,2002,1801,1160,595,36,0 to 119,53,6814,4785,216,11665,150,0,598,9701,188,2024,87,2355,9354,6,100,11559,2253,86,16,0,1275,1049,15,2339,47,84,331,409,374,396,296,210,122,81,5,0 to 102,43,801,375,204,959,473,799,1067,277,1,204,2,1,54,2355,1059,1281,2339,16,0,23009,134,25510,23143,2355,54,1541,1526,46,43,2.4043656096016,0.13681239009026
8,8,51,101,PASCO,Pasco,FL,16340,315,418,1500,2134,2267,2582,2742,2362,1397,593,30,0 to 119,50,9320,6932,88,16260,80,0,562,14057,223,1975,141,3007,13292,2,39,16219,2915,74,14,1,1504,1455,30,2989,52,91,541,590,503,457,352,261,112,45,0,0 to 99,39,1583,196,278,932,514,1392,1083,351,5,194,4,1,26,3004,1464,1510,2989,15,0,37851,65,40937,37916,3004,26,2741,2189,43,39,2.21152384171728,0.18173091103068
9,9,20,039,GADSDEN,Gadsden,FL,3087,54,108,238,511,527,540,481,395,148,83,2,0 to 119,47,2115,961,11,3069,17,1,53,2731,46,436,17,474,2611,1,1,3068,458,12,4,0,313,157,0,470,5,22,45,89,101,88,52,39,21,12,0,0 to 98,41,170,179,25,96,66,295,109,104,0,72,0,0,7,474,157,317,469,4,1,5962,13,6461,5975,474,7,498,304,43,41,2.03339191693402,0.128633605861004
10,10,37,073,LEON,Leon,FL,14323,201,356,2205,2397,2044,2088,2193,1762,687,348,42,0 to 119,44,7410,6762,151,14072,250,1,270,13175,201,984,104,1912,12399,2,10,14061,1846,17,45,3,949,885,29,1863,13,66,849,379,201,163,134,68,19,9,10,0 to 105,25,473,476,60,854,94,811,958,129,11,60,9,7,8,1911,909,973,1862,48,1,33223,202,35414,33425,1911,8,1029,610,30,25,2.42861632663576,0.170704044186268
