County,Cases,Deaths,Recovered,ReportDate
TULSA,4365,71,3294,2020-07-07
OKLAHOMA,3819,70,2719,2020-07-07
CLEVELAND,1157,40,859,2020-07-07
TEXAS,997,6,982,2020-07-07
MCCURTAIN,569,9,400,2020-07-07
COMANCHE,457,7,393,2020-07-07
PAYNE,452,1,350,2020-07-07
WASHINGTON,431,39,367,2020-07-07
CANADIAN,387,3,275,2020-07-07
WAGONER,331,19,238,2020-07-07
ROGERS,262,7,161,2020-07-07
MCCLAIN,216,4,159,2020-07-07
GRADY,206,5,135,2020-07-07
CADDO,200,11,174,2020-07-07
DELAWARE,199,17,138,2020-07-07
OSAGE,187,8,160,2020-07-07
CREEK,185,7,141,2020-07-07
MUSKOGEE,153,12,93,2020-07-07
CARTER,140,2,91,2020-07-07
BRYAN,136,1,89,2020-07-07
ADAIR,129,4,110,2020-07-07
POTTAWATOMIE,121,4,99,2020-07-07
OTTAWA,120,2,67,2020-07-07
CHOCTAW,120,1,107,2020-07-07
KAY,113,7,86,2020-07-07
OKMULGEE,104,0,56,2020-07-07
MAYES,102,5,76,2020-07-07
CHEROKEE,95,1,78,2020-07-07
GARVIN,94,2,69,2020-07-07
GARFIELD,84,2,63,2020-07-07
STEPHENS,70,1,55,2020-07-07
MCINTOSH,69,1,53,2020-07-07
LOGAN,67,1,44,2020-07-07
CUSTER,67,0,53,2020-07-07
PITTSBURG,67,3,54,2020-07-07
GREER,66,7,57,2020-07-07
PAWNEE,60,2,50,2020-07-07
JACKSON,53,3,32,2020-07-07
SEQUOYAH,52,3,33,2020-07-07
PONTOTOC,51,2,36,2020-07-07
NOBLE,48,1,35,2020-07-07
SEMINOLE,46,3,33,2020-07-07
MARSHALL,41,0,31,2020-07-07
LOVE,39,0,34,2020-07-07
LE FLORE,39,1,29,2020-07-07
LINCOLN,37,2,29,2020-07-07
NOWATA,37,1,34,2020-07-07
KINGFISHER,36,0,24,2020-07-07
BEAVER,32,0,32,2020-07-07
ATOKA,29,0,16,2020-07-07
TILLMAN,25,1,23,2020-07-07
MURRAY,23,0,18,2020-07-07
CRAIG,22,0,20,2020-07-07
BLAINE,18,0,16,2020-07-07
PUSHMATAHA,17,0,11,2020-07-07
OKFUSKEE,16,0,14,2020-07-07
LATIMER,15,1,9,2020-07-07
WOODWARD,15,0,11,2020-07-07
KIOWA,14,1,8,2020-07-07
JOHNSTON,13,0,12,2020-07-07
BECKHAM,13,0,8,2020-07-07
HASKELL,13,0,10,2020-07-07
HUGHES,13,0,10,2020-07-07
JEFFERSON,13,0,6,2020-07-07
COAL,10,0,7,2020-07-07
COTTON,8,2,4,2020-07-07
WOODS,8,0,5,2020-07-07
MAJOR,8,1,7,2020-07-07
WASHITA,6,0,3,2020-07-07
DEWEY,4,0,4,2020-07-07
HARMON,3,0,0,2020-07-07
GRANT,2,0,2,2020-07-07
ELLIS,1,0,1,2020-07-07
CIMARRON,1,0,1,2020-07-07
ALFALFA,1,0,1,2020-07-07
HARPER,1,0,1,2020-07-07
