ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,759,15,16,83,102,107,116,117,98,69,36,0,0 to 118,50,429,318,12,759,0,0,9,672,2,95,2,86,673,0,0,759,69,17,0,0,20,66,0,86,2,4,12,17,17,16,14,3,1,0,0,0 to 79,38,57,10,15,4,24,57,5,3,0,0,0,0,0,86,66,20,86,0,0,2071,0,2160,2071,86,0,135,118,39,,1.42926667229121,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,3478,72,118,327,496,431,545,590,429,298,161,11,0 to 118,50,2186,1251,41,3470,8,0,87,3148,133,318,22,242,3233,1,2,3467,146,96,0,0,142,100,0,242,4,25,35,32,34,35,29,24,17,7,0,2 to 98,41,119,111,11,1,12,225,5,45,0,28,0,0,6,242,100,142,242,0,0,5113,8,5364,5121,242,6,185,116,40,,2.24642787374222,0.19954202112213
3,3,62,123,TAYLOR,Taylor,FL,894,33,19,78,133,114,112,163,142,73,23,4,0 to 118,50,492,371,31,886,8,0,16,763,3,146,28,69,824,1,0,885,57,11,1,0,22,46,0,68,0,1,13,23,13,2,8,3,6,0,0,6 to 84,32,43,4,18,3,26,39,3,17,0,6,0,0,0,69,46,23,68,1,0,1289,7,1367,1296,69,0,160,58,32,,2.58429378620819,0.251180544250225
4,4,46,091,OKALOOSA,Okaloosa,FL,7070,162,150,553,1032,1007,925,1080,818,732,571,40,0 to 119,51,4288,2742,40,6926,143,1,156,6433,137,408,75,436,6633,0,1,6926,317,108,6,5,214,211,0,425,6,19,48,89,73,57,63,40,26,15,0,0 to 96,42,331,45,40,9,134,283,8,93,2,56,1,0,6,436,219,217,424,11,1,11046,132,11623,11178,436,6,949,518,43,,3.21429590024741,0.223073367593869
5,5,7,013,CALHOUN,Calhoun,FL,558,6,4,46,52,81,78,94,84,72,40,1,0 to 99,56,335,205,18,558,0,0,4,461,4,56,5,88,470,0,0,558,72,16,0,0,66,22,0,88,1,0,9,9,7,5,5,8,21,23,0,0 to 99,74,52,10,0,26,1,56,31,11,0,7,0,0,6,88,22,66,88,0,0,687,0,777,687,88,6,113,51,78,,1.88103049327488,0.139649278946295
6,6,50,099,PALM BEACH,Palm Beach,FL,70541,1044,1585,5179,8521,8478,9937,12017,10707,7515,3949,1609,0 to 119,54,38690,31549,302,69769,770,2,2398,63212,465,8012,358,11180,59020,192,149,69433,10906,145,123,6,5517,5497,37,11051,159,388,1427,1923,1782,1692,1483,967,777,568,14,0 to 104,44,4656,1943,1822,2630,3842,4472,2737,2149,35,1591,23,13,476,11180,5571,5572,11049,129,2,113324,638,125379,113962,11180,476,3264,2999,44,,4.37197700721313,0.517626395458035
7,7,56,111,ST. LUCIE,St. Lucie,FL,10435,179,213,708,1271,1286,1598,1821,1696,1090,541,32,0 to 119,54,5991,4232,212,10288,147,0,427,9019,188,1276,74,1249,9098,5,83,10200,1163,75,11,0,651,584,3,1238,26,39,141,223,182,210,174,125,75,54,0,0 to 99,45,431,217,107,483,201,489,548,215,1,153,2,0,42,1249,589,657,1238,11,0,18382,136,19773,18518,1249,42,498,483,46,,2.4043656096016,0.13681239009026
8,8,51,101,PASCO,Pasco,FL,14076,273,334,1078,1682,1897,2229,2481,2178,1323,572,29,0 to 119,52,8217,5816,43,14000,76,0,272,13021,223,888,112,954,13095,2,25,13973,889,54,10,1,499,444,0,943,18,25,156,159,158,159,120,100,37,21,1,0 to 94,42,562,101,113,167,193,558,192,169,4,110,3,1,17,954,450,504,943,11,0,27743,65,28774,27808,954,17,1523,971,43,,2.21152384171728,0.18173091103068
9,9,20,039,GADSDEN,Gadsden,FL,2935,49,94,210,491,502,516,465,384,141,81,2,0 to 119,47,2036,887,12,2917,17,1,39,2663,46,336,15,329,2603,1,2,2915,316,9,4,0,233,92,0,325,3,9,20,68,75,64,37,28,15,10,0,0 to 98,43,131,139,15,40,39,232,54,66,0,58,0,0,6,329,92,237,324,4,1,5117,13,5465,5130,329,6,402,208,43,,2.03339191693402,0.128633605861004
10,10,37,073,LEON,Leon,FL,13005,190,308,1584,2128,1907,1987,2116,1736,676,342,31,0 to 119,46,6749,6127,129,12770,234,1,191,12141,201,637,92,596,12379,3,27,12741,554,10,31,1,299,265,0,564,3,21,210,103,69,68,69,38,11,4,0,0 to 91,29,196,285,20,63,39,453,72,93,11,44,9,7,8,596,281,315,563,32,1,22762,202,23565,22964,596,8,813,394,30,,2.42861632663576,0.170704044186268
11,11,33,065,JEFFERSON,Jefferson,FL,570,12,13,22,44,78,80,117,121,65,17,1,0 to 101,58,340,225,5,565,5,0,7,489,41,79,7,38,532,0,0,565,15,21,2,0,21,15,0,36,1,1,2,3,5,4,7,7,4,4,0,1 to 95,58,10,19,7,0,5,30,1,7,2,9,0,0,4,38,17,21,36,2,0,982,3,1024,985,38,4,76,38,58,,2.20493093525027,0.148496656229977
12,12,40,079,MADISON,Madison,FL,1112,48,40,95,126,142,151,166,180,108,49,7,0 to 99,51,710,396,6,1089,23,0,26,913,53,276,15,143,968,1,0,1088,89,50,4,0,86,53,0,139,5,5,16,15,23,19,32,12,5,11,0,0 to 98,48,33,90,10,6,8,107,24,27,0,4,0,1,3,143,54,89,139,4,0,1589,19,1753,1608,143,3,281,179,50,,2.16969163731198,0.174026330045279
13,13,39,077,LIBERTY,Liberty,FL,2215,3,4,158,690,561,398,267,93,28,5,8,0 to 92,38,169,2037,9,2215,0,0,1,2000,1,83,0,220,1995,0,0,2215,217,3,0,0,5,215,0,220,0,0,13,58,55,54,35,5,0,0,0,20 to 73,41,115,97,5,3,7,132,81,5,0,1,0,0,1,220,215,5,220,0,0,2084,0,2306,2084,220,1,40,15,41,,3.02097391492398,0.204641327093244
14,14,24,047,HAMILTON,Hamilton,FL,1993,15,24,160,537,414,320,240,168,69,42,4,0 to 118,41,446,1520,27,1987,6,0,33,1871,9,307,5,304,1688,0,1,1986,293,8,2,1,51,250,0,301,4,7,30,86,64,55,44,11,3,0,0,0 to 84,39,136,135,28,2,50,106,145,28,1,8,0,0,2,304,252,52,301,3,0,2223,3,2531,2226,304,2,16,14,39,,2.3015236652275,0.126367835513063
