OBJECTID,CNTYNAME,CNTYFIPS,ADPHDistrict,CONFIRMED,DIED,Shape__Area,Shape__Length,GlobalID,LabTestCount
26525,Tallapoosa,01123,East Central,261,17,0.191182308914904,2.16459004269042,188395e4-6dcb-44a2-9656-a913863e93eb,1149
26526,Colbert,01033,Northern,23,2,0.15857369348987,2.31239229125845,2481e93f-7055-4885-a8f2-8f63547b1caa,602
26527,Greene,01063,West Central,44,0,0.164666965815741,3.57766804402764,4c03ae20-01f0-40ac-a3e1-a0072f2b726f,110
26528,Jefferson,01073,Jefferson,797,33,0.282606031405749,2.91318939557353,8e6e1c05-c010-475e-bc34-5d256549df99,9677
26529,Lawrence,01079,Northern,12,0,0.182392737623559,1.92975383451283,2ba6c8a5-3088-4f0b-a813-f0f744042c03,237
26530,Montgomery,01101,East Central,274,4,0.198182172648103,2.60770290702687,e8012bbd-8aae-4973-aedf-8d1bef47a719,1962
26531,Russell,01113,East Central,53,0,0.160426072907967,2.13411394127528,ce39ec12-067c-4cfa-9beb-14d31cc28bea,346
26532,Sumter,01119,West Central,51,1,0.227210820567734,3.07842876540608,125d66d6-4d0c-450b-aff0-a6937a95fc22,162
26533,Morgan,01103,Northern,55,0,0.152203319983528,1.80617511452274,ff2b3749-3511-44e5-8989-3e7a056f8c3d,833
26534,Shelby,01117,Northeastern,294,7,0.202879219246825,2.52559193618872,afad3dfd-9fb8-411a-ba42-09cac9769517,2369
26535,St. Clair,01115,Northeastern,63,0,0.164611790120262,2.46182521198285,aa9b6f2c-41df-4242-a80d-a9bae0ba3141,638
26536,Bibb,01007,West Central,34,0,0.156476914356972,1.8951692775798,b24fcb56-7bca-4287-aae2-726778eb7e62,401
26537,Coffee,01031,Southeastern,87,0,0.167143203828118,1.67989540600381,04513d72-2147-4392-82f1-075f41eb8308,480
26538,DeKalb,01049,Northeastern,61,2,0.197848401841384,2.21695752803772,46c7eb5b-a2f2-49df-95cc-becd69babbb5,735
26539,Geneva,01061,Southeastern,6,0,0.141768015065281,1.83488097279248,1ff25b70-3e04-430d-bce4-8552f512c38e,126
26540,Bullock,01011,East Central,12,0,0.154671563531792,2.06480197165101,da0edb97-e077-4d64-99cc-8e040a7ae54e,78
26541,Butler,01013,Southeastern,21,0,0.191776547733298,1.83587954870993,3379e45e-518c-4f37-ab30-fb5932b93cb8,151
26542,Cleburne,01029,Northeastern,12,1,0.141259985723536,2.17578212063938,803b21bb-5dc8-4134-8674-d8c2dc51d42f,53
26543,Mobile,01097,Mobile,845,40,0.307697348295278,4.83629332281426,39777d4d-c485-4e42-b28f-88d9fdc2822e,4402
26544,Monroe,01099,Southwestern,11,1,0.254517578378227,2.83753802882174,1601540f-1e45-41c7-9026-0a39fe436ed3,129
26545,Talladega,01121,Northeastern,54,2,0.190828489604655,2.7296175303427,de096836-420b-4f9d-9714-4cb1b42b369c,745
