ï»¿FID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,681,12,12,73,84,91,99,109,96,69,36,0,0 to 118,52,413,257,11,681,0,0,8,641,2,43,1,26,655,0,0,681,25,1,0,0,12,14,0,26,1,0,5,3,3,4,7,2,1,0,0,1 to 79,46,19,1,2,4,2,21,3,2,0,0,0,0,0,26,14,12,26,0,0,1269,0,1296,1269,26,0,63,46,50,1.42926667229121,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,3428,69,112,314,490,425,542,582,425,297,161,11,0 to 118,50,2165,1221,42,3420,8,0,75,3118,133,274,22,191,3234,1,2,3417,119,72,0,0,119,72,0,191,1,19,21,26,29,31,21,20,16,7,0,3 to 98,43,103,79,9,0,8,181,2,43,0,25,0,0,6,191,72,119,191,0,0,4573,8,4773,4581,191,6,182,113,42,2.24642787374222,0.19954202112213
3,3,62,123,TAYLOR,Taylor,FL,878,33,19,77,129,111,112,158,141,71,23,4,0 to 118,50,485,362,31,870,8,0,16,759,3,134,23,59,818,1,0,869,47,11,1,0,19,39,0,58,0,1,12,20,10,2,7,3,4,0,0,6 to 84,32,38,3,15,2,21,34,3,11,0,6,0,0,0,59,39,20,58,1,0,1176,7,1244,1183,59,0,143,41,47,2.58429378620819,0.251180544250225
4,4,46,091,OKALOOSA,Okaloosa,FL,6934,162,143,525,1002,983,908,1065,809,729,569,39,0 to 119,52,4231,2661,42,6793,140,1,133,6400,137,325,69,337,6597,0,0,6794,232,97,4,4,179,150,0,329,6,17,26,62,53,46,53,35,25,14,0,0 to 96,45,263,39,19,8,96,225,8,81,2,49,1,0,6,337,155,182,328,8,1,9697,132,10173,9829,337,6,769,364,58,3.21429590024741,0.223073367593869
5,5,7,013,CALHOUN,Calhoun,FL,532,5,4,43,47,78,74,90,83,71,36,1,0 to 99,56,317,197,18,532,0,0,4,441,4,54,3,66,466,0,0,532,49,17,0,0,51,15,0,66,0,0,6,4,4,2,3,7,20,20,0,20 to 99,78,47,11,0,8,0,53,13,12,0,6,0,0,5,66,15,51,66,0,0,641,0,709,641,66,5,94,32,52,1.88103049327488,0.139649278946295
6,6,50,099,PALM BEACH,Palm Beach,FL,68111,1010,1498,4755,8083,8066,9590,11718,10529,7396,3868,1598,0 to 119,55,37450,30384,277,67350,759,2,2074,62093,465,6627,341,9015,58760,196,140,67019,8755,142,112,6,4436,4453,8,8897,132,321,1044,1493,1399,1387,1225,831,677,500,6,0 to 104,45,3877,1628,1439,1953,3030,3799,2068,1915,31,1413,22,13,429,9015,4520,4487,8895,118,2,98665,638,108553,99303,9015,429,2069,1804,55,4.37197700721313,0.517626395458035
7,7,56,111,ST. LUCIE,St. Lucie,FL,10027,167,197,646,1196,1231,1531,1782,1655,1071,520,31,0 to 119,55,5760,4056,211,9880,147,0,391,8806,188,1110,73,926,9019,4,78,9798,840,75,11,0,484,430,1,915,16,26,84,159,132,155,139,97,67,51,0,0 to 97,48,334,184,82,315,129,421,365,192,1,136,2,0,36,926,435,490,915,11,0,16577,136,17644,16713,926,36,225,210,58,2.4043656096016,0.13681239009026
8,8,51,101,PASCO,Pasco,FL,13491,261,322,959,1579,1811,2133,2406,2135,1299,558,28,0 to 119,53,7899,5550,42,13416,75,0,201,12751,223,625,107,543,12928,2,18,13396,484,48,10,1,290,242,0,532,9,17,68,74,96,98,71,71,22,17,0,0 to 94,46,331,75,72,54,114,351,67,117,4,91,3,1,15,543,248,295,532,11,0,23581,64,24198,23645,543,15,968,417,48,2.21152384171728,0.18173091103068
9,9,20,039,GADSDEN,Gadsden,FL,2905,49,91,207,487,497,510,458,383,140,81,2,0 to 119,47,2020,872,13,2887,17,1,31,2659,46,311,15,305,2599,1,0,2887,292,9,4,0,222,79,0,301,3,6,18,65,71,60,31,27,14,10,0,0 to 98,43,121,128,15,37,32,219,50,56,0,52,0,0,4,305,79,226,300,4,1,4819,13,5143,4832,305,4,365,171,45,2.03339191693402,0.128633605861004
10,10,37,073,LEON,Leon,FL,12825,187,295,1481,2105,1896,1979,2110,1724,675,342,31,0 to 119,47,6649,6045,131,12591,233,1,162,12088,201,521,87,474,12334,3,14,12575,433,10,30,1,237,206,0,443,2,13,128,91,63,63,68,32,10,4,0,0 to 91,36,152,252,11,28,22,384,37,85,11,46,9,7,8,474,222,252,442,31,1,20534,202,21215,20736,474,8,699,281,43,2.42861632663576,0.170704044186268
