OBJECTID,CNTYNAME,CNTYFIPS,ADPHDistrict,CONFIRMED,DIED,Shape__Area,Shape__Length,GlobalID,LabTestCount
27022,Autauga,01001,East Central,37,2,0.150198352049983,2.1379328255407,ae25d97d-efdf-4e7b-8a3b-fdde964f1370,623
27023,Escambia,01053,Southwestern,22,1,0.233446648119298,2.50306921694382,f2449f8f-ed4a-414d-ba48-4186589de97c,296
27024,Marshall,01095,Northern,279,5,0.158193819913322,2.22984018931076,ab2fe37b-6903-44bb-9f50-08145b5c17a0,1609
27025,Pickens,01107,West Central,46,1,0.22311596802615,2.22345505777214,6689a84a-1abe-4eb6-966b-cc47b17eb7f8,333
27026,Clay,01027,Northeastern,19,1,0.151874743437702,2.02332180215824,842f1b4f-27cb-4217-a2a4-32d69db49988,189
27027,Lauderdale,01077,Northern,27,2,0.184043571131042,2.55716948814366,a7019f3a-7e48-4efa-b21c-c85111e7b457,1260
27028,Calhoun,01015,Northeastern,90,3,0.154366224232035,2.21070839394633,eb4e3891-a57f-408d-9e77-e603c37e770b,1077
27029,Chambers,01017,East Central,284,18,0.150563980768084,1.72306516183319,efe577b8-8fc0-4c39-9b19-68f2775b8fe6,911
27030,Jackson,01071,Northern,45,2,0.287410215888713,2.67694940746419,d8a5dd01-cc3f-47c0-bf7f-e2fd4fdcaeaf,847
27031,Pike,01109,Southeastern,58,0,0.166038209106773,2.23104055343355,f27094e0-3f2e-449c-a79b-ef0f2623c91e,533
27032,Dale,01045,Southeastern,25,0,0.138259666605563,1.65151999951547,3abcbfde-d5c6-4729-bd5e-d2edb73caac9,262
27033,Madison,01089,Northern,210,4,0.207245811581288,2.4192510631746,9c990023-a209-482b-98f1-b68e9b91f166,4687
27034,Washington,01129,Southwestern,20,1,0.26740407070929,2.63236527422465,f9a7cf9b-63fd-4ecc-a56a-d074ac9a39d5,147
27035,Wilcox,01131,Southwestern,53,1,0.224284362669096,2.68126387368409,518f06ae-a7f8-49d4-87ff-c43c48ff7bdf,179
27036,Limestone,01083,Northern,41,0,0.155003206122046,1.71814668265853,e23fc328-ef8f-45f2-8bd2-bdb40daec9a8,967
27037,Winston,01133,Northern,10,0,0.159972008442992,1.68720534678178,d0e70e03-b29b-4033-ac47-38a49d618527,306
27038,Bullock,01011,East Central,12,0,0.154671563531792,2.06480197165101,506ed155-955e-440d-9384-2fb25db04eb6,88
27039,Butler,01013,Southeastern,28,0,0.191776547733298,1.83587954870993,e759810a-b6da-466e-97d7-3739db1c3b3a,195
27040,Cleburne,01029,Northeastern,12,1,0.141259985723536,2.17578212063938,bbc87908-03fe-4c3a-8a50-309559cc4c82,73
27041,Mobile,01097,Mobile,888,40,0.307697348295278,4.83629332281426,3c2d2ec3-4913-4dcd-8ec9-0ecb9ffd9c1e,6269
27042,Monroe,01099,Southwestern,11,1,0.254517578378227,2.83753802882174,65006707-6c81-4d46-b70e-c753b4c330b2,148
27043,Talladega,01121,Northeastern,55,2,0.190828489604655,2.7296175303427,d4d3e63d-9daa-4087-855b-c6523010bc32,969
27044,Barbour,01005,Southeastern,33,0,0.223267704174077,2.69097505269632,2c1fd646-3c3d-4e58-9de6-c8abdc713a33,230
27045,Chilton,01021,West Central,49,1,0.174837510280213,2.09165532433194,48597e6b-e01d-4fd4-b2be-126891dc66ba,469
27046,Etowah,01055,Northeastern,123,8,0.138757597037284,2.10053621990475,442f0771-7921-4d7a-a959-e1d31a8d7684,1018
