OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length
1,1,21,041,GILCHRIST,Gilchrist,FL,210,5,3,21,34,33,32,36,24,17,5,0,0 to 98,47,131,78,1,210,0,0,3,205,2,11,1,4,205,0,1,209,4,0,0,0,2,2,0,4,0,0,0,0,1,2,1,0,0,0,0,38 to 56,50,4,0,0,0,0,4,0,0,0,0,0,0,0,4,2,2,4,0,0,205,0,210,205,4,0,12,3,920490830.042053,148547.348006441
2,2,54,107,PUTNAM,Putnam,FL,1208,30,45,121,178,170,188,198,132,106,34,6,0 to 118,47,714,453,41,1205,3,0,64,1007,133,160,16,83,1122,0,3,1202,44,39,0,0,48,35,0,83,0,11,11,9,15,13,8,13,3,0,0,6 to 82,42,45,37,1,0,1,80,2,25,0,13,0,0,1,83,35,48,83,0,0,1119,3,1208,1122,83,1,84,38,2142439482.67719,232574.925675008
3,3,62,123,TAYLOR,Taylor,FL,197,19,8,7,25,31,24,33,29,16,4,1,0 to 118,48,100,78,19,197,0,0,11,181,3,46,3,3,192,0,2,195,3,0,0,0,3,0,0,3,0,0,0,1,0,1,1,0,0,0,0,29 to 60,47,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,3,0,0,192,0,197,192,3,0,19,9,2685252568.13834,267348.178950349
4,4,46,091,OKALOOSA,Okaloosa,FL,2115,78,55,148,316,338,309,355,261,157,93,5,0 to 118,48,1310,769,36,2040,74,1,84,1869,137,160,56,149,1955,0,11,2030,83,59,3,4,77,65,0,142,1,3,4,20,18,16,30,27,19,11,0,3 to 96,59,109,21,12,0,18,123,1,43,1,24,0,0,3,149,69,80,141,7,1,1888,67,2115,1955,149,3,369,170,2369222670.29688,330553.160278386
5,5,7,013,CALHOUN,Calhoun,FL,103,1,2,9,16,22,12,14,11,14,1,1,0 to 88,45,55,46,2,103,0,0,3,96,4,5,3,6,97,0,0,103,4,2,0,0,4,2,0,6,0,0,1,1,0,1,1,1,0,1,0,20 to 88,52,2,4,0,0,0,6,0,5,0,2,0,0,0,6,2,4,6,0,0,97,0,103,97,6,0,27,0,1487626835.10838,192207.890331272
6,6,50,099,PALM BEACH,Palm Beach,FL,22677,268,347,1414,2744,2990,3610,4210,3075,1750,990,1279,0 to 115,53,12617,9910,150,22434,241,2,213,21964,465,762,140,2614,19738,269,56,22115,2432,124,52,6,1267,1288,1,2556,13,19,180,294,354,402,443,369,323,190,27,0 to 104,56,920,330,185,1121,309,1018,1229,520,24,385,15,3,155,2614,1322,1291,2554,58,2,19559,179,22677,19738,2614,155,685,428,5710098601.29486,464192.459734082
7,7,56,111,ST. LUCIE,St. Lucie,FL,2803,50,62,184,355,428,494,491,390,244,97,8,0 to 99,51,1626,1100,77,2794,9,0,175,2398,188,334,60,225,2528,2,48,2744,203,16,6,0,131,88,0,219,2,2,15,20,32,28,38,41,26,21,0,3 to 97,59,135,49,15,20,31,163,25,90,0,68,0,0,19,225,90,135,219,6,0,2525,3,2803,2528,225,19,72,57,1499679486.67142,252832.323289834
8,8,51,101,PASCO,Pasco,FL,4987,91,105,346,628,758,879,904,723,408,139,6,0 to 102,51,3007,1966,14,4958,29,0,116,4633,223,312,85,233,4722,6,26,4926,190,36,6,1,116,110,0,226,3,5,21,26,48,44,34,36,10,6,0,1 to 94,48,152,22,37,15,54,150,22,72,3,50,2,0,4,233,114,119,226,7,0,4700,22,4987,4722,233,4,418,145,1975344274.45807,225211.500752162
9,9,20,039,GADSDEN,Gadsden,FL,445,14,8,41,72,90,88,61,50,15,5,1,0 to 96,44,280,159,6,443,1,1,9,369,46,71,7,80,365,0,0,444,72,7,1,0,54,25,0,79,0,0,5,14,20,22,12,5,2,0,0,20 to 81,45,8,48,2,21,3,47,29,11,0,13,0,0,0,80,25,55,78,1,1,365,0,445,365,80,0,104,42,1367889846.39806,205127.330650714
10,10,37,073,LEON,Leon,FL,2975,70,64,386,542,495,494,471,295,109,48,1,0 to 97,43,1646,1232,97,2937,37,1,69,2687,201,200,61,208,2757,2,8,2928,185,9,13,1,106,88,0,194,1,2,28,46,37,36,37,16,2,3,0,2 to 87,42,86,84,6,18,13,161,20,56,8,27,8,1,2,208,96,112,193,14,1,2734,23,2975,2757,208,2,351,191,1817477697.41779,246081.909627491
