ï»¿FID,OBJECTID,COUNTY,COUNTY_LAB,Region,OBJECTID_1,COUNTY_1,NEW_CASES,TOTAL_CASES,NEW_DEATHS,TOTAL_DEATHS,Number_of_Facilities,Number_COVID_Cases_Confirmed,Total_Number_of_COVID_Deaths_,SHAPE_Length,SHAPE_Area
1,1,ATLANTIC,Atlantic County,South,1,ATLANTIC,66,1494,4,72,13,633,62,2.05447812147641,0.16559498041373
2,2,BERGEN,Bergen County,North,2,BERGEN,100,16804,20,1348,63,4055,792,1.39387886623887,0.0664519051933741
3,3,BURLINGTON,Burlington County,South,3,BURLINGTON,100,3531,4,194,25,1482,158,2.44002736600597,0.223724841246765
4,4,CAMDEN,Camden County,South,4,CAMDEN,136,4758,18,217,25,1071,171,1.5543030516609,0.0620009389436172
5,5,CAPE MAY,Cape May County,South,5,CAPE MAY,22,442,1,32,7,241,24,1.58994162990645,0.0772352247636285
6,6,CUMBERLAND,Cumberland County,South,6,CUMBERLAND,123,1245,6,34,5,248,19,2.21365547167372,0.135867606809924
7,7,ESSEX,Essex County,North,7,ESSEX,119,15365,15,1414,46,2475,516,1.10531082341503,0.0358568237634079
8,8,GLOUCESTER,Gloucester County,South,8,GLOUCESTER,39,1631,7,79,12,483,68,1.80429807369917,0.0914749371966451
9,9,HUDSON,Hudson County,North,9,HUDSON,160,16675,15,954,15,1089,178,1.22502437377172,0.0142321908375888
10,10,HUNTERDON,Hunterdon County,Central,10,HUNTERDON,7,706,1,46,4,286,27,1.78512935993174,0.120468851107817
11,11,MERCER,Mercer County,Central,11,MERCER,120,5233,8,330,22,1225,228,1.5501420715373,0.0627676690792756
12,12,MONMOUTH,Monmouth County,Central,13,MONMOUTH,67,6815,10,439,49,1750,329,2.30128897653111,0.133191124803161
13,13,OCEAN,Ocean County,Central,15,OCEAN,76,7366,5,522,45,1999,303,2.1761306129879,0.206732780359718
14,14,PASSAIC,Passaic County,North,16,PASSAIC,163,14428,17,734,25,1409,286,1.56336840982204,0.0550131927088685
15,15,SALEM,Salem County,South,17,SALEM,38,400,0Â ,18,3,39,11,2.08307712712064,0.0942680106180723
16,16,SOMERSET,Somerset County,Central,18,SOMERSET,32,3996,3,331,32,1444,269,1.71686776703541,0.0839848419907746
17,17,SUSSEX,Sussex County,North,19,SUSSEX,8,1023,2,127,5,335,97,1.69177740640281,0.14878204079266
18,18,UNION,Union County,North,20,UNION,83,13984,9,852,29,1763,415,1.05870542897882,0.0290675390089666
19,19,WARREN,Warren County,North,21,WARREN,8,1040,4,103,7,477,88,1.7507652347905,0.100311884632681
20,20,MORRIS,Morris County,North,14,MORRIS,69,5833,6,511,41,1625,389,2.40809246203369,0.133188921848586
21,21,MIDDLESEX,Middlesex County,Central,12,MIDDLESEX,149,13759,11,759,42,1902,395,1.62072838209013,0.0871537443231625
