ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,Chart_MedAge
1,1,21,041,GILCHRIST,Gilchrist,FL,307,7,7,30,46,41,45,49,39,31,12,0,0 to 118,49,184,115,8,307,0,0,4,301,2,12,1,6,301,0,0,307,6,0,0,0,4,2,0,6,0,0,0,1,1,2,2,0,0,0,0,25 to 61,50,5,1,0,0,0,6,0,1,0,0,0,0,0,6,2,4,6,0,0,301,0,307,301,6,0,13,1,920490830.042053,148547.348006441,50
2,2,54,107,PUTNAM,Putnam,FL,2317,45,66,210,323,299,366,349,294,227,132,6,0 to 118,50,1498,776,43,2312,5,0,70,2100,133,201,17,125,2188,1,3,2308,81,44,0,0,76,49,0,125,0,11,13,13,19,18,11,19,13,8,0,6 to 98,47,72,49,4,0,2,120,3,29,0,17,0,0,4,125,49,76,125,0,0,2183,5,2314,2188,125,4,91,28,2142439482.67719,232574.925675008,42
3,3,62,123,TAYLOR,Taylor,FL,270,21,11,14,36,37,38,45,39,20,7,2,0 to 118,48,132,114,24,270,0,0,14,237,3,65,3,3,267,0,0,270,3,0,0,0,3,0,0,3,0,0,0,1,0,1,1,0,0,0,0,29 to 60,47,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,3,0,0,267,0,270,267,3,0,19,2,2685252568.13834,267348.178950349,47
4,4,46,091,OKALOOSA,Okaloosa,FL,3141,102,70,251,526,516,447,520,347,207,124,31,0 to 119,46,1894,1213,34,3014,126,1,91,2844,137,177,60,168,2971,1,1,3013,88,73,3,4,85,76,0,161,3,4,5,23,21,21,32,28,20,11,0,0 to 96,57,130,25,6,0,28,133,0,47,1,26,0,0,5,168,80,88,160,7,1,2852,119,3140,2971,168,5,428,141,2369222670.29688,330553.160278386,58
5,5,7,013,CALHOUN,Calhoun,FL,210,1,3,16,25,34,27,27,26,34,16,1,0 to 99,54,123,79,8,210,0,0,3,181,4,18,3,27,182,1,0,209,12,15,0,0,22,5,0,27,0,0,3,3,3,1,2,4,5,6,0,20 to 99,71,12,7,1,7,0,20,7,9,0,4,0,0,0,27,5,22,27,0,0,182,0,210,182,27,0,58,25,1487626835.10838,192207.890331272,52
6,6,50,099,PALM BEACH,Palm Beach,FL,40243,543,677,2573,4744,4984,5966,7315,6082,3923,2085,1351,0 to 115,54,22377,17685,181,39782,459,2,514,38693,465,1752,164,3798,36158,223,64,39501,3600,126,66,6,1811,1910,5,3726,20,43,309,508,554,577,605,495,422,265,0,0 to 104,53,1695,642,416,973,862,1797,1067,818,25,618,15,9,237,3798,1951,1842,3724,72,2,35775,383,40179,36158,3798,237,704,441,5710098601.29486,464192.459734082,55
7,7,56,111,ST. LUCIE,St. Lucie,FL,5082,83,106,308,570,618,818,930,899,541,197,12,0 to 102,55,2897,1994,191,4989,93,0,229,4511,188,502,65,280,4739,4,59,4926,254,17,9,0,158,113,0,271,2,4,20,26,39,39,46,45,35,24,0,3 to 97,57,160,62,20,29,37,200,34,104,0,79,0,0,25,280,116,164,271,9,0,4655,84,5023,4739,280,25,73,58,1499679486.67142,252832.323289834,58
8,8,51,101,PASCO,Pasco,FL,7565,127,163,525,937,1102,1267,1342,1110,688,297,7,0 to 119,52,4553,2985,27,7519,46,0,132,7151,223,394,90,293,7243,6,23,7490,241,43,8,1,152,132,0,284,5,6,24,33,61,60,41,38,14,11,0,1 to 94,48,187,33,39,25,60,194,30,77,3,58,2,1,9,293,137,156,284,9,0,7206,37,7542,7243,293,9,536,180,1975344274.45807,225211.500752162,48
9,9,20,039,GADSDEN,Gadsden,FL,847,20,27,76,114,135,165,139,108,49,13,1,0 to 97,49,531,306,10,843,3,1,10,730,46,120,9,128,718,0,1,844,120,7,1,0,82,45,0,127,1,2,8,17,27,33,20,12,7,1,0,4 to 86,47,18,73,3,33,5,82,40,27,0,27,0,0,0,128,45,83,126,1,1,717,1,846,718,128,0,158,67,1367889846.39806,205127.330650714,45
10,10,37,073,LEON,Leon,FL,5537,100,138,628,922,833,899,978,697,226,98,18,0 to 116,46,3026,2385,126,5449,87,1,90,5165,201,258,62,252,5272,3,10,5437,229,9,13,1,130,108,0,238,1,3,36,51,41,42,48,23,4,3,0,2 to 87,44,96,116,7,19,15,201,22,66,8,33,8,5,6,252,116,136,237,14,1,5199,73,5527,5272,252,6,426,170,1817477697.41779,246081.909627491,43
11,11,33,065,JEFFERSON,Jefferson,FL,206,7,5,9,18,35,28,41,28,22,12,1,0 to 96,55,126,76,4,203,3,0,5,139,41,57,6,28,177,0,1,202,6,20,2,0,13,13,0,26,0,0,1,1,1,3,7,7,4,4,0,22 to 95,66,11,11,4,0,3,21,2,4,2,7,0,0,2,28,15,13,26,2,0,176,1,205,177,28,2,43,9,1581350101.5302,228391.565390175,66
12,12,40,079,MADISON,Madison,FL,522,36,24,49,51,65,61,64,82,51,32,7,0 to 99,50,327,189,6,502,20,0,20,411,53,205,6,61,460,0,1,501,21,36,4,0,33,24,0,57,2,0,6,4,7,7,13,10,4,8,0,0 to 98,57,18,35,1,3,1,45,11,8,0,4,0,1,3,61,25,36,57,4,0,444,16,521,460,61,3,94,23,1853116752.08771,219176.19751538,56
13,13,39,077,LIBERTY,Liberty,FL,1517,2,4,99,482,388,299,178,47,9,1,8,0 to 89,38,56,1459,2,1517,0,0,1,1476,1,38,0,196,1321,0,0,1517,194,2,0,0,4,192,0,196,0,0,10,51,51,48,32,4,0,0,0,20 to 73,41,95,77,4,20,3,67,126,4,0,0,0,0,0,196,192,4,196,0,0,1321,0,1517,1321,196,0,19,6,2183538740.41838,308797.501184753,49
