ï»¿Fecha,TOTAL,Nuevos,HOSPITALIZADO,AISLAMIENTO_DOMICILIARIO,FALLECIDO_,UCI,RECUPERADO,Check,FID
1583798400000,1,1,0,4,0,0,0,,1
1583884800000,8,7,1,6,0,1,0,1,2
1583971200000,14,6,3,9,1,1,0,1,3
1584057600000,27,13,4,21,1,1,0,1,4
1584144000000,36,9,4,30,1,1,0,1,5
1584230400000,43,7,3,37,1,2,0,1,6
1584316800000,55,12,4,44,1,6,0,1,7
1584403200000,69,14,4,57,1,7,0,1,8
1584489600000,86,17,6,71,1,8,0,1,9
1584576000000,109,23,8,91,1,9,0,,10
1584662400000,137,28,11,115,1,10,0,1,11
1584748800000,200,63,17,171,1,11,0,,12
1584835200000,245,45,22,208,3,12,0,,13
1584921600000,313,68,29,268,3,13,0,1,14
1585008000000,345,32,33,289,6,17,0,,15
1585094400000,443,98,45,373,6,19,0,,16
1585180800000,558,115,46,482,8,20,2,1,17
1585267200000,674,116,62,578,9,23,2,1,18
1585353600000,786,112,80,662,14,28,2,,19
1585440000000,901,115,95,753,17,32,4,1,20
1585526400000,989,88,105,820,24,36,4,1,21
1585612800000,1075,86,109,888,26,43,9,1,22
1585699200000,1181,106,123,969,30,50,9,,23
1585785600000,1317,136,135,1078,32,63,9,,24
1585872000000,1475,158,152,1207,37,69,10,1,25
1585958400000,1673,198,141,1406,41,72,13,1,26
1586044800000,1801,128,154,1513,46,75,13,,27
1586131200000,1988,187,163,1680,54,78,13,1,28
1586217600000,2100,112,167,1776,55,88,14,1,29
1586304000000,2249,149,177,1906,59,91,16,1,30
1586390400000,2528,279,194,2154,63,101,16,1,31
1586476800000,2752,224,196,2367,66,107,16,1,32
1586563200000,2974,222,200,2579,74,104,17,1,33
1586649600000,3234,260,213,2817,79,102,23,1,34
1586736000000,3400,166,223,2955,87,106,29,1,35
1586822400000,3472,72,229,2983,94,105,61,1,36
1586908800000,3574,102,230,3071,95,106,72,1,37
1586995200000,3751,177,227,3270,103,106,75,1,38
1587081600000,4016,265,227,3483,109,99,98,1,39
1587168000000,4210,194,247,3631,116,94,122,1,40
1587254400000,4273,63,254,3664,120,95,140,1,41
1587340800000,4467,194,259,3819,126,98,165,1,42
1587427200000,4658,191,266,3954,136,98,204,1,43
1587513600000,4821,163,261,4094,141,94,231,1,44
1587600000000,4992,171,259,4237,144,97,255,1,45
1587686400000,5166,174,270,4393,146,86,271,1,46
1587772800000,5338,172,254,4524,154,87,319,1,47
1587859200000,5538,200,260,4696,159,85,338,1,48
1587945600000,5779,241,251,4906,165,88,369,1,49
1588032000000,6021,242,266,5044,167,89,455,1,50
1588118400000,6200,179,270,5182,176,88,484,1,51
