ï»¿FID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,226,5,4,22,35,33,35,40,28,19,5,0,0 to 98,48,145,80,1,226,0,0,3,221,2,11,1,4,221,0,1,225,4,0,0,0,2,2,0,4,0,0,0,0,1,2,1,0,0,0,0,38 to 56,50,4,0,0,0,0,4,0,0,0,0,0,0,0,4,2,2,4,0,0,221,0,226,221,4,0,12,3,1.42926667229121,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,1464,36,46,143,203,194,235,232,171,133,66,5,0 to 118,49,924,498,42,1461,3,0,68,1256,133,181,16,103,1358,0,3,1458,64,39,0,0,63,40,0,103,0,11,12,13,18,17,9,15,4,4,0,6 to 98,42,61,40,1,1,1,99,3,27,0,13,0,0,1,103,40,63,103,0,0,1355,3,1464,1358,103,1,87,37,2.24642787374222,0.19954202112213
3,3,62,123,TAYLOR,Taylor,FL,222,19,8,11,28,32,32,37,31,18,5,1,0 to 118,49,111,89,22,222,0,0,12,197,3,54,3,3,214,0,5,217,3,0,0,0,3,0,0,3,0,0,0,1,0,1,1,0,0,0,0,29 to 60,47,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,3,0,0,214,0,222,214,3,0,17,7,2.58429378620819,0.251180544250225
4,4,46,091,OKALOOSA,Okaloosa,FL,2364,84,61,183,373,380,340,394,278,171,95,5,0 to 118,47,1434,892,38,2268,95,1,87,2107,137,162,58,152,2201,0,11,2258,86,59,3,4,77,68,0,145,2,3,4,21,18,17,30,27,19,11,0,0 to 96,58,110,21,13,1,19,124,2,44,1,24,0,0,3,152,72,80,144,7,1,2113,88,2364,2201,152,3,389,171,3.21429590024741,0.223073367593869
5,5,7,013,CALHOUN,Calhoun,FL,109,1,2,10,17,22,12,15,12,16,1,1,0 to 88,46,58,49,2,109,0,0,3,102,4,5,3,6,103,0,0,109,4,2,0,0,4,2,0,6,0,0,1,1,0,1,1,1,0,1,0,20 to 88,52,2,4,0,0,0,6,0,5,0,2,0,0,0,6,2,4,6,0,0,103,0,109,103,6,0,27,0,1.88103049327488,0.139649278946295
6,6,50,099,PALM BEACH,Palm Beach,FL,26928,313,415,1652,3205,3481,4201,4991,3869,2255,1197,1349,0 to 115,53,14943,11830,155,26650,276,2,225,26173,465,847,140,2877,23754,245,52,26359,2693,125,53,6,1399,1418,1,2818,15,27,194,333,404,441,483,410,348,208,14,0 to 104,55,999,356,198,1265,342,1094,1382,549,24,408,15,3,173,2877,1453,1423,2816,59,2,23541,213,26928,23754,2877,173,697,440,4.37197700721313,0.517626395458035
7,7,56,111,ST. LUCIE,St. Lucie,FL,3083,58,66,205,390,462,535,536,441,274,109,7,0 to 102,51,1788,1217,78,3071,12,0,186,2636,188,373,60,239,2790,2,52,3017,217,16,6,0,138,95,0,233,2,3,15,21,35,31,40,42,27,23,0,3 to 97,58,142,55,16,20,34,174,25,93,0,68,0,0,22,239,97,142,233,6,0,2784,6,3083,2790,239,22,71,57,2.4043656096016,0.13681239009026
8,8,51,101,PASCO,Pasco,FL,5299,94,114,367,661,804,933,945,773,444,158,6,0 to 102,51,3173,2112,14,5270,29,0,119,4935,223,321,88,239,5029,6,25,5239,195,37,6,1,120,112,0,232,5,6,21,26,49,45,35,36,11,5,0,1 to 94,47,152,26,35,19,55,153,24,76,3,51,2,0,6,239,116,123,232,7,0,5007,22,5299,5029,239,6,431,134,2.21152384171728,0.18173091103068
9,9,20,039,GADSDEN,Gadsden,FL,500,17,13,45,77,96,96,72,56,20,7,1,0 to 96,45,311,178,11,498,1,1,10,417,46,75,7,94,406,0,0,499,86,7,1,0,61,30,2,93,1,1,6,16,22,24,13,7,4,0,0,4 to 83,45,10,58,2,23,3,58,32,16,0,16,0,0,0,94,30,62,92,1,1,406,0,500,406,94,0,115,49,2.03339191693402,0.128633605861004
10,10,37,073,LEON,Leon,FL,3159,72,66,398,571,525,523,512,322,114,54,2,0 to 97,43,1742,1302,115,3120,38,1,69,2864,201,205,60,213,2937,2,7,3112,191,9,12,1,109,91,0,200,1,2,28,46,37,37,39,18,2,3,0,2 to 87,43,88,88,6,18,14,166,20,58,8,28,8,1,3,213,99,114,199,13,1,2912,25,3159,2937,213,3,364,178,2.42861632663576,0.170704044186268
11,11,33,065,JEFFERSON,Jefferson,FL,144,7,4,5,11,19,20,29,22,14,11,2,0 to 96,56,91,49,4,141,3,0,4,95,41,40,5,28,115,0,1,140,6,20,2,0,13,13,0,26,0,0,1,1,1,3,7,7,4,4,0,22 to 95,66,11,11,4,0,3,21,2,4,2,6,0,0,2,28,15,13,26,2,0,114,1,144,115,28,2,43,10,2.20493093525027,0.148496656229977
12,12,40,079,MADISON,Madison,FL,433,31,21,29,35,51,45,48,69,46,33,25,0 to 99,52,259,155,19,423,10,0,16,348,53,181,5,49,306,0,78,348,23,23,3,0,25,21,0,46,2,0,5,4,6,7,8,7,4,6,0,0 to 98,56,12,26,2,6,1,32,13,8,0,4,0,0,2,49,22,27,46,3,0,302,4,433,306,49,2,83,38,2.16969163731198,0.174026330045279
13,13,39,077,LIBERTY,Liberty,FL,49,2,3,6,10,6,4,9,6,1,2,0,0 to 99,37,31,16,2,49,0,0,1,47,1,2,0,2,47,0,0,49,2,0,0,0,0,2,0,2,0,0,0,1,0,0,1,0,0,0,0,29 to 56,42,2,0,0,0,0,2,0,1,0,0,0,0,0,2,2,0,2,0,0,47,0,49,47,2,0,13,4,3.02097391492398,0.204641327093244
14,14,24,047,HAMILTON,Hamilton,FL,149,4,3,20,25,15,18,27,21,7,6,3,0 to 99,48,87,53,9,148,1,0,9,132,9,15,3,6,140,0,3,145,2,4,0,0,6,0,0,6,0,0,0,2,1,0,3,0,0,0,0,32 to 64,50,4,2,0,0,0,6,0,3,0,0,0,0,0,6,0,6,6,0,0,139,1,149,140,6,0,3,1,2.3015236652275,0.126367835513063
15,15,3,005,BAY,Bay,FL,1434,15,18,100,184,221,281,268,161,91,48,47,0 to 99,50,791,590,53,1431,3,0,36,1361,28,75,29,70,1362,2,0,1429,54,15,1,0,30,39,0,69,0,1,3,11,12,18,12,9,3,1,0,14 to 93,50,53,8,3,5,14,47,8,20,1,9,1,0,2,70,40,30,69,1,0,1360,2,1434,1362,70,2,32,27,5.42268520962735,0.181027420718501
16,16,12,023,COLUMBIA,Columbia,FL,1120,36,37,74,148,143,146,224,188,84,36,4,0 to 118,53,564,482,74,1110,10,0,137,913,63,138,17,55,1059,0,6,1106,37,17,1,0,32,22,0,54,2,0,6,12,5,9,14,5,2,0,0,0 to 80,46,39,12,2,1,5,47,2,3,0,7,0,0,2,55,23,32,54,1,0,1052,7,1120,1059,55,2,8,6,2.63367862103558,0.193837653658007
17,17,2,003,BAKER,Baker,FL,366,10,7,37,59,45,67,56,36,29,20,0,0 to 99,48,218,127,21,362,4,0,17,331,16,53,3,20,346,0,0,362,5,15,0,0,13,7,0,20,0,0,1,1,2,0,4,4,5,3,0,24 to 97,70,17,2,1,0,0,19,1,5,0,8,0,0,3,20,7,13,20,0,0,342,4,366,346,20,3,3,2,1.77124519435665,0.142602236961311
18,18,30,059,HOLMES,Holmes,FL,486,8,6,28,55,51,77,92,103,49,17,0,0 to 100,57,276,187,23,483,3,0,0,480,5,10,1,9,471,0,6,477,3,6,0,0,3,6,0,9,0,0,0,2,3,2,1,1,0,0,0,27 to 73,44,6,1,1,1,0,8,1,2,0,0,0,0,0,9,6,3,9,0,0,468,3,486,471,9,0,5,5,1.73644592497981,0.117992933758262
19,19,43,085,MARTIN,Martin,FL,1750,26,22,101,180,216,283,371,296,182,69,4,0 to 99,56,971,751,28,1739,11,0,79,1573,82,139,59,185,1560,0,5,1735,168,7,10,0,74,101,0,175,1,1,13,19,22,33,41,21,28,6,0,3 to 92,55,112,5,28,30,44,103,28,61,2,39,1,0,5,185,108,77,175,10,0,1560,0,1750,1560,185,5,61,51,2.97866994211851,0.153458428490643
20,20,29,057,HILLSBOROUGH,Hillsborough,FL,19415,477,469,1745,3332,3256,3181,3111,2194,1085,526,39,0 to 119,46,11319,7999,97,19208,207,0,419,18458,458,655,271,1080,18281,33,21,19155,963,69,45,3,521,511,0,1032,10,26,126,180,189,195,170,103,56,25,0,0 to 100,45,511,178,213,130,301,569,162,281,10,165,7,2,22,1080,533,547,1032,48,0,18123,158,19415,18281,1080,22,660,313,3.45236134967177,0.251838053021243
21,21,41,081,MANATEE,Manatee,FL,3579,90,85,224,434,500,582,629,486,373,174,2,0 to 100,53,2167,1359,53,3558,21,0,277,3075,177,491,34,563,3013,2,1,3555,506,55,2,0,329,230,2,561,2,11,26,50,73,100,76,88,100,37,0,2 to 98,57,363,88,46,64,74,378,109,88,1,134,1,1,46,563,232,329,561,2,0,2994,19,3579,3013,563,46,183,92,3.59179695196309,0.177648040338128
22,22,10,019,CLAY,Clay,FL,3645,56,79,285,477,610,679,600,463,276,111,9,0 to 99,49,2104,1420,121,3639,6,0,68,3414,130,292,41,272,3372,1,0,3638,241,29,2,0,161,109,0,270,0,1,15,22,35,43,48,52,36,20,0,6 to 95,59,152,50,16,52,21,195,54,80,0,63,0,0,14,272,110,162,270,2,0,3368,4,3645,3372,272,14,161,133,1.77574995355385,0.155892403767859
23,23,25,049,HARDEE,Hardee,FL,130,2,1,14,22,14,24,19,24,5,5,0,0 to 94,50,71,57,2,126,4,0,7,115,2,11,3,14,116,0,0,126,11,1,2,0,8,4,0,12,0,0,1,0,2,5,1,5,0,0,0,23 to 74,50,6,5,0,1,2,9,1,5,2,2,2,0,0,14,5,9,12,2,0,114,2,130,116,14,0,10,10,1.60075687900909,0.150973021686986
24,24,42,083,MARION,Marion,FL,4221,61,58,288,490,548,652,779,724,424,196,1,0 to 119,55,2563,1622,36,4211,10,0,534,3482,177,522,90,160,3927,2,132,4078,137,20,3,0,87,70,0,157,1,1,9,22,28,33,37,19,6,4,0,2 to 96,51,120,24,11,2,25,129,3,32,2,23,0,0,4,160,71,89,157,3,0,3921,6,4221,3927,160,4,215,115,3.40272879823586,0.399426438918717
