ï»¿FID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,SHAPE_Length,SHAPE_Area
36,36,16,031,DUVAL,Duval,FL,22134,328,402,2031,3949,3581,3654,3744,2432,1235,678,100,0 to 119,47,12408,9008,718,21980,154,0,326,21278,454,410,87,1001,21049,11,73,21896,869,107,16,9,525,450,1,976,9,15,83,166,166,159,179,117,69,36,2,0 to 97,49,269,221,57,429,48,463,465,139,9,101,5,0,20,1001,462,535,976,25,0,20920,129,22134,21049,1001,20,630,554,3.27411455760684,0.200425275865001
37,37,34,067,LAFAYETTE,Lafayette,FL,71,3,0,7,7,17,5,4,12,9,7,0,0 to 118,47,38,32,1,71,0,0,8,63,0,8,0,1,70,0,0,71,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,47 to 47,47,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,70,0,71,70,1,0,0,0,1.87054630268957,0.132542672355777
38,38,23,045,GULF,Gulf,FL,129,3,4,5,19,14,21,25,25,10,3,0,1 to 91,54,73,54,2,127,2,0,15,113,1,33,8,1,128,0,0,127,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,42 to 42,42,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,126,2,129,128,1,0,5,2,2.48127035962968,0.137366647942991
39,39,63,125,UNION,Union,FL,216,4,5,20,31,46,34,30,29,12,5,0,1 to 118,45,118,93,5,216,0,0,13,199,4,28,4,4,211,0,1,215,3,1,0,0,2,2,0,4,0,0,0,1,0,0,3,0,0,0,0,25 to 60,55,4,0,0,0,0,4,0,1,0,0,0,0,0,4,2,2,4,0,0,211,0,216,211,4,0,8,7,1.26448361855685,0.0605152419302145
40,40,4,007,BRADFORD,Bradford,FL,737,7,8,73,88,89,89,122,85,93,79,4,0 to 118,56,481,245,11,737,0,0,25,673,34,127,1,44,691,0,2,735,13,31,0,0,36,8,0,44,0,2,3,1,5,3,3,6,12,9,0,8 to 107,74,41,3,0,0,0,44,0,4,0,10,0,0,2,44,8,36,44,0,0,691,0,737,691,44,2,112,80,1.60231093560507,0.0725862816422102
41,41,65,129,WAKULLA,Wakulla,FL,318,3,8,30,56,45,59,55,39,15,7,1,0 to 94,47,181,135,2,316,2,0,9,284,13,51,2,22,295,0,1,315,14,7,1,0,15,6,0,21,0,0,4,5,2,7,2,2,0,0,0,19 to 65,43,9,11,1,0,0,21,0,5,0,5,0,0,1,22,6,16,21,1,0,294,1,318,295,22,1,44,19,2.72889764150517,0.147928217310253
42,42,5,009,BREVARD,Brevard,FL,8197,115,149,458,917,989,1212,1877,1565,702,212,1,0 to 103,56,4778,3343,76,8187,10,0,103,7972,107,253,62,268,7926,2,1,8184,226,33,7,2,132,127,0,259,2,5,20,33,37,42,61,34,24,10,0,1 to 94,53,185,45,13,16,40,203,16,76,2,46,2,0,8,268,129,139,259,9,0,7925,1,8197,7926,268,8,207,156,7.43388258345288,0.247147786992
43,43,53,105,POLK,Polk,FL,7005,164,158,522,988,1051,1130,1125,941,615,306,5,0 to 103,50,4060,2782,163,6978,27,0,222,6519,231,421,112,457,6540,2,6,6970,358,93,5,1,264,183,4,451,1,5,18,65,62,73,71,60,57,45,0,3 to 102,56,248,92,49,62,113,252,86,178,3,122,1,0,20,457,185,268,451,6,0,6519,21,7005,6540,457,20,360,166,3.74731907845249,0.477444147523754
44,44,49,097,OSCEOLA,Osceola,FL,5223,61,153,405,862,923,968,884,565,291,101,10,0 to 102,47,2962,2240,21,5193,30,0,318,4457,390,509,164,474,4702,2,45,5147,429,29,14,2,232,226,0,458,2,9,33,65,75,98,91,66,30,5,0,0 to 102,49,228,37,184,9,266,143,49,195,5,124,6,1,7,474,238,236,458,16,0,4689,13,5223,4702,474,7,366,61,3.37526858197538,0.357928282021791
45,45,28,055,HIGHLANDS,Highlands,FL,1085,15,12,47,115,112,123,150,248,196,64,3,0 to 95,62,617,442,26,1053,32,0,31,1002,47,65,16,81,1000,1,3,1049,64,16,1,0,38,42,0,80,1,2,6,10,8,10,17,13,12,2,0,0 to 95,56,38,23,17,2,27,46,7,36,1,28,1,0,7,81,43,38,80,1,0,969,31,1085,1000,81,7,84,33,2.84124660964211,0.261466143584495
