County,Cases,Deaths,Recovered,ReportDate
TULSA,3974,72,2996,2020-07-04
OKLAHOMA,3393,70,2441,2020-07-04
CLEVELAND,1035,40,777,2020-07-04
TEXAS,993,6,978,2020-07-04
MCCURTAIN,534,7,374,2020-07-04
COMANCHE,443,7,381,2020-07-04
PAYNE,417,1,321,2020-07-04
WASHINGTON,403,39,355,2020-07-04
CANADIAN,325,3,242,2020-07-04
WAGONER,308,19,217,2020-07-04
ROGERS,214,6,151,2020-07-04
MCCLAIN,196,4,145,2020-07-04
CADDO,193,11,171,2020-07-04
OSAGE,182,8,149,2020-07-04
DELAWARE,172,16,120,2020-07-04
GRADY,169,5,130,2020-07-04
CREEK,169,7,128,2020-07-04
MUSKOGEE,137,11,88,2020-07-04
CARTER,127,1,77,2020-07-04
BRYAN,123,1,79,2020-07-04
ADAIR,120,4,108,2020-07-04
CHOCTAW,118,1,105,2020-07-04
POTTAWATOMIE,115,4,86,2020-07-04
KAY,108,7,82,2020-07-04
MAYES,93,5,68,2020-07-04
CHEROKEE,90,1,72,2020-07-04
GARVIN,89,1,56,2020-07-04
OTTAWA,80,2,50,2020-07-04
GARFIELD,78,2,60,2020-07-04
OKMULGEE,68,0,52,2020-07-04
MCINTOSH,66,1,49,2020-07-04
GREER,66,7,57,2020-07-04
STEPHENS,65,1,52,2020-07-04
PITTSBURG,64,3,49,2020-07-04
CUSTER,62,0,53,2020-07-04
PAWNEE,58,2,49,2020-07-04
LOGAN,55,1,37,2020-07-04
JACKSON,47,3,29,2020-07-04
SEQUOYAH,46,3,28,2020-07-04
PONTOTOC,44,2,30,2020-07-04
SEMINOLE,43,3,33,2020-07-04
NOBLE,40,1,32,2020-07-04
NOWATA,36,1,31,2020-07-04
MARSHALL,36,0,28,2020-07-04
LE FLORE,35,1,28,2020-07-04
LINCOLN,33,2,28,2020-07-04
BEAVER,32,0,32,2020-07-04
KINGFISHER,32,0,23,2020-07-04
LOVE,31,0,29,2020-07-04
ATOKA,25,0,13,2020-07-04
TILLMAN,25,1,23,2020-07-04
MURRAY,21,0,16,2020-07-04
CRAIG,21,0,19,2020-07-04
BLAINE,18,0,15,2020-07-04
PUSHMATAHA,17,0,10,2020-07-04
OKFUSKEE,16,0,12,2020-07-04
LATIMER,14,1,7,2020-07-04
JOHNSTON,13,0,12,2020-07-04
HUGHES,13,0,9,2020-07-04
WOODWARD,13,0,11,2020-07-04
HASKELL,12,0,8,2020-07-04
KIOWA,12,1,6,2020-07-04
BECKHAM,11,0,8,2020-07-04
JEFFERSON,10,0,5,2020-07-04
COAL,9,0,7,2020-07-04
MAJOR,8,1,7,2020-07-04
COTTON,7,2,3,2020-07-04
WOODS,6,0,5,2020-07-04
WASHITA,5,0,3,2020-07-04
DEWEY,4,0,4,2020-07-04
HARMON,2,0,0,2020-07-04
GRANT,2,0,2,2020-07-04
ALFALFA,1,0,1,2020-07-04
CIMARRON,1,0,1,2020-07-04
HARPER,1,0,1,2020-07-04
ELLIS,1,0,1,2020-07-04
