ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,791,17,19,92,106,111,119,119,100,71,36,1,0 to 118,49,443,337,11,791,0,0,12,676,2,146,2,112,678,0,1,790,92,20,0,0,31,81,0,112,4,6,18,21,19,20,16,4,3,0,1,0 to 83,38,81,11,15,5,29,74,9,5,0,0,0,0,0,112,81,31,112,0,0,2301,0,2416,2301,112,0,217,200,39,38,1.42926667229121,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,3723,78,137,393,546,466,575,611,439,303,162,13,0 to 118,49,2283,1383,57,3713,10,0,92,3381,133,348,22,516,3204,1,2,3710,271,243,1,1,258,237,19,514,10,44,105,93,74,70,54,34,22,8,2,0 to 98,35,220,196,39,59,79,328,107,59,0,37,0,0,6,516,238,259,514,2,0,6746,8,7271,6754,516,6,194,125,40,35,2.24642787374222,0.19954202112213
3,3,62,123,TAYLOR,Taylor,FL,937,33,20,88,145,121,118,169,143,73,23,4,0 to 118,49,521,387,29,929,8,0,18,765,3,189,28,97,839,1,0,928,77,18,2,0,41,54,0,95,0,2,19,32,16,5,11,4,8,0,0,6 to 84,33,57,10,20,8,26,60,9,19,0,7,0,0,1,97,54,43,95,2,0,1434,6,1539,1440,97,1,244,142,32,33,2.58429378620819,0.251180544250225
4,4,46,091,OKALOOSA,Okaloosa,FL,7522,170,168,644,1138,1086,986,1120,847,747,576,40,0 to 119,50,4517,2963,42,7374,147,1,201,6635,137,584,85,880,6640,0,2,7373,734,130,11,5,458,406,0,864,10,31,144,183,147,114,104,67,53,27,0,0 to 99,39,542,72,71,179,187,455,222,110,3,64,1,0,8,880,415,465,863,16,1,14189,131,15215,14320,880,8,1170,738,43,39,3.21429590024741,0.223073367593869
5,5,7,013,CALHOUN,Calhoun,FL,568,5,4,46,56,82,81,97,86,72,39,0,0 to 99,56,342,210,16,568,0,0,8,447,4,76,5,93,475,0,0,568,77,16,0,0,65,28,0,93,0,0,9,11,7,6,8,10,21,21,0,15 to 99,71,67,12,6,8,8,71,14,14,0,8,0,0,6,93,28,65,93,0,0,864,0,959,864,93,6,153,91,78,71,1.88103049327488,0.139649278946295
6,6,50,099,PALM BEACH,Palm Beach,FL,75989,1182,1810,6118,9611,9352,10709,12641,11076,7733,4151,1606,0 to 119,53,41392,34307,290,75190,797,2,3166,66166,465,10616,402,16149,59481,186,173,74836,15833,159,151,6,7969,7987,36,15992,276,579,2293,2949,2608,2364,2049,1281,966,775,9,0 to 119,42,6458,2673,2431,4430,5169,6100,4723,2566,38,1882,24,14,541,16149,8075,8037,15990,157,2,139451,637,156484,140088,16149,541,5217,4952,44,42,4.37197700721313,0.517626395458035
7,7,56,111,ST. LUCIE,St. Lucie,FL,11471,202,251,870,1441,1455,1782,1944,1768,1137,586,35,0 to 119,53,6605,4661,205,11325,146,0,580,9491,188,1845,80,2109,9267,6,89,11230,2015,83,11,0,1137,951,10,2098,47,66,292,369,329,362,269,188,108,75,4,0 to 99,43,715,334,185,864,416,714,968,257,1,188,2,1,50,2109,956,1143,2098,11,0,22137,135,24392,22272,2109,50,1304,1289,46,43,2.4043656096016,0.13681239009026
8,8,51,101,PASCO,Pasco,FL,15905,307,397,1411,2064,2209,2511,2692,2317,1384,583,30,0 to 119,51,9129,6722,54,15825,80,0,486,13876,223,1718,134,2608,13259,2,36,15787,2532,61,14,1,1320,1267,6,2593,47,76,465,519,443,394,305,225,99,35,0,0 to 99,38,1357,176,240,820,441,1194,958,309,5,160,4,1,23,2608,1276,1326,2593,15,0,35968,65,38654,36033,2608,23,2521,1969,43,38,2.21152384171728,0.18173091103068
9,9,20,039,GADSDEN,Gadsden,FL,3062,54,107,235,507,520,538,474,394,148,83,2,0 to 119,47,2107,943,12,3044,17,1,45,2722,46,410,17,446,2612,1,3,3041,430,12,4,0,304,138,0,442,4,21,42,84,92,85,47,38,21,12,0,0 to 98,42,164,166,24,88,60,282,100,93,0,68,0,0,7,446,138,308,441,4,1,5738,13,6208,5751,446,7,482,288,43,42,2.03339191693402,0.128633605861004
10,10,37,073,LEON,Leon,FL,14052,197,340,2113,2342,2004,2064,2169,1755,686,348,34,0 to 119,45,7264,6637,151,13803,248,1,262,12952,201,907,104,1638,12402,2,10,13792,1576,16,45,1,808,757,27,1592,9,51,754,325,165,136,112,58,17,9,2,0 to 119,24,408,419,53,712,82,747,763,125,11,55,9,7,8,1638,780,831,1591,46,1,30883,202,32784,31085,1638,8,961,541,30,24,2.42861632663576,0.170704044186268
11,11,33,065,JEFFERSON,Jefferson,FL,602,15,13,30,53,84,82,119,121,65,19,1,0 to 101,56,361,237,4,597,5,0,8,492,41,99,7,58,544,0,0,597,31,25,2,0,34,22,0,56,2,1,6,9,10,5,8,7,4,6,0,0 to 95,51,22,25,7,2,8,44,4,10,2,11,0,0,4,58,24,34,56,2,0,1261,3,1323,1264,58,4,101,63,58,51,2.20493093525027,0.148496656229977
12,12,40,079,MADISON,Madison,FL,1243,60,58,112,149,162,168,179,189,110,49,7,0 to 99,49,793,444,6,1219,24,0,30,912,53,399,19,239,1002,1,1,1217,132,103,4,0,150,85,0,235,17,16,26,34,37,31,41,20,6,11,0,0 to 98,42,48,164,16,7,17,195,23,43,0,7,0,1,3,239,86,153,235,4,0,1973,20,2237,1993,239,3,403,303,50,42,2.16969163731198,0.174026330045279
13,13,39,077,LIBERTY,Liberty,FL,2235,3,6,160,691,562,403,273,94,29,6,8,0 to 92,39,182,2046,7,2235,0,0,1,2004,1,102,0,238,1997,0,0,2235,234,4,0,0,14,224,0,238,0,2,15,59,56,59,40,5,1,1,0,10 to 85,41,131,97,5,5,7,147,84,7,0,1,0,0,1,238,224,14,238,0,0,2138,0,2378,2138,238,1,93,68,41,41,3.02097391492398,0.204641327093244
14,14,24,047,HAMILTON,Hamilton,FL,2068,25,37,172,549,420,332,248,169,70,42,4,0 to 118,40,490,1552,26,2062,6,0,46,1887,9,383,6,382,1685,0,1,2061,370,9,2,1,100,279,0,379,14,20,42,100,70,68,52,12,4,0,0,0 to 84,37,154,187,35,3,66,166,147,44,1,11,0,0,2,382,281,101,379,3,0,2552,3,2939,2555,382,2,27,25,39,37,2.3015236652275,0.126367835513063
15,15,3,005,BAY,Bay,FL,3699,45,47,307,499,521,599,676,469,294,187,55,0 to 119,51,2064,1581,54,3647,52,0,184,3243,28,574,72,684,3012,0,3,3644,593,58,32,1,351,300,0,651,12,16,125,150,128,107,82,42,19,3,0,0 to 93,37,434,73,36,108,129,387,135,106,6,37,2,2,5,684,321,363,651,33,0,8042,21,8759,8063,684,5,107,99,44,37,5.42268520962735,0.181027420718501
16,16,12,023,COLUMBIA,Columbia,FL,3536,92,108,254,436,442,462,680,559,292,202,9,0 to 119,54,1998,1443,95,3520,16,0,248,3045,63,434,16,348,3185,0,3,3517,304,41,3,0,172,173,0,345,11,17,41,72,51,50,50,31,18,7,0,0 to 97,40,151,131,46,17,48,276,21,11,0,41,0,0,3,348,175,173,345,3,0,6001,13,6367,6014,348,3,31,29,40,40,2.63367862103558,0.193837653658007
17,17,2,003,BAKER,Baker,FL,961,30,17,109,145,134,157,158,108,69,32,2,0 to 99,48,521,389,51,901,60,0,47,851,16,123,5,98,862,0,1,900,58,40,0,0,42,56,0,98,0,2,16,15,15,14,16,9,8,3,0,10 to 97,46,73,16,5,4,1,88,9,25,0,18,0,0,4,98,56,42,98,0,0,1836,60,1994,1896,98,4,118,117,48,46,1.77124519435665,0.142602236961311
18,18,30,059,HOLMES,Holmes,FL,947,15,13,77,143,132,156,166,158,65,21,1,0 to 119,51,450,482,15,935,12,0,7,761,5,199,8,195,752,0,0,935,173,19,1,2,27,165,0,192,2,0,21,57,48,35,17,12,3,0,0,1 to 83,38,112,66,9,5,16,151,25,7,0,5,0,0,0,195,166,29,192,3,0,2401,9,2609,2410,195,0,85,79,43,38,1.73644592497981,0.117992933758262
19,19,43,085,MARTIN,Martin,FL,8386,177,234,684,914,1012,1105,1435,1419,982,401,23,0 to 100,55,4155,3797,434,8290,96,0,541,6533,82,1856,81,2251,6098,1,36,8254,2221,14,16,0,1038,1194,3,2235,82,127,358,406,402,370,229,130,90,54,3,0 to 99,38,811,98,732,594,1263,540,432,343,2,194,1,1,28,2251,1203,1045,2235,16,0,15303,78,17656,15381,2251,28,824,813,38,38,2.97866994211851,0.153458428490643
20,20,29,057,HILLSBOROUGH,Hillsborough,FL,63382,1458,1862,6638,10556,9256,9600,9997,7713,4117,1905,280,0 to 119,47,35882,27178,322,62945,437,0,1071,58619,458,3821,327,13700,49542,23,117,62805,13317,290,90,3,7187,6358,62,13607,288,503,2701,3409,2111,1817,1327,718,406,253,167,0 to 104,34,4144,1799,1585,6079,2716,3936,6955,1127,11,663,8,3,150,13700,6403,7235,13607,93,0,124259,344,138395,124603,13700,150,3692,3345,37,34,3.45236134967177,0.251838053021243
21,21,41,081,MANATEE,Manatee,FL,17744,312,482,1297,1866,1969,2317,3156,3387,2077,778,103,0 to 119,57,10008,7452,284,17483,261,0,1006,15628,177,2138,50,3554,14184,4,2,17477,3466,63,25,0,1831,1690,8,3529,78,215,545,633,589,502,402,279,190,121,0,0 to 101,39,1698,316,312,1203,979,1210,1340,211,4,280,3,2,131,3554,1701,1845,3529,25,0,41045,236,44856,41281,3554,131,389,291,45,39,3.59179695196309,0.177648040338128
22,22,10,019,CLAY,Clay,FL,8753,125,224,712,1033,1233,1450,1529,1343,767,315,22,0 to 101,52,5032,3617,104,8731,22,0,205,8043,130,716,61,936,7816,1,0,8730,856,76,4,0,516,414,2,932,5,23,116,135,144,168,134,108,60,42,1,0 to 100,48,442,170,76,244,83,580,269,170,0,110,0,0,34,936,416,518,932,4,0,17743,18,18709,17761,936,34,564,531,55,48,1.77574995355385,0.155892403767859
