ï»¿OBJECTID,IACountyID,FIPS,Name,State,Confirmed,Recovered,Deaths,last_updated,Country,pop_est_2018,individuals_tested,SHAPE_Length,SHAPE_Area
1,60,19119,Lyon,IA,41,38,0,2020/07/04 16:00:15,USA,11811,654,2.21275267122741,0.16910183462716
2,72,19143,Osceola,IA,59,48,0,2020/07/04 16:00:15,USA,6040,413,1.43454319723463,0.11486727457819
3,30,19059,Dickinson,IA,264,156,2,2020/07/04 16:00:15,USA,17153,2502,1.43802348033932,0.116176401058861
4,32,19063,Emmet,IA,84,48,0,2020/07/04 16:00:15,USA,9253,945,1.43404643573087,0.115803243352621
5,3,19005,Allamakee,IA,127,115,4,2020/07/04 16:00:15,USA,13832,1360,1.84786172939921,0.189375563365928
6,55,19109,Kossuth,IA,33,20,0,2020/07/04 16:00:15,USA,14908,1221,2.12797026687415,0.279506512742556
7,96,19191,Winneshiek,IA,38,24,0,2020/07/04 16:00:15,USA,20029,1401,1.78870782385609,0.198184395037308
8,45,19089,Howard,IA,35,12,0,2020/07/04 16:00:15,USA,9187,749,1.5222554542708,0.136239672336114
9,95,19189,Winnebago,IA,28,15,0,2020/07/04 16:00:15,USA,10518,871,1.4353378151154,0.115503756567768
10,66,19131,Mitchell,IA,37,11,0,2020/07/04 16:00:15,USA,10569,1159,1.51579601242865,0.135076913448264
11,98,19195,Worth,IA,20,11,0,2020/07/04 16:00:15,USA,7453,615,1.43534589840123,0.115607405615691
12,84,19167,Sioux,IA,461,357,0,2020/07/04 16:00:15,USA,34909,2961,2.45753459118017,0.220121447846734
13,71,19141,Obrien,IA,86,62,1,2020/07/04 16:00:15,USA,13840,1207,1.63916495855897,0.164071999605506
14,21,19041,Clay,IA,132,88,0,2020/07/04 16:00:15,USA,16134,1776,1.63897894990378,0.163930120305046
15,74,19147,Palo Alto,IA,41,22,0,2020/07/04 16:00:15,USA,8929,1076,1.63360274301866,0.163027285618699
16,41,19081,Hancock,IA,50,41,0,2020/07/04 16:00:15,USA,10712,1218,1.64022442841417,0.164081009647297
17,17,19033,Cerro Gordo,IA,155,57,1,2020/07/04 16:00:15,USA,42647,4674,1.64167384598673,0.164593890089511
18,19,19037,Chickasaw,IA,28,22,0,2020/07/04 16:00:15,USA,11964,1121,1.5579330429406,0.144783457663011
19,34,19067,Floyd,IA,72,53,2,2020/07/04 16:00:15,USA,15761,1858,1.55184492435623,0.143525926262284
20,22,19043,Clayton,IA,41,34,3,2020/07/04 16:00:15,USA,17556,1424,2.20235204451794,0.226710827397518
21,33,19065,Fayette,IA,45,30,0,2020/07/04 16:00:15,USA,19660,1840,1.82861179547503,0.208640704071808
22,75,19149,Plymouth,IA,313,275,5,2020/07/04 16:00:15,USA,25095,2817,2.58616834565828,0.246019887462918
23,18,19035,Cherokee,IA,75,64,1,2020/07/04 16:00:15,USA,11321,1144,1.64015874620456,0.164270532443662
24,11,19021,Buena Vista,IA,1710,1466,11,2020/07/04 16:00:15,USA,19874,7037,1.64552268815282,0.1652216328257
25,76,19151,Pocahontas,IA,93,36,1,2020/07/04 16:00:15,USA,6740,876,1.64124953372891,0.164761949621183
26,46,19091,Humboldt,IA,53,39,1,2020/07/04 16:00:15,USA,9547,890,1.46962109997574,0.124113863794899
27,99,19197,Wright,IA,379,276,1,2020/07/04 16:00:15,USA,12690,2671,1.64480853659461,0.16568411709874
28,9,19017,Bremer,IA,92,79,6,2020/07/04 16:00:15,USA,24947,2294,1.47509845559349,0.125164627007619
29,35,19069,Franklin,IA,86,50,0,2020/07/04 16:00:15,USA,10124,1224,1.64758090698267,0.165817716686447
30,12,19023,Butler,IA,53,38,2,2020/07/04 16:00:15,USA,14539,1500,1.64581994704863,0.165677440567865
31,31,19061,Dubuque,IA,675,397,22,2020/07/04 16:00:15,USA,96854,11910,1.9659850064536,0.174834340738589
32,28,19055,Delaware,IA,48,36,1,2020/07/04 16:00:15,USA,17069,1375,1.65320344218239,0.164157256355936
33,94,19187,Webster,IA,212,125,2,2020/07/04 16:00:15,USA,36277,4425,1.89365250486713,0.203631378398526
34,10,19019,Buchanan,IA,50,35,1,2020/07/04 16:00:15,USA,21199,1947,1.66302867060044,0.162502933178709
35,7,19013,Black Hawk,IA,2245,1812,58,2020/07/04 16:00:15,USA,132408,16272,1.6690521466628,0.162374630605809
36,97,19193,Woodbury,IA,3209,3039,44,2020/07/04 16:00:15,USA,102539,16601,2.42636247129416,0.248549990860172
37,47,19093,Ida,IA,23,20,0,2020/07/04 16:00:15,USA,6841,674,1.53905385133514,0.122291609116611
38,81,19161,Sac,IA,63,51,0,2020/07/04 16:00:15,USA,9719,1256,1.76241111854249,0.163752090137135
39,13,19025,Calhoun,IA,49,25,2,2020/07/04 16:00:15,USA,9699,1104,1.73628628486417,0.161997583069679
