OBJECTID_12_13,OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTAre,ShapeSTLen,OBJECTID_1,County_1,State,OBJECTID_12,DEPCODE_1,COUNTYN,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,C_AgeAvrg,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabDOH_Res,T_LabDOH_NonRes,T_LabPrivate_Res,T_LabPrivate_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length
49,49,44,087,MONROE,2000-05-16T00:00:00.000Z,28308543761.6011,4591181.83897766,44,Monroe,FL,49,44,87,976,10,11,53,111,142,184,220,162,61,21,1,0 to 97,53,523,448,5,948,28,0,202,695,79,111,802,63,73,862,0,41,908,15,3,51,4,31,35,0,66,0,3,6,12,9,13,13,11,6,0,0,6 to 80,51,53,5,0,8,16,42,8,14,2,9,0,0,3,73,38,35,66,7,0,842,20,976,862,73,3,195,121,2629619857.16548,1399292.97354894
50,50,57,113,SANTA ROSA,2000-05-16T00:00:00.000Z,28109274128.0588,1198564.1555946,55,Santa Rosa,FL,50,57,113,2058,108,104,190,328,342,332,289,207,101,53,4,0 to 102,43,1208,837,13,2055,3,0,55,1915,88,114,1893,43,138,1918,1,1,2053,36,0,102,0,43,95,0,138,2,0,14,20,24,27,20,18,7,6,0,0 to 94,48,99,19,0,20,4,113,21,18,0,17,0,0,6,138,95,43,138,0,0,1915,3,2058,1918,138,6,479,79,2596863920.94926,364280.718031263
51,51,66,131,WALTON,2000-05-16T00:00:00.000Z,29260992908.4669,1216747.48888053,67,Walton,FL,51,66,131,427,21,10,35,43,70,84,69,57,23,15,0,0 to 97,49,225,188,14,415,12,0,19,393,15,53,342,29,32,394,1,0,414,4,2,20,6,16,8,0,24,0,0,3,4,5,7,4,3,5,1,0,20 to 90,50,24,0,0,0,1,22,1,7,2,5,2,0,0,32,12,20,24,8,0,390,4,427,394,32,0,37,22,2708101782.46999,370154.781284707
52,52,32,063,JACKSON,2000-05-16T00:00:00.000Z,26457674355.9754,735287.597926583,32,Jackson,FL,52,32,63,271,6,5,23,45,41,51,45,31,19,5,0,0 to 96,49,159,108,4,263,8,0,18,240,13,23,229,16,8,263,0,0,263,5,1,2,0,7,0,0,7,0,0,0,4,2,1,1,0,0,0,0,28 to 57,36,2,5,0,0,0,7,0,3,0,0,0,0,0,8,1,7,7,1,0,256,7,271,263,8,0,29,14,2452499072.79567,223828.324060307
53,53,67,133,WASHINGTON,2000-05-16T00:00:00.000Z,17212291868.187,801011.879871898,68,Washington,FL,53,67,133,174,1,1,7,20,31,33,36,25,14,6,0,3 to 103,53,102,56,16,173,1,0,25,141,8,30,135,6,6,167,0,1,172,3,0,3,0,2,4,0,6,0,0,0,2,0,2,2,0,0,0,0,25 to 62,51,6,0,0,0,0,6,0,0,0,1,0,0,0,6,4,2,6,0,0,166,1,174,167,6,0,26,15,1594396648.51196,243766.072259733
54,54,45,089,NASSAU,2000-05-16T00:00:00.000Z,17668341931.5773,1275144.97327404,45,Nassau,FL,54,45,89,978,14,14,86,132,158,156,173,125,79,41,0,0 to 99,50,540,348,90,962,16,0,24,927,26,30,896,21,45,933,0,0,962,8,1,35,0,26,17,0,43,0,0,5,5,7,5,7,10,4,1,0,20 to 89,53,28,6,1,8,0,34,9,16,0,10,0,0,0,44,18,26,43,1,0,919,15,978,934,44,0,21,18,1641620662.32831,388721.737801268
55,55,22,043,GLADES,2000-05-16T00:00:00.000Z,27470534483.1281,776973.436241095,22,Glades,FL,55,22,43,39,1,1,3,7,5,6,5,4,4,3,0,1 to 90,50,18,21,0,39,0,0,2,34,3,5,34,0,5,34,0,0,39,2,0,3,0,2,3,0,5,0,0,0,1,0,0,1,1,1,1,0,30 to 89,67,2,3,0,0,0,4,1,3,0,3,0,0,1,5,3,2,5,0,0,34,0,39,34,5,1,14,3,2551976411.00452,236757.936928168
56,56,8,015,CHARLOTTE,2000-05-16T00:00:00.000Z,19647662652.4031,1306868.96108577,8,Charlotte,FL,56,8,15,1367,14,13,73,140,153,188,254,253,175,102,2,0 to 98,58,787,554,26,1352,15,0,66,1243,55,106,1252,12,138,1221,2,6,1345,62,1,75,0,82,54,1,137,0,0,5,12,5,17,25,31,22,21,0,15 to 96,67,102,17,3,15,3,109,25,26,0,28,0,0,9,138,55,82,137,1,0,1208,13,1367,1221,138,9,79,62,1825525431.11919,398247.923422686
57,57,58,115,SARASOTA,2000-05-16T00:00:00.000Z,16244595346.2406,866480.222854252,56,Sarasota,FL,57,58,115,3420,40,50,191,349,405,490,586,581,437,289,2,0 to 115,57,1960,1398,62,3330,90,0,349,2896,174,526,2788,79,284,3132,1,3,3326,40,6,229,9,152,117,0,269,2,1,10,24,26,40,42,61,48,30,0,0 to 102,64,212,12,25,20,35,198,36,114,11,89,8,0,23,284,126,158,269,15,0,3057,75,3420,3132,284,23,221,116,1509311882.53409,264158.506465067
58,58,14,027,DESOTO,2000-05-16T00:00:00.000Z,17811561535.2703,552611.74528102,14,Desoto,FL,58,14,27,414,10,4,17,63,54,67,70,66,43,19,1,0 to 92,53,210,168,36,412,2,0,8,377,29,63,348,3,24,390,0,0,412,6,0,18,0,9,15,0,24,0,0,0,5,1,3,7,3,3,2,0,27 to 92,60,19,1,0,4,5,12,7,8,0,8,0,0,4,24,15,9,24,0,0,388,2,414,390,24,4,3,0,1654926851.96404,168390.780925558
