OBJECTID_12_13,OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTAre,ShapeSTLen,OBJECTID_1,County_1,State,OBJECTID_12,DEPCODE_1,COUNTYN,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,C_AgeAvrg,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabDOH_Res,T_LabDOH_NonRes,T_LabPrivate_Res,T_LabPrivate_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length
11,11,33,065,JEFFERSON,2000-05-16T00:00:00.000Z,17033402669.7849,749466.142282919,33,Jefferson,FL,11,33,65,121,6,4,4,9,16,15,23,18,14,11,1,0 to 96,57,79,40,2,118,3,0,4,77,40,31,85,5,26,95,0,0,118,19,0,5,2,12,12,0,24,0,0,1,1,1,2,6,7,4,4,0,22 to 95,66,10,10,3,1,3,19,2,4,2,5,0,0,1,26,14,12,24,2,0,94,1,121,95,26,1,43,20,1581350101.5302,228391.565390175
12,12,40,079,MADISON,2000-05-16T00:00:00.000Z,19954266828.3091,719422.161444634,40,Madison,FL,12,40,79,183,27,15,15,18,28,24,16,24,13,3,0,0 to 89,39,95,84,4,180,3,0,12,142,29,65,114,4,21,160,0,2,178,6,0,14,1,11,9,0,20,2,0,3,2,2,3,5,3,1,0,0,0 to 77,50,6,10,1,3,1,16,3,5,0,1,0,0,0,21,9,12,20,1,0,158,2,183,160,21,0,53,17,1853116752.08771,219176.19751538
13,13,39,077,LIBERTY,2000-05-16T00:00:00.000Z,23545304208.6892,1014156.81652576,39,Liberty,FL,13,39,77,40,2,2,5,10,6,4,6,4,1,0,0,0 to 76,36,23,15,2,40,0,0,1,38,1,2,36,0,2,38,0,0,40,0,0,2,0,0,2,0,2,0,0,0,1,0,0,1,0,0,0,0,29 to 56,42,2,0,0,0,0,2,0,1,0,0,0,0,0,2,2,0,2,0,0,38,0,40,38,2,0,9,7,2183538740.41838,308797.501184753
14,14,24,047,HAMILTON,2000-05-16T00:00:00.000Z,14477960107.7779,763034.416582444,24,Hamilton,FL,14,24,47,97,2,2,14,14,12,11,18,14,7,3,0,0 to 93,48,53,39,5,95,2,0,8,82,7,12,81,3,3,93,0,1,95,3,0,0,0,3,0,0,3,0,0,0,1,0,0,2,0,0,0,0,32 to 62,56,3,0,0,0,0,3,0,1,0,0,0,0,0,3,0,3,3,0,0,92,1,97,93,3,0,2,0,1344926537.82205,232510.619937192
15,15,3,005,BAY,2000-05-16T00:00:00.000Z,20842319162.9517,1834701.30277606,3,Bay,FL,15,3,5,839,9,12,61,114,135,176,157,100,56,19,0,0 to 99,50,450,338,51,837,2,0,34,781,24,60,744,28,55,783,1,0,836,14,0,40,1,23,31,0,54,0,0,3,10,12,13,8,7,1,1,0,21 to 93,47,39,7,3,5,11,36,7,16,1,7,1,0,2,55,32,23,54,1,0,782,1,839,783,55,2,30,25,1930770661.49939,558412.990825665
16,16,12,023,COLUMBIA,2000-05-16T00:00:00.000Z,22266487302.2026,905417.470831242,12,Columbia,FL,16,12,23,577,22,26,44,85,90,77,113,78,28,10,4,0 to 118,48,310,235,32,570,7,0,114,411,50,100,453,17,39,528,0,10,563,11,0,27,1,21,17,0,38,1,0,5,7,3,7,12,3,1,0,0,1 to 76,48,31,4,1,2,4,31,3,1,0,4,0,0,0,39,18,21,38,1,0,525,3,577,528,39,0,7,5,2068684690.43686,276060.430857214
17,17,2,003,BAKER,2000-05-16T00:00:00.000Z,16362161453.2611,602717.294368568,2,Baker,FL,17,2,3,282,6,6,32,46,33,56,39,24,26,14,0,0 to 99,48,177,88,17,278,4,0,15,251,16,50,219,3,17,265,0,0,278,14,0,3,0,10,7,0,17,0,0,1,1,0,0,3,4,5,3,0,24 to 97,72,15,1,1,0,0,17,0,4,0,7,0,0,3,17,7,10,17,0,0,261,4,282,265,17,3,1,0,1520245937.66486,183737.354704368
18,18,30,059,HOLMES,2000-05-16T00:00:00.000Z,13514831669.2324,577279.375441074,30,Holmes,FL,18,30,59,206,5,4,15,23,22,36,40,35,20,6,0,0 to 100,54,118,70,18,205,1,0,0,203,3,6,196,1,6,196,0,4,201,3,0,3,0,1,5,0,6,0,0,0,1,2,2,0,1,0,0,0,27 to 73,44,5,0,0,1,0,5,1,2,0,0,0,0,0,6,5,1,6,0,0,195,1,206,196,6,0,5,5,1251550190.83949,175658.620344926
19,19,43,085,MARTIN,2000-05-16T00:00:00.000Z,18163212069.3958,1014294.81270012,43,Martin,FL,19,43,85,1346,21,12,79,138,172,209,275,230,150,59,1,0 to 99,56,758,558,30,1337,9,0,72,1203,69,107,1181,55,151,1186,1,8,1329,7,0,136,8,61,81,1,143,0,0,11,12,16,22,37,20,27,6,0,19 to 92,59,100,6,10,27,18,99,26,54,2,36,1,0,4,151,87,63,143,8,0,1186,0,1346,1186,151,4,59,49,1686613017.08661,308980.48751506
20,20,29,057,HILLSBOROUGH,2000-05-16T00:00:00.000Z,29564028944.0196,1177196.95995299,29,Hillsborough,FL,20,29,57,15290,377,367,1386,2771,2661,2580,2385,1624,766,339,34,0 to 119,45,9029,6184,77,15128,162,0,402,14458,429,546,14302,262,960,14287,34,9,15086,61,2,857,40,463,455,0,918,10,21,110,162,170,173,155,93,45,21,0,0 to 100,45,460,144,190,124,269,499,150,256,8,147,4,2,19,960,474,486,918,42,0,14168,119,15290,14287,960,19,653,307,2746844886.16013,358788.307034344
21,21,41,081,MANATEE,2000-05-16T00:00:00.000Z,20940887080.7074,1218253.44408563,41,Manatee,FL,21,41,81,2447,42,49,151,301,343,422,441,338,250,109,1,0 to 100,53,1466,936,45,2429,18,0,160,2148,131,278,2118,30,417,2026,2,2,2425,54,0,361,2,236,175,4,415,1,8,19,35,44,75,53,70,81,31,0,2 to 98,60,246,59,33,77,31,266,118,55,1,78,1,1,31,417,177,236,415,2,0,2010,16,2447,2026,417,31,183,93,1945653927.12581,371198.171414394
22,22,10,019,CLAY,2000-05-16T00:00:00.000Z,17948500957.6093,603117.810216635,10,Clay,FL,22,10,19,2935,34,60,222,391,518,551,493,359,207,91,9,0 to 99,49,1676,1137,122,2930,5,0,77,2744,110,247,2551,40,247,2686,1,1,2928,28,0,217,2,148,97,0,245,0,0,13,21,31,38,47,47,33,17,0,18 to 95,59,132,40,16,57,19,167,59,61,0,46,0,0,11,247,98,149,245,2,0,2683,3,2935,2686,247,11,123,102,1667659896.51059,183856.484298748
23,23,25,049,HARDEE,2000-05-16T00:00:00.000Z,17792803499.7252,543261.536630456,25,Hardee,FL,23,25,49,94,2,1,11,17,11,13,15,18,4,2,0,0 to 89,48,48,44,2,91,3,0,3,89,2,3,88,3,4,90,0,0,91,0,0,2,2,1,1,0,2,0,0,0,0,1,0,0,3,0,0,0,39 to 73,70,2,0,0,0,0,2,0,0,2,0,2,0,0,4,2,2,2,2,0,89,1,94,90,4,0,0,0,1653184151.65315,165534.73009074
24,24,42,083,MARION,2000-05-16T00:00:00.000Z,46334209241.8729,1151393.60736949,42,Marion,FL,24,42,83,2980,48,42,223,367,408,483,534,510,261,102,2,0 to 119,53,1793,1151,36,2973,7,0,423,2395,161,260,2609,82,121,2663,2,194,2778,20,0,98,3,64,54,0,118,1,0,7,16,22,27,28,13,5,2,0,2 to 88,50,90,19,9,0,22,96,0,27,2,15,0,0,3,121,55,66,118,3,0,2660,3,2980,2663,121,3,185,117,4305055841.62241,350920.190673371
25,25,64,127,VOLUSIA,2000-05-16T00:00:00.000Z,33645647575.2893,1837935.99794766,65,Volusia,FL,25,64,127,5145,61,80,268,597,625,812,1083,961,460,192,6,0 to 101,56,2862,2160,123,5117,28,0,110,4842,193,259,4682,109,334,4804,1,6,5110,80,0,244,9,137,183,4,324,1,2,20,46,46,58,53,70,24,13,0,1 to 97,53,197,37,56,34,35,213,76,78,5,53,4,0,10,333,187,142,324,9,0,4786,19,5145,4805,333,10,363,155,3125661534.15881,560414.737839251
26,26,15,029,DIXIE,2000-05-16T00:00:00.000Z,19634949247.4401,771892.949471238,15,Dixie,FL,26,15,29,157,5,4,15,14,29,23,20,33,10,3,1,0 to 90,49,89,67,1,157,0,0,7,144,6,13,142,0,3,153,0,1,156,1,0,2,0,2,1,0,3,0,0,1,0,1,0,0,1,0,0,0,24 to 66,40,0,2,0,1,0,2,1,3,0,1,0,0,0,3,1,2,3,0,0,153,0,157,153,3,0,18,16,1823798262.39212,235232.973119088
27,27,35,069,LAKE,2000-05-16T00:00:00.000Z,32245515394.3939,1085414.36113151,35,Lake,FL,27,35,69,3784,101,86,257,497,497,618,605,549,437,133,4,0 to 101,52,2126,1618,40,3728,56,0,79,3499,206,183,3464,76,207,3562,1,14,3713,16,0,179,12,100,95,0,195,1,7,12,18,32,37,32,35,31,2,0,1 to 86,53,89,18,62,26,53,110,32,86,9,51,3,0,6,207,102,105,195,12,0,3518,44,3784,3562,207,6,260,115,2995995460.71371,331014.242454318
28,28,38,075,LEVY,2000-05-16T00:00:00.000Z,31222846964.6387,1113561.30402576,38,Levy,FL,28,38,75,388,11,13,39,59,54,57,65,49,29,12,0,0 to 118,48,245,139,4,388,0,0,12,366,10,26,357,2,12,375,0,1,387,2,0,10,0,9,3,0,12,0,0,0,1,4,2,3,0,1,1,0,33 to 93,48,6,2,1,3,2,7,3,4,0,2,0,0,0,12,3,9,12,0,0,375,0,388,375,12,0,34,20,2900663690.96646,339394.964008615
29,29,60,119,SUMTER,2000-05-16T00:00:00.000Z,16171035313.1481,751914.035739446,60,Sumter,FL,29,60,119,1563,15,14,37,75,65,128,217,620,353,38,1,0 to 96,69,829,674,60,1563,0,0,93,1353,117,129,1371,51,147,1389,1,26,1536,37,0,110,0,57,90,0,147,0,0,2,3,10,22,23,51,31,5,0,18 to 92,67,119,3,2,23,3,118,26,43,0,31,0,0,11,147,90,57,147,0,0,1389,0,1563,1389,147,11,47,38,1502516062.89801,229328.389599522
30,30,59,117,SEMINOLE,2000-05-16T00:00:00.000Z,9616121249.97192,520365.445917892,57,Seminole,FL,30,59,117,4150,85,96,351,723,772,750,624,474,161,113,1,0 to 104,45,2422,1697,31,4140,10,0,173,3746,226,289,3731,89,320,3821,2,7,4131,32,0,282,6,163,149,2,314,3,4,30,55,44,62,44,51,16,11,0,1 to 100,48,216,39,50,9,111,179,24,144,4,72,1,0,5,320,151,167,314,6,0,3817,4,4150,3821,320,5,383,169,893350621.597626,158549.770327082
31,31,48,095,ORANGE,2000-05-16T00:00:00.000Z,28006104673.618,903213.715428867,48,Orange,FL,31,48,95,16602,450,467,1432,2960,3080,3002,2568,1587,731,320,5,0 to 120,44,9351,7174,77,16280,321,1,401,15730,463,637,15155,260,1199,15388,4,11,16266,95,4,1041,58,542,582,12,1136,16,15,122,204,217,253,188,104,56,23,0,0 to 101,46,500,135,285,216,300,377,459,351,28,172,24,1,23,1198,617,569,1135,62,1,15130,259,16602,15389,1198,23,572,376,2601855780.29929,275135.911496092
32,32,9,017,CITRUS,2000-05-16T00:00:00.000Z,16847060705.6176,796979.404269785,9,Citrus,FL,32,9,17,1266,19,26,81,158,159,182,225,223,137,51,5,0 to 97,55,700,427,139,1263,3,0,35,1119,112,144,1092,24,84,1180,1,1,1261,47,0,37,0,42,42,0,84,0,1,5,6,6,11,23,14,12,6,0,12 to 93,60,57,0,3,24,7,54,23,23,0,23,0,0,8,84,42,42,84,0,0,1177,3,1266,1180,84,8,322,160,1565249379.23035,242867.273750112
33,33,27,053,HERNANDO,2000-05-16T00:00:00.000Z,13561044546.5447,658252.887531729,27,Hernando,FL,33,27,53,1274,19,19,94,189,189,216,229,180,102,36,1,0 to 97,50,747,519,8,1260,14,0,46,1166,62,104,1129,37,84,1190,0,0,1260,35,1,45,3,41,39,0,80,0,2,5,16,11,11,17,15,6,1,0,9 to 85,49,46,5,7,22,10,30,40,27,2,19,2,1,3,84,40,44,80,4,0,1180,10,1274,1190,84,3,40,29,1259956856.20596,200494.167365377
34,34,52,103,PINELLAS,2000-05-16T00:00:00.000Z,8169203571.8812,1167816.84045851,52,Pinellas,FL,34,52,103,10457,150,156,687,1539,1476,1748,1911,1514,831,422,23,0 to 120,52,6219,4209,29,10314,143,0,677,9435,342,873,9228,315,592,9811,9,45,10261,74,6,477,35,279,272,0,551,1,4,40,84,57,104,117,91,51,43,0,1 to 101,55,437,70,32,12,51,477,23,146,15,109,14,1,16,592,298,294,551,41,0,9710,101,10457,9811,592,16,306,216,758940582.722305,356104.408630079
35,35,61,121,SUWANNEE,2000-05-16T00:00:00.000Z,19295996990.3474,731987.008657942,61,Suwannee,FL,35,61,121,449,15,5,32,66,59,61,77,68,37,29,0,0 to 118,53,304,132,13,449,0,0,43,307,92,103,327,5,98,351,0,0,449,80,0,18,0,69,29,0,98,0,1,9,12,11,9,14,17,13,12,0,5 to 102,61,65,30,0,3,3,91,4,21,0,24,0,0,6,98,29,69,98,0,0,351,0,449,351,98,6,6,4,1792465815.52835,223150.095858967
36,36,16,031,DUVAL,2000-05-16T00:00:00.000Z,22997044775.8865,1114099.40129032,16,Duval,FL,36,16,31,16944,268,328,1419,3216,2908,2836,2804,1780,869,489,27,0 to 118,46,9570,6653,721,16871,73,0,301,16233,411,239,16325,48,854,16010,10,70,16791,101,7,738,8,444,375,20,839,6,11,67,142,145,136,159,97,61,29,1,0 to 97,50,178,157,40,464,23,320,496,103,6,75,3,0,15,854,382,449,839,15,0,15952,58,16944,16010,854,15,571,508,2136692125.83844,339628.979868484
37,37,34,067,LAFAYETTE,2000-05-16T00:00:00.000Z,15264572234.9149,634013.230316393,34,Lafayette,FL,37,34,67,49,3,0,5,5,12,4,3,7,5,5,0,0 to 118,44,26,22,1,49,0,0,6,43,0,8,40,0,1,48,0,0,49,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,47 to 47,47,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,48,0,49,48,1,0,0,0,1417838543.00769,193229.836834708
38,38,23,045,GULF,2000-05-16T00:00:00.000Z,15857514470.4584,850272.421627332,23,Gulf,FL,38,23,45,109,3,3,5,17,14,18,20,19,8,2,0,1 to 91,52,63,44,2,107,2,0,15,93,1,27,74,8,1,108,0,0,107,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,42 to 42,42,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,106,2,109,108,1,0,5,2,1469866107.27026,258929.917930346
