ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,735,12,12,78,99,105,110,116,98,69,36,0,0 to 118,50,418,305,12,735,0,0,9,674,2,88,1,74,661,0,0,735,73,1,0,0,14,60,0,74,1,0,10,16,17,13,13,3,1,0,0,1 to 79,40,45,9,12,8,14,53,7,3,0,0,0,0,0,74,60,14,74,0,0,1835,0,1910,1835,74,0,105,88,50,1.42926667229121,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,3444,70,113,322,491,427,542,585,425,297,161,11,0 to 118,50,2172,1230,42,3436,8,0,75,3135,133,275,22,209,3232,1,2,3433,131,78,0,0,128,81,0,209,2,20,30,28,30,31,24,20,17,7,0,2 to 98,42,105,89,9,6,9,190,10,43,0,25,0,0,6,209,81,128,209,0,0,4712,8,4930,4720,209,6,182,113,42,2.24642787374222,0.19954202112213
3,3,62,123,TAYLOR,Taylor,FL,882,33,19,77,131,112,112,159,141,71,23,4,0 to 118,50,485,366,31,874,8,0,16,761,3,134,27,62,819,1,0,873,50,11,1,0,19,42,0,61,0,1,12,22,11,2,7,3,4,0,0,6 to 84,32,40,3,16,2,25,34,2,13,0,6,0,0,0,62,42,20,61,1,0,1241,7,1312,1248,62,0,144,42,47,2.58429378620819,0.251180544250225
4,4,46,091,OKALOOSA,Okaloosa,FL,6990,162,149,538,1012,989,914,1073,813,730,571,39,0 to 119,51,4256,2693,41,6849,140,1,145,6411,137,353,72,366,6624,0,0,6850,261,97,4,4,189,169,0,358,6,18,34,67,56,50,57,38,25,15,0,0 to 96,45,282,41,24,11,103,244,11,87,2,52,1,0,6,366,174,192,357,8,1,10480,132,10986,10612,366,6,852,432,58,3.21429590024741,0.223073367593869
5,5,7,013,CALHOUN,Calhoun,FL,532,5,4,43,47,77,75,90,83,71,36,1,0 to 99,56,317,197,18,532,0,0,4,441,4,53,3,65,467,0,0,532,49,16,0,0,50,15,0,65,0,0,6,4,3,2,3,7,20,20,0,20 to 99,78,47,10,0,8,0,52,13,11,0,6,0,0,5,65,15,50,65,0,0,661,0,728,661,65,5,98,36,52,1.88103049327488,0.139649278946295
6,6,50,099,PALM BEACH,Palm Beach,FL,69065,1024,1536,4929,8252,8234,9726,11833,10590,7445,3894,1602,0 to 119,55,37920,30869,276,68300,763,2,2215,62429,465,7264,349,9854,58870,195,146,67964,9589,143,116,6,4830,4892,10,9732,143,349,1189,1657,1553,1510,1325,881,718,521,8,0 to 104,45,4197,1746,1602,2187,3360,4064,2308,2036,32,1502,22,13,450,9854,4961,4883,9730,122,2,104254,638,114981,104892,9854,450,2652,2387,55,4.37197700721313,0.517626395458035
7,7,56,111,ST. LUCIE,St. Lucie,FL,10209,173,204,672,1219,1258,1554,1797,1683,1083,535,31,0 to 119,55,5870,4127,212,10062,147,0,405,8903,188,1173,74,1057,9065,5,82,9975,971,75,11,0,557,488,1,1046,19,32,108,177,154,175,153,115,72,52,0,0 to 97,47,372,197,94,383,160,449,437,206,1,145,2,0,40,1057,493,563,1046,11,0,17262,136,18461,17398,1057,40,336,321,58,2.4043656096016,0.13681239009026
8,8,51,101,PASCO,Pasco,FL,13605,263,324,979,1599,1832,2155,2418,2143,1305,559,28,0 to 119,53,7960,5603,42,13530,75,0,213,12789,223,688,110,627,12957,2,19,13509,568,48,10,1,330,285,1,616,10,17,83,91,111,111,80,79,27,18,0,0 to 94,45,385,80,81,70,135,396,85,137,4,101,3,1,16,627,291,335,616,11,0,25304,64,26006,25368,627,16,1096,544,48,2.21152384171728,0.18173091103068
9,9,20,039,GADSDEN,Gadsden,FL,2917,49,92,210,487,498,511,464,383,140,81,2,0 to 119,47,2025,879,13,2898,18,1,33,2664,46,320,16,316,2599,1,1,2897,302,9,5,0,226,85,0,311,3,7,20,65,72,62,36,27,14,10,0,0 to 98,43,127,131,15,38,35,224,52,63,1,57,0,0,5,316,85,231,310,5,1,4989,13,5324,5002,316,5,373,179,45,2.03339191693402,0.128633605861004
10,10,37,073,LEON,Leon,FL,12861,187,297,1499,2113,1897,1984,2109,1727,675,342,31,0 to 119,47,6668,6063,130,12626,234,1,170,12103,201,553,88,495,12342,3,21,12603,453,10,31,1,247,216,0,463,2,14,141,97,63,65,66,33,10,4,0,0 to 91,33,164,256,15,28,25,402,36,87,11,44,9,7,8,495,232,263,462,32,1,21098,202,21800,21300,495,8,730,311,43,2.42861632663576,0.170704044186268
