OBJECTID,CNTYNAME,CNTYFIPS,ADPHDistrict,CONFIRMED,DIED,Shape__Area,Shape__Length,GlobalID,LabTestCount
27634,Dale,01045,Southeastern,25,0,0.138259666605563,1.65151999951547,80413f9a-da74-456d-8a6a-b7ecddc32575,274
27635,Madison,01089,Northern,214,4,0.207245811581288,2.4192510631746,703f0b74-2fa6-451e-b112-d36f266d0ed2,4795
27636,Washington,01129,Southwestern,27,1,0.26740407070929,2.63236527422465,09cf8ae3-bfc7-4628-9688-0670915df755,152
27637,Wilcox,01131,Southwestern,58,1,0.224284362669096,2.68126387368409,4e959a19-7178-4c5f-81a0-5c7220262388,191
27638,Dallas,01047,Southwestern,37,3,0.246497505086154,3.13752996820932,161eeab5-e14d-457a-80f6-43d332eb21e8,448
27639,Lee,01081,East Central,368,24,0.153274187500529,2.0496448391292,6808c10f-823d-4782-8939-34fa767bd011,2600
27640,Perry,01105,West Central,9,0,0.18021159047953,2.14838023913143,354ac26f-54b5-4078-a16f-06f3df2020ff,200
27641,Walker,01127,West Central,93,0,0.20307720239839,2.39750884765462,22c01474-3e55-45c8-a1e1-a8813c3929c2,770
27642,Henry,01067,Southeastern,22,1,0.139761467476774,1.63725823418183,3ee00072-74a2-4b93-816e-01fdb615318d,158
27643,Tallapoosa,01123,East Central,275,17,0.191182308914904,2.16459004269042,b1a01480-6190-47fb-b3a5-7e3ed970f7f1,1283
27644,Coosa,01037,East Central,30,1,0.16640708911109,1.7505584986585,2cc4d1e2-14f4-4bc3-ab3d-f22153db34a3,98
27645,Cullman,01043,Northern,52,0,0.191087821164047,2.50218505547441,d3304add-4086-4cb1-88f6-d93b521b8d13,772
27646,Elmore,01051,East Central,79,1,0.163505782545826,2.27519521591255,7db117ca-6ab1-4a35-8e5a-6a4994ced441,1029
27647,Cherokee,01019,Northeastern,14,0,0.151975822791428,1.89808177880757,e96066c0-73b2-4d7e-9752-e24b4b78bcab,135
27648,Crenshaw,01041,Southeastern,12,0,0.150571897113878,2.31806123117494,4f30e24a-5115-4456-bf8a-09e55c040bc4,216
27649,Marion,01093,Northern,75,6,0.188224455607951,1.90243452461428,99bff27c-db38-45b8-bb0e-1790179148d6,669
27650,Unknown or Out of State,99999,Unknown,0,0,12.9086340951542,16.2873566339486,73b83ff1-323d-4c6c-82f8-1ee3c0d59941,6566
