OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length
1,1,21,041,GILCHRIST,Gilchrist,FL,220,5,4,22,35,33,33,37,28,18,5,0,0 to 98,48,141,78,1,220,0,0,3,215,2,11,1,4,215,0,1,219,4,0,0,0,2,2,0,4,0,0,0,0,1,2,1,0,0,0,0,38 to 56,50,4,0,0,0,0,4,0,0,0,0,0,0,0,4,2,2,4,0,0,215,0,220,215,4,0,12,3,920490830.042053,148547.348006441
2,2,54,107,PUTNAM,Putnam,FL,1300,33,45,130,183,183,205,219,145,115,37,5,0 to 118,48,776,479,45,1297,3,0,68,1093,133,166,16,87,1210,0,3,1294,48,39,0,0,50,37,0,87,0,11,11,10,16,14,8,13,3,1,0,6 to 88,42,48,37,1,1,1,83,3,27,0,13,0,0,1,87,37,50,87,0,0,1207,3,1300,1210,87,1,87,38,2142439482.67719,232574.925675008
3,3,62,123,TAYLOR,Taylor,FL,215,19,8,10,25,32,31,37,30,18,4,1,0 to 118,49,109,85,21,215,0,0,12,194,3,50,3,3,211,0,1,214,3,0,0,0,3,0,0,3,0,0,0,1,0,1,1,0,0,0,0,29 to 60,47,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,3,0,0,211,0,215,211,3,0,16,6,2685252568.13834,267348.178950349
4,4,46,091,OKALOOSA,Okaloosa,FL,2167,79,57,153,323,344,315,366,268,163,94,5,0 to 118,48,1337,794,36,2091,75,1,86,1918,137,160,58,149,2007,0,11,2081,83,59,3,4,76,66,0,142,1,3,4,20,18,16,30,27,19,11,0,3 to 96,59,109,21,12,0,18,123,1,43,1,24,0,0,3,149,70,79,141,7,1,1939,68,2167,2007,149,3,380,181,2369222670.29688,330553.160278386
5,5,7,013,CALHOUN,Calhoun,FL,108,1,2,10,17,22,12,15,11,16,1,1,0 to 88,45,58,48,2,108,0,0,3,101,4,5,3,6,102,0,0,108,4,2,0,0,4,2,0,6,0,0,1,1,0,1,1,1,0,1,0,20 to 88,52,2,4,0,0,0,6,0,5,0,2,0,0,0,6,2,4,6,0,0,102,0,108,102,6,0,27,0,1487626835.10838,192207.890331272
6,6,50,099,PALM BEACH,Palm Beach,FL,24965,296,391,1535,3000,3282,3926,4624,3440,2000,1118,1353,0 to 115,53,13870,10941,154,24701,262,2,215,24233,465,821,139,2763,21900,251,51,24405,2581,124,52,6,1338,1366,1,2705,14,23,186,313,380,425,466,395,342,202,17,0 to 104,56,978,345,199,1183,337,1070,1298,533,24,394,15,3,156,2763,1400,1362,2703,58,2,21700,200,24965,21900,2763,156,695,438,5710098601.29486,464192.459734082
7,7,56,111,ST. LUCIE,St. Lucie,FL,3010,57,65,199,378,450,527,523,431,268,105,7,0 to 102,51,1747,1186,77,2998,12,0,180,2592,188,348,60,236,2724,2,48,2948,214,16,6,0,135,95,0,230,2,3,15,21,35,30,39,42,28,21,0,3 to 97,58,139,54,15,22,33,170,27,93,0,68,0,0,20,236,97,139,230,6,0,2718,6,3010,2724,236,20,72,57,1499679486.67142,252832.323289834
8,8,51,101,PASCO,Pasco,FL,5212,93,112,361,652,791,919,934,759,430,155,6,0 to 102,51,3130,2068,14,5183,29,0,117,4855,223,315,86,237,4949,6,20,5157,193,37,6,1,120,110,0,230,4,6,20,26,48,45,35,36,11,6,0,1 to 94,48,153,25,35,17,55,153,22,73,3,51,2,0,5,237,114,123,230,7,0,4927,22,5212,4949,237,5,422,128,1975344274.45807,225211.500752162
9,9,20,039,GADSDEN,Gadsden,FL,485,16,11,44,76,96,94,68,54,18,6,2,0 to 96,44,303,176,6,483,1,1,9,405,46,74,7,87,398,0,0,484,79,7,1,0,58,28,0,86,0,0,6,14,22,24,11,6,3,0,1,15 to 83,45,9,54,2,21,3,54,29,12,0,13,0,0,0,87,28,59,85,1,1,398,0,485,398,87,0,107,42,1367889846.39806,205127.330650714
10,10,37,073,LEON,Leon,FL,3102,72,66,394,563,517,512,497,314,112,53,2,0 to 97,43,1717,1286,99,3064,37,1,67,2814,201,200,60,212,2881,2,7,3056,190,9,12,1,107,92,0,199,1,2,28,46,37,36,39,18,2,3,0,2 to 87,43,87,84,6,22,13,161,25,56,8,27,8,1,3,212,100,112,198,13,1,2857,24,3102,2881,212,3,352,182,1817477697.41779,246081.909627491
11,11,33,065,JEFFERSON,Jefferson,FL,142,7,4,5,11,19,19,29,20,14,12,2,0 to 96,56,90,49,3,139,3,0,4,92,41,38,5,28,112,0,2,137,6,20,2,0,13,13,0,26,0,0,1,1,1,3,7,7,4,4,0,22 to 95,66,11,11,4,0,3,21,2,4,2,6,0,0,2,28,15,13,26,2,0,111,1,142,112,28,2,43,10,1581350101.5302,228391.565390175
12,12,40,079,MADISON,Madison,FL,388,32,21,22,26,46,39,40,61,44,32,25,0 to 99,53,223,146,19,378,10,0,15,307,53,172,5,44,251,0,93,289,19,23,2,0,22,20,0,42,2,0,4,4,6,6,6,7,4,5,0,0 to 89,54,11,24,2,5,1,31,10,8,0,4,0,0,2,44,21,23,42,2,0,247,4,388,251,44,2,80,35,1853116752.08771,219176.19751538
13,13,39,077,LIBERTY,Liberty,FL,45,2,3,6,10,6,4,7,5,1,1,0,0 to 89,36,28,15,2,45,0,0,1,43,1,2,0,2,43,0,0,45,2,0,0,0,0,2,0,2,0,0,0,1,0,0,1,0,0,0,0,29 to 56,42,2,0,0,0,0,2,0,1,0,0,0,0,0,2,2,0,2,0,0,43,0,45,43,2,0,13,4,2183538740.41838,308797.501184753
14,14,24,047,HAMILTON,Hamilton,FL,143,4,3,20,22,15,16,26,21,7,6,3,0 to 99,48,82,52,9,142,1,0,9,126,9,15,3,6,134,0,3,139,2,4,0,0,6,0,0,6,0,0,0,2,1,0,3,0,0,0,0,32 to 64,50,4,2,0,0,0,6,0,3,0,0,0,0,0,6,0,6,6,0,0,133,1,143,134,6,0,3,1,1344926537.82205,232510.619937192
15,15,3,005,BAY,Bay,FL,1260,15,18,82,156,185,255,236,152,79,35,47,0 to 99,51,674,533,53,1257,3,0,37,1192,28,74,29,68,1190,2,0,1255,52,15,1,0,29,38,0,67,0,1,3,11,12,17,11,9,3,1,0,14 to 93,48,52,8,3,4,14,46,7,20,1,9,1,0,2,68,39,29,67,1,0,1188,2,1260,1190,68,2,32,27,1930770661.49939,558412.990825665
16,16,12,023,COLUMBIA,Columbia,FL,942,34,38,66,128,131,133,179,141,62,26,4,0 to 118,50,497,372,73,932,10,0,135,739,63,135,17,53,883,0,6,928,35,17,1,0,31,21,0,52,2,0,6,11,5,9,14,5,1,0,0,0 to 76,46,38,11,2,1,5,45,2,3,0,7,0,0,0,53,22,31,52,1,0,876,7,942,883,53,0,8,6,2068684690.43686,276060.430857214
17,17,2,003,BAKER,Baker,FL,361,10,6,37,59,44,66,54,36,29,20,0,0 to 99,48,217,123,21,357,4,0,17,326,16,53,3,20,341,0,0,357,5,15,0,0,13,7,0,20,0,0,1,1,2,0,4,4,5,3,0,24 to 97,70,17,2,1,0,0,19,1,5,0,8,0,0,3,20,7,13,20,0,0,337,4,361,341,20,3,3,2,1520245937.66486,183737.354704368
18,18,30,059,HOLMES,Holmes,FL,478,8,6,28,52,51,77,90,100,49,17,0,0 to 100,57,272,184,22,475,3,0,0,472,5,10,1,9,464,0,5,470,3,6,0,0,3,6,0,9,0,0,0,2,3,2,1,1,0,0,0,27 to 73,44,6,1,1,1,0,8,1,2,0,0,0,0,0,9,6,3,9,0,0,461,3,478,464,9,0,5,5,1251550190.83949,175658.620344926
19,19,43,085,MARTIN,Martin,FL,1718,26,22,100,178,214,278,361,286,180,69,4,0 to 99,56,952,738,28,1708,10,0,77,1546,82,135,59,183,1530,0,5,1704,167,7,9,0,75,99,0,174,1,1,13,18,22,33,40,21,28,6,0,3 to 92,55,109,6,26,33,41,103,30,61,2,40,1,0,5,183,106,77,174,9,0,1530,0,1718,1530,183,5,61,51,1686613017.08661,308980.48751506
20,20,29,057,HILLSBOROUGH,Hillsborough,FL,18946,461,455,1711,3270,3203,3116,3028,2107,1049,507,39,0 to 119,46,11058,7791,97,18745,201,0,416,18003,458,637,270,1062,17836,33,15,18698,947,68,44,3,513,502,0,1015,10,26,124,176,190,193,166,100,53,24,0,0 to 100,45,504,171,213,127,300,556,159,277,10,159,6,2,21,1062,524,538,1015,47,0,17683,153,18946,17836,1062,21,660,313,2746844886.16013,358788.307034344
21,21,41,081,MANATEE,Manatee,FL,3514,88,85,216,431,495,575,619,475,362,166,2,0 to 100,52,2126,1333,55,3493,21,0,245,3062,177,443,33,533,2976,2,3,3488,476,55,2,0,309,221,1,531,2,11,23,47,68,96,70,86,95,35,0,2 to 98,58,316,82,41,92,59,337,135,86,1,129,1,1,42,533,223,309,531,2,0,2957,19,3514,2976,533,42,183,92,1945653927.12581,371198.171414394
22,22,10,019,CLAY,Clay,FL,3587,53,78,280,469,607,671,584,454,272,110,9,0 to 99,49,2068,1398,121,3581,6,0,68,3358,130,289,41,271,3315,1,0,3580,240,29,2,0,161,108,0,269,0,1,15,22,35,43,48,52,35,20,0,6 to 95,59,152,48,17,52,21,194,54,77,0,57,0,0,14,271,109,162,269,2,0,3311,4,3587,3315,271,14,159,131,1667659896.51059,183856.484298748
23,23,25,049,HARDEE,Hardee,FL,127,2,1,14,22,14,23,19,23,5,4,0,0 to 92,49,70,55,2,123,4,0,4,116,2,7,3,13,114,0,0,123,10,1,2,0,8,3,0,11,0,0,1,0,2,4,1,5,0,0,0,23 to 74,50,4,5,0,2,0,9,2,2,2,1,2,0,0,13,4,9,11,2,0,112,2,127,114,13,0,7,7,1653184151.65315,165534.73009074
24,24,42,083,MARION,Marion,FL,4095,58,55,282,473,534,635,743,699,419,196,1,0 to 119,55,2483,1574,38,4085,10,0,522,3375,177,504,88,151,3807,2,135,3949,128,20,3,0,82,66,0,148,1,1,7,22,27,31,35,17,6,4,0,2 to 96,51,113,23,11,1,24,122,2,29,2,20,0,0,4,151,67,84,148,3,0,3801,6,4095,3807,151,4,212,114,4305055841.62241,350920.190673371
25,25,64,127,VOLUSIA,Volusia,FL,8188,79,140,454,879,921,1306,1717,1581,759,337,15,0 to 117,56,4390,3352,446,8155,33,0,122,7722,230,399,121,440,7744,3,1,8151,333,97,9,1,179,250,1,430,1,4,25,59,60,82,73,78,29,29,0,1 to 102,53,238,52,77,63,44,267,119,102,5,74,4,0,18,440,254,185,430,10,0,7721,23,8188,7744,440,18,428,166,3125661534.15881,560414.737839251
26,26,15,029,DIXIE,Dixie,FL,197,6,4,19,19,34,29,31,35,15,4,1,0 to 90,51,110,85,2,197,0,0,8,182,6,15,0,5,191,0,1,196,4,1,0,0,4,1,0,5,0,0,1,0,1,1,0,1,0,1,0,24 to 86,53,1,3,0,1,0,4,1,5,0,2,0,0,0,5,1,4,5,0,0,191,0,197,191,5,0,24,17,1823798262.39212,235232.973119088
27,27,35,069,LAKE,Lake,FL,5119,122,123,332,620,651,813,883,789,592,187,7,0 to 101,53,2830,2165,124,5053,66,0,84,4771,222,237,79,223,4881,1,14,5038,195,16,12,0,108,103,0,211,1,7,12,23,33,41,34,39,31,2,0,1 to 86,52,104,27,69,11,63,132,16,92,10,54,4,1,10,223,110,113,211,12,0,4827,54,5119,4881,223,10,283,103,2995995460.71371,331014.242454318
28,28,38,075,LEVY,Levy,FL,530,13,15,51,78,66,78,101,69,39,19,1,0 to 118,50,326,195,9,530,0,0,13,497,16,36,2,13,517,0,0,530,11,2,0,0,9,4,0,13,0,0,1,1,4,2,3,0,1,1,0,16 to 93,48,7,3,1,2,2,9,2,5,0,2,0,0,0,13,4,9,13,0,0,517,0,530,517,13,0,37,22,2900663690.96646,339394.964008615
29,29,60,119,SUMTER,Sumter,FL,1789,16,15,51,83,75,152,248,707,397,43,2,0 to 96,69,923,788,78,1782,7,0,95,1524,164,182,52,173,1592,0,24,1758,130,43,0,0,61,112,0,173,0,0,5,4,15,26,31,56,31,5,0,17 to 92,65,150,14,2,7,9,154,10,51,0,40,0,0,12,173,112,61,173,0,0,1585,7,1789,1592,173,12,48,39,1502516062.89801,229328.389599522
30,30,59,117,SEMINOLE,Seminole,FL,6327,105,153,502,959,1059,1147,1039,873,329,158,3,0 to 118,48,3656,2620,51,6316,11,0,181,5871,246,338,91,367,5952,4,4,6308,323,38,6,0,192,169,0,361,3,6,35,66,55,68,46,52,21,15,0,1 to 100,47,255,44,43,19,129,206,26,155,5,80,1,0,8,367,171,196,361,6,0,5947,5,6327,5952,367,8,384,151,893350621.597626,158549.770327082
31,31,48,095,ORANGE,Orange,FL,23637,567,668,2022,3971,4204,4307,3927,2458,1081,419,13,0 to 120,45,13183,10355,99,23214,422,1,471,22479,585,879,304,1339,22280,3,15,23197,1179,97,59,4,615,659,2,1276,19,20,140,224,249,280,211,109,62,25,0,0 to 101,45,595,166,372,143,430,472,374,447,36,229,31,2,30,1339,695,642,1275,63,1,21921,359,23637,22280,1339,30,578,381,2601855780.29929,275135.911496092
32,32,9,017,CITRUS,Citrus,FL,1532,21,32,92,183,183,221,272,278,174,72,4,0 to 98,56,831,536,165,1528,4,0,39,1361,119,164,24,97,1433,1,1,1526,44,53,0,0,49,48,0,97,2,4,5,9,6,14,24,15,12,6,0,0 to 93,58,64,1,8,24,10,64,23,27,0,25,0,0,11,97,48,49,97,0,0,1429,4,1532,1433,97,11,340,55,1565249379.23035,242867.273750112
