ï»¿FID,OBJECTID,COUNTY,COUNTY_LAB,Region,OBJECTID_1,COUNTY_1,NEW_CASES,TOTAL_CASES,NEW_DEATHS,TOTAL_DEATHS,Number_of_Facilities,Total_COVID_Cases_Reported_by_F,Total_COVID_Cases_Reported_by_1,Total_COVID_deaths_Reported_by_,Total_COVID_deaths_Reported_by1,SHAPE_Length,SHAPE_Area
1,1,ATLANTIC,Atlantic County,South,1,ATLANTIC,41,2087,6,155,16,579,229,116,1,2.05447812147641,0.16559498041373
2,2,BERGEN,Bergen County,North,2,BERGEN,63,18023,19,1547,63,3033,1480,897,10,1.39387886623887,0.0664519051933741
3,3,BURLINGTON,Burlington County,South,3,BURLINGTON,50,4432,2,275,26,1253,629,223,4,2.44002736600597,0.223724841246765
4,4,CAMDEN,Camden County,South,4,CAMDEN,72,6227,6,313,26,1092,358,232,3,1.5543030516609,0.0620009389436172
5,5,CAPE MAY,Cape May County,South,5,CAPE MAY,22,592,0,48,7,187,135,38,0,1.58994162990645,0.0772352247636285
6,6,CUMBERLAND,Cumberland County,South,6,CUMBERLAND,75,2098,2,65,7,268,172,31,1,2.21365547167372,0.135867606809924
7,7,ESSEX,Essex County,North,7,ESSEX,92,17338,19,1624,46,2025,870,533,19,1.10531082341503,0.0358568237634079
8,8,GLOUCESTER,Gloucester County,South,8,GLOUCESTER,34,2130,2,140,14,437,214,110,2,1.80429807369917,0.0914749371966451
9,9,HUDSON,Hudson County,North,9,HUDSON,36,18132,15,1158,15,713,409,187,7,1.22502437377172,0.0142321908375888
10,10,HUNTERDON,Hunterdon County,Central,10,HUNTERDON,7,973,0,57,4,207,164,33,2,1.78512935993174,0.120468851107817
11,11,MERCER,Mercer County,Central,11,MERCER,53,6592,6,458,23,1051,499,289,3,1.5501420715373,0.0627676690792756
12,12,MONMOUTH,Monmouth County,Central,13,MONMOUTH,58,7961,15,575,53,1548,705,418,5,2.30128897653111,0.133191124803161
13,13,OCEAN,Ocean County,Central,15,OCEAN,49,8514,12,704,49,1710,749,409,2,2.1761306129879,0.206732780359718
14,14,PASSAIC,Passaic County,North,16,PASSAIC,52,15873,7,899,25,1096,639,327,13,1.56336840982204,0.0550131927088685
15,15,SALEM,Salem County,South,17,SALEM,7,579,3,32,5,109,58,22,0,2.08307712712064,0.0942680106180723
16,16,SOMERSET,Somerset County,Central,18,SOMERSET,13,4505,9,408,32,951,564,279,7,1.71686776703541,0.0839848419907746
17,17,SUSSEX,Sussex County,North,19,SUSSEX,8,1095,1,146,5,247,117,101,4,1.69177740640281,0.14878204079266
18,18,UNION,Union County,North,20,UNION,30,15324,12,1042,29,1296,574,450,10,1.05870542897882,0.0290675390089666
19,19,WARREN,Warren County,North,21,WARREN,6,1145,1,129,7,401,114,106,1,1.7507652347905,0.100311884632681
20,20,MORRIS,Morris County,North,14,MORRIS,21,6289,5,600,42,1307,600,445,3,2.40809246203369,0.133188921848586
21,21,MIDDLESEX,Middlesex County,Central,12,MIDDLESEX,45,15547,6,964,42,1571,739,475,7,1.62072838209013,0.0871537443231625
