ï»¿FID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,648,11,10,67,81,83,97,104,90,69,36,0,0 to 118,52,398,240,10,648,0,0,5,635,2,19,1,12,635,1,0,647,11,1,0,0,7,5,0,12,0,0,2,1,1,3,3,1,1,0,0,21 to 79,50,8,1,2,1,2,10,0,1,0,0,0,0,0,12,5,7,12,0,0,666,0,679,666,12,0,18,1,50,1.42926667229121,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,3346,67,98,305,478,415,528,572,418,294,160,11,0 to 118,50,2115,1185,46,3338,8,0,72,3109,133,219,19,144,3197,2,3,3333,98,46,0,0,87,57,0,144,0,12,13,19,22,23,15,18,15,7,0,6 to 98,47,81,54,8,1,6,133,5,33,0,18,0,0,4,144,57,87,144,0,0,3324,8,3484,3332,144,4,98,29,42,2.24642787374222,0.19954202112213
3,3,62,123,TAYLOR,Taylor,FL,811,33,17,68,105,99,107,150,137,68,23,4,0 to 118,52,460,319,32,804,7,0,15,739,3,83,3,14,796,1,0,803,9,5,0,0,8,6,0,14,0,0,4,3,0,1,4,2,0,0,0,20 to 70,40,14,0,0,0,0,14,0,3,0,1,0,0,0,14,6,8,14,0,0,869,7,893,876,14,0,97,70,47,2.58429378620819,0.251180544250225
4,4,46,091,OKALOOSA,Okaloosa,FL,6728,150,118,501,954,951,880,1041,799,726,569,39,0 to 119,52,4113,2570,45,6587,140,1,106,6373,137,203,66,198,6528,2,0,6586,111,79,4,4,104,86,0,190,3,4,8,23,28,25,40,31,23,13,0,0 to 96,56,148,32,9,1,31,159,0,56,2,33,1,0,6,198,91,107,189,8,1,6826,132,7162,6958,198,6,488,143,58,3.21429590024741,0.223073367593869
5,5,7,013,CALHOUN,Calhoun,FL,506,5,4,37,43,78,70,87,82,65,34,1,0 to 99,56,296,191,19,506,0,0,3,441,4,42,3,52,453,1,0,505,35,17,0,0,41,11,0,52,0,0,4,3,4,1,2,6,14,18,0,20 to 99,80,34,9,1,8,0,41,11,11,0,5,0,0,3,52,11,41,52,0,0,519,0,573,519,52,3,67,10,52,1.88103049327488,0.139649278946295
6,6,50,099,PALM BEACH,Palm Beach,FL,63975,917,1254,4154,7350,7421,8950,11169,10245,7199,3721,1595,0 to 119,56,35330,28357,288,63242,731,2,1391,60317,465,4124,301,5455,58181,224,115,62908,5231,132,86,6,2626,2731,6,5363,48,106,491,826,814,838,796,633,538,364,1,0 to 104,50,2568,1035,732,1028,1580,2663,1120,1434,27,1071,17,11,320,5455,2783,2666,5361,92,2,61379,636,67907,62015,5455,320,716,452,55,4.37197700721313,0.517626395458035
7,7,56,111,ST. LUCIE,St. Lucie,FL,9314,150,171,577,1058,1131,1416,1682,1586,1030,484,29,0 to 119,55,5356,3734,224,9168,146,0,302,8479,188,745,70,420,8813,6,75,9087,369,41,10,0,217,193,0,410,2,5,28,63,63,69,65,60,40,25,0,3 to 97,52,211,101,42,56,70,273,67,129,0,91,1,0,29,420,197,223,410,10,0,9360,136,9926,9496,420,29,73,58,58,2.4043656096016,0.13681239009026
8,8,51,101,PASCO,Pasco,FL,13112,252,299,887,1527,1762,2080,2356,2094,1277,550,28,0 to 119,53,7701,5363,48,13038,74,0,150,12590,223,467,95,373,12718,5,16,13017,318,45,9,1,196,166,1,363,7,11,27,44,71,75,51,56,16,15,0,0 to 94,49,236,42,46,39,71,245,47,92,4,75,3,1,12,373,172,200,363,10,0,13566,64,14022,13630,373,12,645,183,48,2.21152384171728,0.18173091103068
9,9,20,039,GADSDEN,Gadsden,FL,2773,48,87,197,456,467,484,441,375,137,79,2,0 to 119,48,1931,828,14,2755,17,1,26,2590,46,241,14,268,2503,2,0,2754,255,9,4,0,202,62,0,264,2,4,14,57,63,52,30,26,11,9,0,0 to 98,44,103,115,10,36,19,195,50,45,0,42,0,0,1,268,63,205,263,4,1,3333,13,3624,3346,268,1,299,144,45,2.03339191693402,0.128633605861004
10,10,37,073,LEON,Leon,FL,12529,185,288,1421,2041,1850,1943,2071,1693,666,340,31,0 to 119,47,6474,5916,139,12302,226,1,124,11987,201,378,78,377,12137,4,11,12288,342,10,24,1,188,164,0,352,1,10,101,66,48,53,61,26,8,3,0,2 to 87,36,133,194,8,17,21,309,22,74,10,37,9,6,6,377,178,199,351,25,1,13099,201,13683,13300,377,6,551,208,43,2.42861632663576,0.170704044186268
11,11,33,065,JEFFERSON,Jefferson,FL,553,11,11,20,43,74,77,116,119,64,17,1,0 to 101,58,331,217,5,548,5,0,6,484,41,67,7,29,524,0,0,548,7,20,2,0,15,12,0,27,0,0,1,2,1,3,7,7,4,4,0,22 to 95,66,10,12,5,0,3,23,1,4,2,7,0,0,3,29,14,15,27,2,0,565,3,598,568,29,3,46,8,66,2.20493093525027,0.148496656229977
12,12,40,079,MADISON,Madison,FL,1009,42,33,85,111,119,138,146,176,105,47,7,0 to 99,52,642,360,7,986,23,0,24,886,53,213,10,69,937,2,1,983,24,41,4,0,39,26,0,65,2,0,8,4,8,8,16,10,4,9,0,0 to 98,57,21,37,4,3,1,52,12,9,0,4,0,1,4,69,27,42,65,4,0,951,19,1042,970,69,4,115,29,56,2.16969163731198,0.174026330045279
13,13,39,077,LIBERTY,Liberty,FL,2208,3,4,155,686,560,398,268,93,28,5,8,0 to 92,39,164,2035,9,2208,0,0,1,2011,1,50,0,209,1999,0,0,2208,206,3,0,0,5,204,0,209,0,0,11,55,51,53,35,4,0,0,0,20 to 73,41,109,93,4,3,6,129,74,5,0,1,0,0,0,209,204,5,209,0,0,2021,0,2232,2021,209,0,23,6,49,3.02097391492398,0.204641327093244
14,14,24,047,HAMILTON,Hamilton,FL,1912,11,17,138,522,401,310,235,163,69,42,4,0 to 118,41,402,1478,32,1908,4,0,30,1852,9,209,5,208,1703,1,0,1907,202,5,0,1,11,196,0,207,0,0,9,66,48,41,35,6,3,0,0,17 to 84,41,98,96,12,1,12,61,134,5,1,1,0,0,0,208,196,12,207,1,0,1780,3,1994,1783,208,0,5,3,50,2.3015236652275,0.126367835513063
15,15,3,005,BAY,Bay,FL,3120,35,31,190,367,411,520,609,436,280,186,55,0 to 119,54,1750,1315,55,3099,21,0,42,3022,28,99,35,97,3021,2,0,3097,73,22,2,0,41,54,0,95,2,1,5,17,15,26,15,11,4,1,0,2 to 93,48,74,11,6,4,25,63,7,28,1,13,1,1,3,97,56,41,95,2,0,3587,19,3706,3606,97,3,35,28,50,5.42268520962735,0.181027420718501
16,16,12,023,COLUMBIA,Columbia,FL,3332,84,91,229,394,413,434,657,539,283,199,9,0 to 119,55,1877,1352,103,3318,14,0,168,3047,63,233,16,135,3193,0,4,3315,106,28,1,0,63,71,0,134,3,3,14,29,22,27,23,9,4,1,0,0 to 91,44,68,61,4,1,9,121,4,5,0,11,0,0,2,135,72,63,134,1,0,3377,12,3547,3389,135,2,9,7,46,2.63367862103558,0.193837653658007
17,17,2,003,BAKER,Baker,FL,882,30,14,95,130,119,143,147,104,66,32,2,0 to 99,48,488,339,55,822,60,0,22,839,16,62,3,29,853,0,0,822,10,19,0,0,18,11,0,29,0,0,3,2,3,1,5,7,5,3,0,20 to 97,65,21,6,2,0,0,28,1,8,0,11,0,0,3,29,11,18,29,0,0,849,60,938,909,29,3,3,2,70,1.77124519435665,0.142602236961311
18,18,30,059,HOLMES,Holmes,FL,757,12,11,57,86,88,124,146,148,63,21,1,0 to 119,54,427,311,19,748,9,0,3,744,5,16,3,18,739,0,0,748,12,6,0,0,8,10,0,18,1,0,0,4,5,4,1,2,1,0,0,1 to 79,42,12,3,1,2,0,16,2,4,0,1,0,0,0,18,10,8,18,0,0,746,9,774,755,18,0,12,11,44,1.73644592497981,0.117992933758262
19,19,43,085,MARTIN,Martin,FL,6556,113,117,404,582,693,814,1252,1302,914,344,21,0 to 100,59,3239,2813,504,6465,91,0,136,6131,82,416,64,550,5996,5,5,6456,527,11,12,0,252,277,9,538,22,22,76,77,97,94,72,37,38,13,2,0 to 92,41,244,12,157,125,267,155,116,113,2,71,1,1,9,550,285,256,538,12,0,6714,78,7355,6792,550,9,62,51,55,2.97866994211851,0.153458428490643
20,20,29,057,HILLSBOROUGH,Hillsborough,FL,50983,1167,1336,4020,7408,7367,7964,8909,7167,3848,1700,97,0 to 119,50,29300,21466,217,50579,404,0,536,49483,458,1399,299,1995,48923,47,18,50515,1832,104,56,3,1025,911,0,1936,24,43,203,317,322,322,296,221,150,97,0,0 to 104,47,915,410,399,212,550,1078,308,468,11,396,8,3,72,1995,938,1057,1936,59,0,51448,344,53921,51792,1995,72,678,330,45,3.45236134967177,0.251838053021243
21,21,41,081,MANATEE,Manatee,FL,14920,242,292,775,1321,1494,1940,2865,3213,1987,687,104,0 to 119,59,8528,6071,321,14678,242,0,477,13962,177,931,42,996,13918,6,0,14672,932,57,7,0,569,419,1,989,9,32,52,106,137,146,154,149,135,75,1,0 to 101,55,658,184,72,75,234,637,118,135,2,206,2,2,93,996,422,573,989,7,0,15303,235,16548,15538,996,93,190,92,57,3.59179695196309,0.177648040338128
22,22,10,019,CLAY,Clay,FL,8132,118,198,600,932,1123,1331,1462,1292,754,301,21,0 to 101,53,4698,3315,119,8112,20,0,92,7749,130,412,43,366,7763,3,0,8109,326,37,3,0,216,146,1,363,0,3,19,31,42,57,66,70,50,28,0,6 to 95,59,225,73,21,44,25,283,55,113,0,89,0,0,28,366,147,218,363,3,0,8541,17,8929,8558,366,28,195,165,59,1.77574995355385,0.155892403767859
23,23,25,049,HARDEE,Hardee,FL,765,17,33,89,141,82,101,117,108,55,22,0,0 to 94,47,421,324,20,761,4,0,20,618,2,89,3,88,677,0,0,761,72,14,2,0,39,47,0,86,1,6,16,29,7,10,9,9,1,0,0,2 to 83,30,39,32,14,1,37,47,2,17,2,10,2,0,0,88,48,40,86,2,0,729,2,819,731,88,0,100,70,50,1.60075687900909,0.150973021686986
24,24,42,083,MARION,Marion,FL,11430,140,167,705,1296,1354,1731,2042,2096,1337,535,27,0 to 168,56,6929,4458,43,11399,31,0,2466,8618,177,1394,129,240,11011,1,178,11220,214,21,4,1,133,102,0,235,4,3,16,34,47,44,43,28,14,7,0,0 to 97,48,172,38,17,8,43,184,8,43,3,31,0,0,5,240,103,137,235,5,0,11325,26,11595,11351,240,5,285,133,51,3.40272879823586,0.399426438918717
25,25,64,127,VOLUSIA,Volusia,FL,19726,168,279,967,1973,2117,2846,4110,3865,2109,1001,291,0 to 119,58,11000,7990,736,19631,95,0,210,19006,230,655,133,683,19032,11,0,19620,556,113,13,1,298,371,0,669,4,15,38,96,81,122,123,120,47,37,0,0 to 102,54,392,143,123,11,101,532,36,187,5,139,4,0,37,683,377,306,669,14,0,20098,81,20885,20179,683,37,682,259,53,5.33119702869585,0.289588880387825
