County,Cases,Deaths,Recovered,ReportDate
OKLAHOMA,1227,58,1070,2020-05-27
TULSA,958,49,751,2020-05-27
TEXAS,902,5,763,2020-05-27
CLEVELAND,494,37,431,2020-05-27
WASHINGTON,314,35,270,2020-05-27
COMANCHE,274,3,218,2020-05-27
CADDO,153,10,109,2020-05-27
WAGONER,150,17,121,2020-05-27
CANADIAN,128,3,112,2020-05-27
MCCLAIN,101,2,85,2020-05-27
DELAWARE,100,16,79,2020-05-27
CREEK,93,7,79,2020-05-27
OSAGE,93,8,82,2020-05-27
GRADY,83,3,59,2020-05-27
ADAIR,82,3,68,2020-05-27
ROGERS,79,5,68,2020-05-27
GREER,66,7,59,2020-05-27
POTTAWATOMIE,58,4,50,2020-05-27
KAY,52,7,42,2020-05-27
PAYNE,45,1,43,2020-05-27
PITTSBURG,40,3,37,2020-05-27
MUSKOGEE,39,6,24,2020-05-27
STEPHENS,37,1,24,2020-05-27
CARTER,36,1,12,2020-05-27
OTTAWA,35,2,32,2020-05-27
MCCURTAIN,32,0,12,2020-05-27
PAWNEE,30,2,27,2020-05-27
MAYES,30,4,23,2020-05-27
CHEROKEE,29,1,27,2020-05-27
CHOCTAW,27,0,10,2020-05-27
GARFIELD,26,1,23,2020-05-27
JACKSON,24,2,19,2020-05-27
BEAVER,24,0,22,2020-05-27
BRYAN,23,1,15,2020-05-27
NOWATA,23,0,22,2020-05-27
SEMINOLE,23,2,19,2020-05-27
TILLMAN,23,1,21,2020-05-27
OKMULGEE,23,0,17,2020-05-27
LINCOLN,22,2,16,2020-05-27
LOGAN,19,1,17,2020-05-27
GARVIN,16,1,14,2020-05-27
CRAIG,15,0,13,2020-05-27
LOVE,15,0,4,2020-05-27
SEQUOYAH,14,3,11,2020-05-27
LE FLORE,14,1,11,2020-05-27
CUSTER,13,0,12,2020-05-27
PONTOTOC,12,2,8,2020-05-27
KINGFISHER,11,0,10,2020-05-27
MCINTOSH,11,1,8,2020-05-27
MARSHALL,8,0,5,2020-05-27
NOBLE,7,0,7,2020-05-27
BECKHAM,6,0,6,2020-05-27
HASKELL,6,0,5,2020-05-27
MAJOR,6,1,5,2020-05-27
KIOWA,6,0,4,2020-05-27
BLAINE,6,0,2,2020-05-27
LATIMER,5,1,4,2020-05-27
COTTON,5,2,3,2020-05-27
DEWEY,4,0,2,2020-05-27
JEFFERSON,4,0,3,2020-05-27
WOODWARD,4,0,1,2020-05-27
OKFUSKEE,3,0,2,2020-05-27
MURRAY,3,0,2,2020-05-27
JOHNSTON,3,0,3,2020-05-27
WOODS,3,0,3,2020-05-27
WASHITA,2,0,1,2020-05-27
PUSHMATAHA,2,0,1,2020-05-27
GRANT,2,0,2,2020-05-27
ATOKA,2,0,1,2020-05-27
HARPER,1,0,1,2020-05-27
COAL,1,0,1,2020-05-27
CIMARRON,1,0,1,2020-05-27
ALFALFA,1,0,1,2020-05-27
