ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,813,18,23,96,105,115,125,122,102,71,36,0,0 to 118,49,453,351,9,813,0,0,19,677,2,175,3,129,684,0,0,813,109,20,0,0,38,91,0,129,5,6,22,21,22,24,20,6,3,0,0,0 to 83,39,93,13,15,8,29,87,13,8,0,1,0,0,0,129,91,38,129,0,0,2442,0,2574,2442,129,0,244,227,39,1.42926667229121,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,3817,84,150,410,564,478,583,620,449,305,162,12,0 to 118,49,2318,1419,80,3807,10,0,95,3421,133,446,22,619,3195,1,2,3804,341,276,1,1,299,274,44,617,14,58,121,113,86,79,63,46,26,12,1,0 to 98,35,277,206,46,88,93,386,138,86,0,46,0,0,7,619,275,300,617,2,0,7238,8,7867,7246,619,7,212,143,35,2.24642787374222,0.19954202112213
3,3,62,123,TAYLOR,Taylor,FL,962,33,20,94,152,126,121,170,144,74,24,4,0 to 118,49,535,396,31,954,8,0,20,772,3,211,28,116,844,1,1,952,93,21,2,0,53,60,1,114,0,2,24,36,20,8,14,4,8,0,0,6 to 84,33,63,20,20,11,26,76,12,24,0,8,0,0,1,116,60,55,114,2,0,1546,6,1671,1552,116,1,305,203,33,2.58429378620819,0.251180544250225
4,4,46,091,OKALOOSA,Okaloosa,FL,7689,192,172,680,1156,1111,1013,1133,866,749,577,40,0 to 119,50,4590,3025,74,7540,148,1,219,6688,137,660,93,1017,6653,0,19,7522,866,132,12,5,520,457,21,998,13,33,178,202,170,137,117,82,54,29,0,0 to 99,39,620,84,79,215,200,535,263,118,3,69,1,0,10,1015,466,528,997,17,1,15572,131,16735,15703,1015,10,1273,842,39,3.21429590024741,0.223073367593869
5,5,7,013,CALHOUN,Calhoun,FL,605,5,8,51,60,86,84,108,89,72,42,0,0 to 99,55,359,230,16,605,0,0,7,462,4,97,6,122,483,0,0,605,106,16,0,0,79,43,0,122,0,2,14,12,11,9,16,13,21,24,0,7 to 99,64,86,14,7,15,9,90,23,18,0,12,0,0,7,122,43,79,122,0,0,958,0,1083,958,122,7,218,156,64,1.88103049327488,0.139649278946295
6,6,50,099,PALM BEACH,Palm Beach,FL,78665,1230,1923,6548,10136,9812,11085,12980,11268,7844,4229,1610,0 to 119,53,42777,35565,323,77828,835,2,3619,67779,465,11772,424,18664,59635,184,182,77467,18298,164,188,6,9240,9162,60,18462,315,674,2698,3466,3048,2720,2357,1454,1057,854,13,0 to 105,41,7265,3022,2688,5487,5709,6930,5823,2720,41,1970,27,14,578,18656,9269,9324,18460,194,2,149945,638,169504,150583,18656,578,5773,5508,41,4.37197700721313,0.517626395458035
7,7,56,111,ST. LUCIE,St. Lucie,FL,11989,206,278,935,1526,1538,1846,2017,1822,1177,607,37,0 to 119,53,6897,4858,234,11841,148,0,632,9783,188,2101,91,2483,9359,6,141,11694,2373,95,15,0,1339,1111,18,2468,49,89,347,447,397,411,309,220,124,84,6,0 to 102,42,854,409,216,989,502,856,1110,285,1,214,2,1,59,2483,1120,1345,2468,15,0,23712,133,26341,23845,2483,59,1655,1640,42,2.4043656096016,0.13681239009026
8,8,51,101,PASCO,Pasco,FL,16691,327,427,1564,2204,2315,2634,2790,2389,1415,595,31,0 to 119,50,9505,7097,89,16606,85,0,612,14227,223,2162,147,3334,13313,2,42,16562,3235,75,19,1,1665,1611,34,3310,61,100,599,657,549,507,394,286,128,48,1,0 to 99,39,1753,211,302,1044,562,1540,1208,393,8,220,4,1,27,3330,1621,1675,3310,20,0,39229,65,42643,39294,3330,27,2861,2309,39,2.21152384171728,0.18173091103068
9,9,20,039,GADSDEN,Gadsden,FL,3112,55,110,243,517,532,543,483,395,149,83,2,0 to 119,46,2121,980,11,3094,17,1,54,2738,46,452,18,495,2615,1,1,3093,479,12,4,0,322,169,0,491,6,24,48,95,107,89,54,39,21,12,0,0 to 98,41,177,192,25,97,72,306,113,107,0,73,0,0,7,495,169,326,490,4,1,6035,13,6555,6048,495,7,503,309,41,2.03339191693402,0.128633605861004
10,10,37,073,LEON,Leon,FL,14462,202,360,2253,2421,2056,2100,2220,1770,690,348,42,0 to 119,44,7493,6818,151,14210,251,1,275,13291,201,1009,105,2049,12401,2,10,14199,1980,18,46,3,1026,943,29,1998,14,69,896,405,213,175,157,77,22,9,10,0 to 105,25,521,525,70,882,106,855,1037,134,11,62,10,7,8,2047,966,1052,1997,49,1,34025,202,36352,34227,2047,8,1050,631,25,2.42861632663576,0.170704044186268
