County,Cases,Deaths,Recovered,ReportDate
TULSA,4693,72,3617,2020-07-09
OKLAHOMA,4194,72,3046,2020-07-09
CLEVELAND,1208,40,958,2020-07-09
TEXAS,1001,6,982,2020-07-09
MCCURTAIN,596,9,428,2020-07-09
COMANCHE,474,7,406,2020-07-09
PAYNE,465,1,371,2020-07-09
WASHINGTON,440,39,371,2020-07-09
CANADIAN,430,3,307,2020-07-09
WAGONER,344,19,255,2020-07-09
ROGERS,291,7,181,2020-07-09
MCCLAIN,229,4,175,2020-07-09
GRADY,224,5,140,2020-07-09
DELAWARE,218,17,155,2020-07-09
CADDO,202,11,179,2020-07-09
CREEK,201,7,145,2020-07-09
OSAGE,194,8,169,2020-07-09
MUSKOGEE,174,13,102,2020-07-09
CARTER,159,2,96,2020-07-09
BRYAN,154,1,95,2020-07-09
POTTAWATOMIE,142,4,107,2020-07-09
ADAIR,136,4,113,2020-07-09
OTTAWA,132,2,83,2020-07-09
OKMULGEE,127,0,64,2020-07-09
CHOCTAW,123,1,109,2020-07-09
KAY,120,8,88,2020-07-09
MAYES,109,5,81,2020-07-09
GARVIN,106,2,76,2020-07-09
CHEROKEE,105,1,84,2020-07-09
GARFIELD,93,2,69,2020-07-09
MCINTOSH,79,1,56,2020-07-09
STEPHENS,76,1,60,2020-07-09
LOGAN,75,1,50,2020-07-09
CUSTER,70,0,58,2020-07-09
PITTSBURG,69,3,59,2020-07-09
GREER,67,7,57,2020-07-09
PONTOTOC,67,2,41,2020-07-09
PAWNEE,65,3,53,2020-07-09
SEQUOYAH,59,3,41,2020-07-09
JACKSON,54,3,34,2020-07-09
SEMINOLE,53,3,34,2020-07-09
LE FLORE,53,1,30,2020-07-09
NOBLE,50,1,36,2020-07-09
LOVE,45,0,36,2020-07-09
MARSHALL,43,0,32,2020-07-09
LINCOLN,40,2,30,2020-07-09
KINGFISHER,39,0,26,2020-07-09
NOWATA,37,1,34,2020-07-09
BEAVER,32,0,32,2020-07-09
ATOKA,31,0,18,2020-07-09
CRAIG,26,0,21,2020-07-09
TILLMAN,26,1,23,2020-07-09
MURRAY,24,0,21,2020-07-09
PUSHMATAHA,20,0,12,2020-07-09
BLAINE,18,0,16,2020-07-09
LATIMER,18,1,10,2020-07-09
OKFUSKEE,17,0,14,2020-07-09
HASKELL,16,0,11,2020-07-09
WOODWARD,15,0,12,2020-07-09
JOHNSTON,15,0,12,2020-07-09
KIOWA,14,1,10,2020-07-09
HUGHES,13,0,10,2020-07-09
BECKHAM,13,0,9,2020-07-09
JEFFERSON,13,0,9,2020-07-09
MAJOR,10,1,9,2020-07-09
COAL,10,0,7,2020-07-09
COTTON,10,2,5,2020-07-09
WOODS,9,0,5,2020-07-09
WASHITA,7,0,3,2020-07-09
DEWEY,4,0,4,2020-07-09
HARMON,3,0,1,2020-07-09
ELLIS,2,0,2,2020-07-09
GRANT,2,0,2,2020-07-09
CIMARRON,1,0,1,2020-07-09
ALFALFA,1,0,1,2020-07-09
HARPER,1,0,1,2020-07-09
