ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,MedianAge,SHAPE_Length,SHAPE_Area
18,18,30,059,HOLMES,Holmes,FL,951,15,13,77,143,134,156,167,159,65,21,1,0 to 119,51,451,485,15,939,12,0,7,765,5,202,8,199,752,0,0,939,176,20,1,2,28,168,0,196,2,0,21,57,50,35,18,13,3,0,0,1 to 83,38,115,67,9,5,16,155,25,7,0,5,0,0,0,199,169,30,196,3,0,2418,9,2630,2427,199,0,85,79,43,38,1.73644592497981,0.117992933758262
19,19,43,085,MARTIN,Martin,FL,8458,177,234,698,929,1026,1120,1441,1425,984,401,23,0 to 100,55,4183,3842,433,8362,96,0,545,6577,82,1883,81,2320,6102,1,35,8327,2290,14,16,0,1063,1237,4,2304,82,127,372,420,414,384,235,137,92,54,3,0 to 99,38,835,101,735,633,1276,556,472,349,2,196,1,1,28,2320,1246,1070,2304,16,0,15525,78,17947,15603,2320,28,851,840,38,38,2.97866994211851,0.153458428490643
20,20,29,057,HILLSBOROUGH,Hillsborough,FL,64022,1470,1893,6734,10716,9352,9708,10077,7741,4132,1911,288,0 to 119,46,36184,27471,367,63583,439,0,1100,59115,458,3953,328,14336,49545,22,119,63442,13937,304,92,3,7498,6642,101,14241,298,530,2794,3573,2203,1927,1409,746,422,259,175,0 to 104,34,4289,1850,1634,6468,2819,4049,7373,1149,12,675,9,3,150,14336,6688,7547,14241,95,0,126847,344,141620,127191,14336,150,3836,3489,37,34,3.45236134967177,0.251838053021243
21,21,41,081,MANATEE,Manatee,FL,17902,317,490,1329,1904,1994,2338,3173,3395,2081,778,103,0 to 119,56,10080,7540,282,17639,263,0,1012,15778,177,2157,50,3716,14179,4,3,17632,3626,63,27,0,1900,1781,8,3689,83,223,576,673,614,525,419,288,194,121,0,0 to 101,39,1711,318,322,1338,989,1226,1474,214,4,284,3,2,131,3716,1792,1916,3689,27,0,42209,236,46183,42445,3716,131,390,292,45,39,3.59179695196309,0.177648040338128
22,22,10,019,CLAY,Clay,FL,8809,125,225,724,1054,1240,1456,1531,1348,769,315,22,0 to 101,52,5056,3645,108,8787,22,0,208,8089,130,722,61,991,7817,1,0,8786,907,80,4,0,542,441,4,987,5,24,127,156,151,173,136,115,61,42,1,0 to 100,47,460,174,79,274,86,600,301,170,0,110,0,0,34,991,443,544,987,4,0,18131,18,19153,18149,991,34,574,541,55,47,1.77574995355385,0.155892403767859
23,23,25,049,HARDEE,Hardee,FL,1334,44,110,185,254,176,160,166,141,71,27,0,0 to 94,39,730,589,15,1326,8,0,72,661,2,593,9,506,827,0,1,1325,367,133,5,1,254,246,0,500,17,53,78,116,80,58,42,41,16,5,0,0 to 86,33,366,64,49,21,349,133,18,76,3,43,3,1,3,506,250,256,500,6,0,2306,2,2816,2308,506,3,869,770,35,33,1.60075687900909,0.150973021686986
24,24,42,083,MARION,Marion,FL,15684,175,240,1089,1832,1816,2249,2652,2894,1926,784,27,0 to 168,56,9560,6078,46,15657,27,0,4243,10515,177,3634,160,927,14618,0,139,15519,896,26,4,1,478,443,1,922,17,22,152,185,151,134,129,73,50,14,0,0 to 97,40,636,148,62,76,170,668,84,153,3,88,0,0,12,927,444,482,922,5,0,24925,21,25878,24946,927,12,961,796,45,40,3.40272879823586,0.399426438918717
25,25,64,127,VOLUSIA,Volusia,FL,22158,196,353,1425,2397,2451,3179,4468,4118,2215,1065,291,0 to 119,57,12379,9121,658,22059,99,0,570,20396,230,1715,154,2685,19466,0,7,22052,2436,232,16,1,1380,1283,5,2668,28,73,461,484,374,384,371,284,120,100,6,0 to 102,42,1160,365,507,636,327,1472,869,403,6,243,5,0,58,2685,1292,1388,2668,17,0,40979,82,43776,41061,2685,58,1492,878,49,42,5.33119702869585,0.289588880387825
26,26,15,029,DIXIE,Dixie,FL,826,21,27,67,91,136,107,139,126,71,40,1,0 to 118,52,488,322,16,826,0,0,12,706,6,100,2,78,748,0,0,826,62,16,0,0,38,40,0,78,0,3,13,5,14,11,12,9,8,3,0,6 to 91,50,59,15,0,4,0,73,5,17,0,12,0,0,4,78,40,38,78,0,0,1395,0,1473,1395,78,4,153,98,48,50,2.28600352325086,0.169869356765238
27,27,35,069,LAKE,Lake,FL,16685,253,280,1082,1680,1688,2115,2671,2931,2066,678,1241,0 to 103,57,8748,6915,1022,16544,141,0,222,15655,222,798,106,1845,14804,0,36,16510,1807,19,19,0,900,915,11,1826,30,41,329,360,267,293,245,147,103,28,2,0 to 103,41,661,216,264,685,278,763,785,221,12,132,5,1,23,1845,926,908,1826,19,0,35718,120,37705,35838,1845,23,931,639,44,41,3.13721776582964,0.276793966603692
