ï»¿FID,OBJECTID,COUNTY,COUNTY_LAB,Region,OBJECTID_1,COUNTY_1,NEW_CASES,TOTAL_CASES,NEW_DEATHS,TOTAL_DEATHS,Number_of_Facilities,Total_COVID_Cases_Reported_by_F,Total_COVID_Cases_Reported_by_1,Total_COVID_deaths_Reported_by_,Total_COVID_deaths_Reported_by1,SHAPE_Length,SHAPE_Area
1,1,ATLANTIC,Atlantic County,South,1,ATLANTIC,29,2284,1,163,16,633,273,126,1,2.05447812147641,0.16559498041373
2,2,BERGEN,Bergen County,North,2,BERGEN,36,18376,11,1595,63,3141,1613,906,10,1.39387886623887,0.0664519051933741
3,3,BURLINGTON,Burlington County,South,3,BURLINGTON,21,4700,5,302,27,1299,681,241,4,2.44002736600597,0.223724841246765
4,4,CAMDEN,Camden County,South,4,CAMDEN,39,6645,7,346,28,1177,439,249,3,1.5543030516609,0.0620009389436172
5,5,CAPE MAY,Cape May County,South,5,CAPE MAY,1,629,0,50,9,196,141,40,0,1.58994162990645,0.0772352247636285
6,6,CUMBERLAND,Cumberland County,South,6,CUMBERLAND,83,2431,1,79,7,290,182,33,1,2.21365547167372,0.135867606809924
7,7,ESSEX,Essex County,North,7,ESSEX,57,17811,14,1687,46,2116,980,555,19,1.10531082341503,0.0358568237634079
8,8,GLOUCESTER,Gloucester County,South,8,GLOUCESTER,16,2278,1,149,15,475,230,115,3,1.80429807369917,0.0914749371966451
9,9,HUDSON,Hudson County,North,9,HUDSON,34,18460,7,1192,15,988,507,232,7,1.22502437377172,0.0142321908375888
10,10,HUNTERDON,Hunterdon County,Central,10,HUNTERDON,4,1006,1,61,4,209,169,35,2,1.78512935993174,0.120468851107817
11,11,MERCER,Mercer County,Central,11,MERCER,30,7033,8,485,23,1085,531,306,3,1.5501420715373,0.0627676690792756
12,12,MONMOUTH,Monmouth County,Central,13,MONMOUTH,44,8332,11,619,53,1728,777,453,6,2.30128897653111,0.133191124803161
13,13,OCEAN,Ocean County,Central,15,OCEAN,28,8853,13,755,49,1852,803,444,2,2.1761306129879,0.206732780359718
14,14,PASSAIC,Passaic County,North,16,PASSAIC,43,16277,9,940,25,1160,683,359,13,1.56336840982204,0.0550131927088685
15,15,SALEM,Salem County,South,17,SALEM,6,653,2,44,5,139,84,33,0,2.08307712712064,0.0942680106180723
16,16,SOMERSET,Somerset County,Central,18,SOMERSET,15,4619,4,423,33,1001,604,279,7,1.71686776703541,0.0839848419907746
17,17,SUSSEX,Sussex County,North,19,SUSSEX,6,1128,1,149,7,250,135,106,4,1.69177740640281,0.14878204079266
18,18,UNION,Union County,North,20,UNION,20,15911,8,1086,29,1390,623,463,10,1.05870542897882,0.0290675390089666
19,19,WARREN,Warren County,North,21,WARREN,9,1182,0,132,7,405,127,111,1,1.7507652347905,0.100311884632681
20,20,MORRIS,Morris County,North,14,MORRIS,15,6540,2,619,42,1370,663,453,5,2.40809246203369,0.133188921848586
21,21,MIDDLESEX,Middlesex County,Central,12,MIDDLESEX,45,16066,6,1004,42,1671,806,481,9,1.62072838209013,0.0871537443231625
