"county","cases","deaths","url","notes","tested","pending","negative","positive","inconclusive","positives-travel","Locally Acquired (person to person or community spread)","Known Contact Positives","Community Transmission Positives","unknown/under investigation","recovered","Hospitalized","ICU","federal quarantine","Non-Resident Positive Tests","PUI (travelers + others)","travelers completed monitoring","updated","",""
"Nevada","4","0","https://www.mynevadacounty.com/2956/COVID-19-Cases-in-Nevada-County","","","","","","","2","","","1","1","","","","","","","","","",""
"Orange","187","1","http://www.ochealthinfo.com/phs/about/epidasmt/epi/dip/prevention/novel_coronavirus","","2442","","","","","62","","17","57","51","","","","","","","","","",""
"Placer","30","1","https://www.placer.ca.gov/6448/Cases-in-Placer","","","","","","","","","","","","","","","","","","","","",""
"Plumas","0","0","https://www.plumascounty.us/2669/Novel-Coronavirus-2019","","37","15","22","0","","","","","","","","","","","","","","","",""
"Riverside","107","8","https://www.rivcoph.org/coronavirus","","","","","","","4","24","","","79","","","","","","","","","",""
"Sacramento","113","5","https://www.saccounty.net/COVID-19/Pages/default.aspx","They aren't reporting their numbers daily, so beware calculating daily changes.","","","","","","","","","","","","","","","","","","","",""
"San Benito County","7","1","https://hhsa.cosb.us/publichealth/communicable-disease/coronavirus/","","90","19","65","","","2","","3","","1","2","","","","","","","","",""
"San Bernardino","54","2","http://wp.sbcounty.gov/dph/coronavirus/","","","","","","","","","","","","","","","","","","","","",""
"San Diego County","242","2","https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/community_epidemiology/dc/2019-nCoV/status.html","This includes residents in federal quarantine and non-residents tested positive. Is ICU included in hospitalizations?","","","","","","","","","","","","45","21","","16","","","","",""
"San Francisco","178","1","https://www.sfdph.org/dph/alerts/coronavirus.asp","","","","","","","","","","","","","","","","","","","","",""
"San Joaquin","71","3","http://www.sjcphs.org/","","","","","","","","","","","","","","","","","","","","",""
"San Luis Obispo","46","0","https://www.emergencyslo.org/en/positive-case-details.aspx","","","","","","","","","","","","7","2","1","","","","","","",""
"San Mateo County","165","5","https://www.smchealth.org/coronavirus","","","","","","","","","","","","","","","","","","","","",""
"Santa Barbara","24","0","https://publichealthsbc.org/","","493","239","229","24","1","","","","","","","","","","","","","","",""
"Santa Clara","459","17","https://www.sccgov.org/sites/phd/DiseaseInformation/novel-coronavirus/Pages/home.aspx","As of March 22, 2020, the Public Health laboratory has tested 1044 samples, for 647 individual patients. Does not include private labs, who are only required to report positive cases to the public health department.","647","","","","","30","","88","217","","","137","","","","","","","",""
"Santa Cruz","25","0","https://www.santacruzhealth.org/HSAHome/HSADivisions/PublicHealth/CommunicableDiseaseControl/Coronavirus.aspx","","","","","","","","","","","","","","","","","","","","",""
"Shasta","3","1","https://www.co.shasta.ca.us/index/hhsa/health-safety/current-heath-concerns/coronavirus","Numbers are in a video report.","","6","82","3","","2","","1","","","","","","","","","","","",""
"Sierra County","0","0","http://www.sierracounty.ca.gov/582/Coronavirus-COVID-19","","4","2","2","0","","","","","","","","","","","","","","","",""
"Siskiyou County","3","0","https://www.co.siskiyou.ca.us/publichealth","","55","22","30","3","","","","","","","","","","","","","","","",""
"Solano County","24","0","http://www.solanocounty.com/depts/ph/ncov.asp","","","","","","","","","","","","","7","","","","","","","",""
"Sonoma","37","1","https://socoemergency.org/emergency/novel-coronavirus/novel-coronavirus-in-sonoma-county/","The display ""active cases"" prominently but it doesn't include deaths and recovered. Make sure to pull ""cumulative cases.""","","58","605","37","","7","","4","7","19","2","","","","","","","","",""
"Stanislaus County","12","0","http://schsa.org/publichealth/pages/corona-virus/","","","","","","","","","","","","","","","","","","","","",""
"Sutter","2","0","https://www.suttercounty.org/doc/government/depts/cao/em/coronavirus","Yuba and Sutter appear to report together to a certain extent.","","","","","","","","","","","","","","","","","","","",""
"Tehama","0","0","https://www.tehamacohealthservices.net/services/communicable-diseases/#current-events","","","","","","","","","","","","","","","","","","","","",""
"Trinity","0","0","https://www.trinitycounty.org/Public-Health","","","","","","","","","","","","","","","","","","","","",""
"Tulare","18","0","https://tchhsa.org/eng/index.cfm/public-health/covid-19-updates-novel-coronavirus/","","","","","","","13","","2","","3","","","","","","","","","",""
"Tuolumne County","0","0","https://www.tuolumnecounty.ca.gov/250/Public-Health","","105","23","82","0","","","","","","","","","","","","","","","",""
"Ventura","39","1","https://www.vcemergency.com/","","","","","","","","","","","","","","","","","","","","",""
"Yolo County","10","1","https://www.yolocounty.org/health-human-services/adults/communicable-disease-investigation-and-control/novel-coronavirus-2019","","","","","","","","","","","","","","","","","","","","",""
"Yuba","3","0","https://www.yuba.org/coronavirus/","Yuba and Sutter appear to report together to a certain extent, and info is easier to find on the Sutter county website.","","","","","","","","","2","","","","","","","","","","",""
