OBJECTID_12_13,OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTAre,ShapeSTLen,OBJECTID_1,County_1,State,OBJECTID_12,DEPCODE_1,COUNTYN,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,PUIAgeAvrg,PUIAgeRange,C_AgeAvrg,C_AgeRange,C_AllResTypes,C_NonResDeaths,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUITravelNo,PUITravelUnkn,PUITravelYes,C_ED_NO,C_ED_NoData,C_ED_Yes,C_Hosp_No,C_Hosp_Nodata,C_Hosp_Yes,FLResDeaths,PUILab_Yes,TPositive,TNegative,TInconc,TPending,PUIContNo,PUIContUnkn,PUIContYes,CasesAll,C_Men,C_Women,C_TravelYes,C_TravelNo,C_TravelUnkn,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_PendRes,T_PendNotRes,T_total,T_negative,T_pending,T_positive,FLandNonFLDeaths,EverMon,MonNow,Shape__Area,Shape__Length
33,33,27,053,HERNANDO,2000-05-16T00:00:00.000Z,13561044546.5447,658252.887531729,27,Hernando,FL,33,27,53,115,2,4,14,16,16,17,15,19,7,5,0,0,0,2,2,0,0,0,4,0,0,0,0 to 93,48,19 to 74,8,0,65,49,1,110,5,0,24,75,16,8,0,0,8,0,0,0,114,8,106,0,1,23,26,9,8,4,4,4,4,0,8,0,0,101,5,1,0,115,106,1,8,0,11,8,0.116176883037724,1.97468350184421
34,34,52,103,PINELLAS,2000-05-16T00:00:00.000Z,8169203571.8812,1167816.84045851,52,Pinellas,FL,34,52,103,1047,24,21,69,146,120,166,185,198,73,43,2,0,0,5,7,2,8,14,15,3,0,0,0 to 101,51,21 to 83,50,0,584,455,8,1030,17,0,145,782,120,26,3,25,37,1,16,1,995,54,940,1,52,184,16,47,54,34,20,38,16,0,50,4,0,929,12,51,1,1047,941,52,54,1,100,37,0.0695827304341492,3.37527233635509
35,35,61,121,SUWANNEE,2000-05-16T00:00:00.000Z,19295996990.3474,731987.008657942,61,Suwannee,FL,35,61,121,38,0,0,3,4,4,5,6,11,3,2,0,0,0,0,0,0,0,0,0,0,0,0,20 to 86,55,NA,0,0,26,10,2,38,0,0,24,12,2,0,0,0,0,0,0,0,24,0,24,0,14,22,2,0,0,0,0,0,0,0,0,0,0,24,0,14,0,38,24,14,0,0,1,0,0.167912477110349,2.13933971528732
36,36,16,031,DUVAL,2000-05-16T00:00:00.000Z,22997044775.8865,1114099.40129032,16,Duval,FL,36,16,31,1049,25,17,58,113,120,144,157,118,132,165,0,0,0,3,2,7,8,12,7,12,9,0,0 to 104,57,19 to 91,55,0,603,411,35,1038,11,0,127,893,29,9,36,15,10,34,16,3,804,60,744,0,245,201,48,54,60,28,28,8,18,34,55,5,0,739,5,244,1,1049,744,245,60,3,56,28,0.200425275894077,3.27411455353061
37,37,34,067,LAFAYETTE,2000-05-16T00:00:00.000Z,15264572234.9149,634013.230316393,34,Lafayette,FL,37,34,67,9,0,0,1,1,2,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,19 to 86,54,NA,0,0,5,4,0,9,0,0,3,6,0,0,0,0,0,0,0,0,8,0,8,0,1,2,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,9,8,1,0,0,0,0,0.132542672340151,1.87054630069585
38,38,23,045,GULF,2000-05-16T00:00:00.000Z,15857514470.4584,850272.421627332,23,Gulf,FL,38,23,45,25,0,1,2,3,2,5,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8 to 77,52,NA,0,0,13,11,1,24,1,0,11,7,7,0,0,0,0,0,0,0,18,0,18,0,7,10,9,1,0,0,0,0,0,0,0,0,0,17,1,7,0,25,18,7,0,0,1,1,0.137366647973977,2.48127035884172
39,39,63,125,UNION,2000-05-16T00:00:00.000Z,6963394478.96307,420643.595360959,63,Union,FL,39,63,125,25,1,1,2,5,7,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3 to 74,40,NA,0,0,15,10,0,25,0,0,4,18,3,0,0,0,0,0,0,0,24,0,24,0,1,6,2,0,0,0,0,0,0,0,0,0,0,24,0,1,0,25,24,1,0,0,0,0,0.0605152418579564,1.26448361984134
40,40,4,007,BRADFORD,2000-05-16T00:00:00.000Z,8359862626.37378,548326.687246681,4,Bradford,FL,40,4,7,36,0,0,3,3,2,5,6,7,7,3,0,0,0,0,0,0,0,0,1,0,0,0,19 to 89,60,69 to 69,1,0,24,11,1,36,0,0,15,21,0,0,1,0,0,0,1,0,33,1,32,0,3,7,4,3,1,1,0,0,1,0,1,0,0,32,0,3,0,36,32,3,1,0,11,11,0.0725862816580047,1.60231094057636
41,41,65,129,WAKULLA,2000-05-16T00:00:00.000Z,17022505120.6189,916733.867149366,66,Wakulla,FL,41,65,129,25,0,2,1,2,3,6,7,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,7 to 93,50,NA,0,0,18,7,0,25,0,0,4,21,0,0,0,0,0,0,0,0,25,0,25,0,0,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,25,25,0,0,0,2,1,0.147928217269509,2.72889764415906
42,42,5,009,BREVARD,2000-05-16T00:00:00.000Z,28936951380.6763,2600567.11621827,5,Brevard,FL,42,5,9,246,3,5,9,31,26,37,57,37,28,13,0,0,0,0,3,1,3,3,1,1,0,0,1 to 110,55,30 to 76,11,0,138,102,6,245,1,0,36,200,10,7,0,5,10,0,2,0,230,12,218,0,16,37,4,9,12,8,4,8,4,0,11,1,0,218,0,16,0,246,218,16,12,0,32,5,0.247147786915775,7.43388258408546
