ï»¿OBJECTID_12,OBJECTID,COUNTY,COUNTY_LAB,Region,Shape_Leng,OBJECTID_1,COUNTY_1,NEW_CASES,TOTAL_CASES,NEW_DEATHS,TOTAL_DEATHS,PROBABLE_DEATHS,Number_of_Facilities___Cumulati,Cumulative_COVID_Cases_Reported,Cumulative_COVID_Cases_Report_1,Cumulative_COVID_deaths_Reporte,Cumulative_COVID_deaths_Repor_1,Facilities_with_Active_Outbreak,Active_COVID_Cases_Reported_by_,Active_COVID_Cases_Reported_by1,Active_COVID_deaths_Reported_by,Active_COVID_deaths_Reported__1,SHAPE_Length,SHAPE_Area
1,1,ATLANTIC,Atlantic County,South,650227.599305,1,ATLANTIC,18,3079,2,221,15,17,690,320,155,1,9,629,260,138,1,2.05447812147641,0.16559498041373
2,2,BERGEN,Bergen County,North,443324.34793,2,BERGEN,24,19950,1,1762,268,62,3320,1757,931,11,55,3190,1661,893,11,1.39387886623887,0.0664519051933741
3,3,BURLINGTON,Burlington County,South,788903.854872,3,BURLINGTON,11,5430,2,414,42,30,1368,767,281,5,25,1261,698,250,4,2.44002736600597,0.223724841246765
4,4,CAMDEN,Camden County,South,495006.578775,4,CAMDEN,17,7786,3,502,56,32,1324,499,305,3,28,1307,482,304,3,1.5543030516609,0.0620009389436172
5,5,CAPE MAY,Cape May County,South,514564.340282,5,CAPE MAY,3,747,0,76,4,11,237,180,52,0,10,186,155,36,0,1.58994162990645,0.0772352247636285
6,6,CUMBERLAND,Cumberland County,South,704221.618565,6,CUMBERLAND,4,3072,0,140,13,7,388,253,66,1,6,284,224,39,1,2.21365547167372,0.135867606809924
7,7,ESSEX,Essex County,North,344556.352028,7,ESSEX,27,19119,4,1834,255,46,2211,1074,570,20,29,1670,822,429,16,1.10531082341503,0.0358568237634079
8,8,GLOUCESTER,Gloucester County,South,560696.852574,8,GLOUCESTER,8,2808,1,189,7,17,702,271,142,3,13,634,253,122,3,1.80429807369917,0.0914749371966451
9,9,HUDSON,Hudson County,North,381356.570663,9,HUDSON,19,19240,3,1312,185,15,1009,586,254,8,14,940,564,226,8,1.22502437377172,0.0142321908375888
10,10,HUNTERDON,Hunterdon County,Central,561755.697692,10,HUNTERDON,0,1098,0,70,56,5,216,179,37,2,5,216,179,37,2,1.78512935993174,0.120468851107817
11,11,MERCER,Mercer County,Central,484092.889323,11,MERCER,11,7827,0,561,43,24,1198,603,344,4,16,1026,510,283,4,1.5501420715373,0.0627676690792756
12,12,MONMOUTH,Monmouth County,Central,733254.571341,13,MONMOUTH,24,9626,1,745,101,54,1886,914,509,7,38,1473,748,396,7,2.30128897653111,0.133191124803161
13,13,OCEAN,Ocean County,Central,722804.023315,15,OCEAN,13,9902,1,928,73,50,1992,935,517,4,27,1572,713,394,1,2.1761306129879,0.206732780359718
14,14,PASSAIC,Passaic County,North,492850.749337,16,PASSAIC,22,17150,5,1074,158,27,1341,798,404,16,19,991,562,328,7,1.56336840982204,0.0550131927088685
15,15,SALEM,Salem County,South,664540.959975,17,SALEM,2,822,1,74,5,6,185,115,61,0,5,172,109,55,0,2.08307712712064,0.0942680106180723
16,16,SOMERSET,Somerset County,Central,541586.64384,18,SOMERSET,5,5059,1,470,82,33,1073,695,297,8,30,1016,675,276,7,1.71686776703541,0.0839848419907746
17,17,SUSSEX,Sussex County,North,525986.641842,19,SUSSEX,4,1241,0,158,37,9,260,155,110,4,6,254,127,108,3,1.69177740640281,0.14878204079266
18,18,UNION,Union County,North,321814.207051,20,UNION,11,16567,1,1162,179,29,1492,737,475,11,29,1492,737,475,11,1.05870542897882,0.0290675390089666
19,19,WARREN,Warren County,North,554859.389117,21,WARREN,1,1268,1,154,17,9,411,136,123,1,6,254,103,78,1,1.7507652347905,0.100311884632681
20,20,MORRIS,Morris County,North,750263.075351,14,MORRIS,7,6932,2,669,157,45,1460,738,494,3,20,829,410,285,1,2.40809246203369,0.133188921848586
21,21,MIDDLESEX,Middlesex County,Central,505626.031639,12,MIDDLESEX,16,17142,3,1176,221,42,1730,904,512,8,42,1730,904,512,8,1.62072838209013,0.0871537443231625
