OBJECTID_12_13,OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTAre,ShapeSTLen,OBJECTID_1,County_1,State,OBJECTID_12,DEPCODE_1,COUNTYN,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,PUIAgeAvrg,PUIAgeRange,C_AgeAvrg,C_AgeRange,C_AllResTypes,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUITravelNo,PUITravelUnkn,PUITravelYes,C_ED_NO,C_ED_NoData,C_ED_Yes,C_Hosp_No,C_Hosp_Nodata,C_Hosp_Yes,FLResDeaths,PUILab_Yes,TPositive,TNegative,TInconc,TPending,PUIContNo,PUIContUnkn,PUIContYes,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,C_HospYes_Res,C_HospYes_NonRes,C_EDYes_Res,C_EDYes_NonRes
29,29,60,119,SUMTER,2000-05-16T00:00:00.000Z,16171035313.1481,751914.035739446,60,Sumter,FL,29,60,119,1097,11,11,28,41,37,84,158,458,246,22,1,0,0,2,2,5,10,17,41,26,4,69,0 to 96,68,18 to 92,107,608,446,43,1097,0,0,101,952,44,61,9,37,75,5,27,9,1083,107,967,9,14,86,37,87,107,58,49,107,0,0,975,0,1097,975,107,9,44,39,1502516062.89801,229328.389599522,27,0,37,0
30,30,59,117,SEMINOLE,2000-05-16T00:00:00.000Z,9616121249.97192,520365.445917892,57,Seminole,FL,30,59,117,2733,60,62,236,485,525,473,384,325,99,83,1,0,1,20,41,32,53,33,43,8,7,44,0 to 104,49,6 to 100,232,1651,1058,24,2723,10,0,196,2457,80,111,13,114,174,6,58,2,2720,238,2480,2,13,140,52,147,238,108,130,232,6,0,2477,4,2733,2481,238,2,369,237,893350621.597626,158549.770327082,57,1,110,4
31,31,48,095,ORANGE,2000-05-16T00:00:00.000Z,28006104673.618,903213.715428867,48,Orange,FL,31,48,95,10024,338,261,888,1830,1839,1728,1467,967,480,223,3,8,7,83,150,171,188,152,80,44,19,43,0 to 101,46,0 to 101,850,5769,4215,40,9821,202,1,401,9450,173,224,416,262,388,381,133,12,10005,902,9092,11,19,272,141,278,902,474,424,849,52,1,8947,150,10024,9097,902,12,570,407,2601855780.29929,275135.911496092,119,14,246,16
32,32,9,017,CITRUS,2000-05-16T00:00:00.000Z,16847060705.6176,796979.404269785,9,Citrus,FL,32,9,17,816,11,16,49,93,101,109,151,152,97,34,3,0,0,4,5,6,7,18,12,9,3,57,0 to 97,60,17 to 88,64,458,268,90,813,3,0,119,676,21,25,21,18,40,5,19,6,812,64,744,4,4,33,71,68,64,32,32,64,0,0,742,3,816,745,64,6,206,112,1565249379.23035,242867.273750112,19,0,18,0
33,33,27,053,HERNANDO,2000-05-16T00:00:00.000Z,13561044546.5447,658252.887531729,27,Hernando,FL,33,27,53,928,16,13,73,134,141,148,171,134,71,27,0,0,0,3,16,6,8,13,13,4,1,50,0 to 97,52,19 to 85,61,557,363,8,918,10,0,96,799,33,37,7,20,50,1,13,2,927,64,861,2,1,46,73,48,64,32,32,61,3,0,856,7,928,863,64,2,29,19,1259956856.20596,200494.167365377,11,2,18,2
34,34,52,103,PINELLAS,2000-05-16T00:00:00.000Z,8169203571.8812,1167816.84045851,52,Pinellas,FL,34,52,103,8133,124,125,535,1200,1147,1335,1474,1216,648,314,15,1,3,32,70,48,81,95,70,24,7,52,0 to 104,53,1 to 95,394,4810,3297,26,8004,129,0,597,7251,285,241,62,128,313,35,83,12,8048,431,7604,13,85,547,105,216,431,227,204,394,37,0,7518,92,8133,7610,431,12,305,232,758940582.722305,356104.408630079,69,14,113,15
35,35,61,121,SUWANNEE,2000-05-16T00:00:00.000Z,19295996990.3474,731987.008657942,61,Suwannee,FL,35,61,121,284,7,3,25,46,36,44,47,44,23,9,0,0,1,8,9,8,5,11,8,6,3,51,0 to 92,51,5 to 89,59,202,70,12,284,0,0,77,203,4,29,21,9,35,15,9,0,284,59,225,0,0,42,23,54,59,15,44,59,0,0,225,0,284,225,59,0,7,5,1792465815.52835,223150.095858967,9,0,9,0
36,36,16,031,DUVAL,2000-05-16T00:00:00.000Z,22997044775.8865,1114099.40129032,16,Duval,FL,36,16,31,11447,177,209,923,2225,2068,1904,1785,1150,584,399,23,4,5,47,106,98,100,115,72,46,24,45,0 to 118,50,0 to 97,604,6523,4328,596,11401,46,0,201,11202,44,67,478,73,121,438,59,11,11359,618,10725,16,88,254,148,265,618,283,313,603,14,0,10698,31,11448,10729,618,11,443,395,2136692125.83844,339628.979868484,56,3,69,4
37,37,34,067,LAFAYETTE,2000-05-16T00:00:00.000Z,15264572234.9149,634013.230316393,34,Lafayette,FL,37,34,67,35,2,0,3,4,8,3,3,5,3,4,0,0,0,0,0,0,1,0,0,0,0,45,0 to 118,47,47 to 47,1,18,16,1,35,0,0,7,28,0,1,0,0,1,0,0,0,35,1,34,0,0,4,13,0,1,0,1,1,0,0,34,0,35,34,1,0,0,0,1417838543.00769,193229.836834708,0,0,0,0
38,38,23,045,GULF,2000-05-16T00:00:00.000Z,15857514470.4584,850272.421627332,23,Gulf,FL,38,23,45,82,3,3,4,12,9,14,16,14,7,0,0,0,0,0,0,1,0,0,0,0,0,52,1 to 78,42,42 to 42,1,46,35,1,80,2,0,23,51,8,0,0,1,1,0,0,0,82,1,81,0,0,15,19,1,1,0,1,1,0,0,79,2,82,81,1,0,5,2,1469866107.27026,258929.917930346,0,0,1,0
39,39,63,125,UNION,2000-05-16T00:00:00.000Z,6963394478.96307,420643.595360959,63,Union,FL,39,63,125,103,4,1,7,14,27,17,12,13,5,3,0,0,0,0,1,0,0,1,0,0,0,43,1 to 86,42,25 to 60,2,56,43,4,103,0,0,10,89,4,0,2,0,1,1,0,0,100,2,98,0,3,11,9,1,2,1,1,2,0,0,98,0,103,98,2,0,4,3,646977045.561768,128178.538552252,0,0,0,0
40,40,4,007,BRADFORD,2000-05-16T00:00:00.000Z,8359862626.37378,548326.687246681,4,Bradford,FL,40,4,7,256,3,3,19,31,25,32,39,32,43,27,2,0,1,0,0,4,0,1,3,7,6,58,0 to 100,79,8 to 100,22,158,88,10,256,0,0,52,204,0,2,18,2,15,4,3,0,248,22,226,0,8,14,48,26,22,4,18,22,0,0,226,0,256,226,22,0,28,17,776744615.959412,167178.838252791,3,0,2,0
41,41,65,129,WAKULLA,2000-05-16T00:00:00.000Z,17022505120.6189,916733.867149366,66,Wakulla,FL,41,65,129,160,3,5,14,33,28,32,22,13,6,3,1,0,0,0,2,1,3,0,1,0,0,44,0 to 93,45,26 to 65,7,87,71,2,160,0,0,13,146,1,3,0,4,2,0,5,0,160,7,153,0,0,6,0,8,7,2,5,7,0,0,153,0,160,153,7,0,28,10,1579533632.64177,279225.038340218,5,0,4,0
42,42,5,009,BREVARD,2000-05-16T00:00:00.000Z,28936951380.6763,2600567.11621827,5,Brevard,FL,42,5,9,2228,38,49,138,303,328,326,460,340,165,80,1,1,3,7,18,16,20,23,13,14,6,52,0 to 103,52,1 to 94,115,1323,866,39,2221,7,0,132,2054,42,54,12,55,82,4,35,2,2226,121,2093,12,2,67,79,45,121,61,60,115,6,0,2093,1,2228,2094,121,2,202,166,2687643838.87906,793218.333609179,33,2,53,2
43,43,53,105,POLK,2000-05-16T00:00:00.000Z,56039729499.5993,1273587.97322649,53,Polk,FL,43,53,105,3629,84,78,283,538,533,589,579,523,303,117,2,1,4,10,33,36,40,44,40,25,8,49,0 to 100,54,3 to 97,240,2106,1438,85,3616,13,0,231,3301,97,102,26,113,144,22,75,8,3612,241,3367,4,17,183,53,124,241,111,130,240,1,0,3356,12,3629,3368,241,8,274,211,5206715917.89822,388118.956177661,74,1,112,1
44,44,49,097,OSCEOLA,2000-05-16T00:00:00.000Z,41974373975.6891,1149911.15232981,49,Osceola,FL,44,49,97,2356,32,53,189,436,460,414,365,247,123,30,7,1,2,22,36,47,68,64,46,17,2,45,0 to 97,51,0 to 94,298,1344,998,14,2343,13,0,336,1880,140,129,32,144,183,27,95,5,2289,305,1983,1,67,224,114,249,305,161,143,298,7,0,1979,4,2356,1983,305,5,259,104,3899316052.50861,350452.549474464,91,4,141,3
45,45,28,055,HIGHLANDS,2000-05-16T00:00:00.000Z,30858531275.5408,973257.170083551,28,Highlands,FL,45,28,55,382,11,2,22,60,50,55,55,62,48,15,2,1,1,3,9,3,5,7,7,10,1,53,0 to 95,56,0 to 85,46,215,145,22,376,6,0,22,347,13,13,9,25,25,6,16,4,381,47,332,2,1,16,97,28,47,27,20,46,1,0,327,5,382,332,47,4,61,27,2866885704.30579,296636.719911829,15,1,24,1
46,46,36,071,LEE,2000-05-16T00:00:00.000Z,22734524817.4646,1913267.0220598,36,Lee,FL,46,36,71,5303,77,67,354,758,794,927,905,793,461,164,3,3,5,31,69,82,82,95,110,71,24,51,0 to 100,56,0 to 100,546,3157,2047,99,5262,40,1,358,4854,91,186,262,124,242,217,113,16,5281,572,4706,3,22,154,74,338,572,278,284,545,26,1,4694,12,5303,4706,572,16,693,566,2112333669.17714,583283.842331616,104,9,114,10
47,47,11,021,COLLIER,2000-05-16T00:00:00.000Z,55941206045.6423,1903355.15661929,11,Collier,FL,47,11,21,3047,25,38,186,393,404,450,508,522,387,132,2,2,1,18,47,29,44,67,51,54,14,55,0 to 103,58,0 to 99,271,1746,1288,13,2913,134,0,332,2586,129,137,106,84,202,78,47,3,3032,327,2704,1,15,168,252,152,327,171,156,271,56,0,2626,78,3047,2704,327,3,456,348,5197102107.68439,580181.883282756,40,7,69,15
