OBJECTID_12_13,OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTAre,ShapeSTLen,OBJECTID_1,County_1,State,OBJECTID_12,DEPCODE_1,COUNTYN,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,PUIAgeAvrg,PUIAgeRange,C_AgeAvrg,C_AgeRange,C_AllResTypes,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUITravelNo,PUITravelUnkn,PUITravelYes,C_ED_NO,C_ED_NoData,C_ED_Yes,C_Hosp_No,C_Hosp_Nodata,C_Hosp_Yes,FLResDeaths,PUILab_Yes,TPositive,TNegative,TInconc,TPending,PUIContNo,PUIContUnkn,PUIContYes,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,C_HospYes_Res,C_HospYes_NonRes,C_EDYes_Res,C_EDYes_NonRes
59,59,18,035,FLAGLER,2000-05-16T00:00:00.000Z,13936478366.7697,723300.597094917,18,Flagler,FL,59,18,35,597,5,6,27,74,88,85,114,120,62,15,1,0,0,1,4,3,5,18,10,3,0,56,0 to 98,61,17 to 77,42,321,238,38,592,5,0,33,538,26,31,2,11,36,1,7,1,597,44,551,2,0,7,62,26,44,21,23,42,2,0,549,3,597,552,44,1,57,28,1294754947.55994,220559.838719988,6,1,10,1
60,60,26,051,HENDRY,2000-05-16T00:00:00.000Z,33164247954.1707,952053.303145101,26,Hendry,FL,60,26,51,176,2,4,8,33,35,20,34,23,10,7,0,0,0,0,4,5,1,3,2,0,0,47,1 to 90,40,28 to 72,15,96,77,3,175,1,0,20,155,1,8,0,7,10,0,5,0,176,15,160,1,0,13,7,6,15,8,7,15,0,0,160,1,176,161,15,0,35,27,3080878042.06929,290231.154940413,5,0,7,0
61,61,31,061,INDIAN RIVER,2000-05-16T00:00:00.000Z,14211052094.6021,768080.956031033,31,Indian River,FL,61,31,61,936,13,16,60,88,82,140,180,193,113,49,2,0,1,4,7,4,10,14,19,9,2,58,0 to 105,62,8 to 94,62,553,360,23,924,12,0,82,803,51,29,5,36,50,2,18,1,896,70,826,0,40,69,51,49,70,40,30,62,8,0,824,2,936,826,70,1,155,77,1319798862.49319,234087.653130679,17,1,32,4
62,62,6,011,BROWARD,2000-05-16T00:00:00.000Z,33839548761.036,958026.061896544,6,Broward,FL,62,6,11,22380,176,260,1472,3869,4162,4286,3815,2521,1187,603,29,2,15,200,419,463,494,517,332,151,84,48,0 to 106,50,0 to 98,2604,11537,9297,1546,22103,277,0,1738,19968,674,1009,856,814,1552,731,396,72,22314,2679,19603,32,66,912,1338,1312,2679,1445,1219,2604,75,0,19413,199,22380,19612,2679,72,930,679,3142374056.01305,291881.846057183,371,25,778,36
63,63,17,033,ESCAMBIA,2000-05-16T00:00:00.000Z,19152061307.8204,1448408.40435881,17,Escambia,FL,63,17,33,3257,148,118,387,596,508,499,467,322,154,58,0,2,1,30,31,34,30,27,24,18,7,42,0 to 100,45,2 to 95,186,1966,1273,18,2963,294,0,154,3053,50,99,78,27,135,52,17,3,3250,204,3044,2,7,81,117,54,204,98,103,186,18,0,2768,276,3257,3044,204,3,122,69,1767890300.40206,439974.169549806,17,0,27,0
64,64,47,093,OKEECHOBEE,2000-05-16T00:00:00.000Z,24844271086.3607,893974.023125111,47,Okeechobee,FL,64,47,93,169,5,8,15,21,23,30,30,18,15,3,1,0,0,0,1,1,0,1,2,0,0,48,0 to 97,61,33 to 74,4,83,72,14,166,3,0,26,136,7,1,4,0,3,0,2,0,168,5,163,0,1,28,2,2,5,2,3,4,1,0,161,2,169,163,5,0,7,6,2307690905.70045,272539.677334045,1,1,0,0
65,65,19,037,FRANKLIN,2000-05-16T00:00:00.000Z,15589551427.4073,1467124.86409578,19,Franklin,FL,65,19,37,51,1,2,5,5,2,7,13,10,6,0,0,0,0,0,1,0,0,1,0,0,0,57,3 to 84,42,25 to 60,1,20,30,1,50,1,0,5,43,3,2,0,0,2,0,0,0,51,2,49,0,0,8,2,0,2,0,2,1,1,0,49,0,51,49,2,0,3,3,1445840682.56789,446544.245992026,0,0,0,0
66,66,1,001,ALACHUA,2000-05-16T00:00:00.000Z,27023240533.1793,892726.558557937,1,Alachua,FL,66,1,1,3499,83,46,459,672,504,432,489,446,243,83,42,1,0,31,37,18,22,25,19,8,5,44,0 to 118,42,2 to 92,158,2045,1334,120,3445,54,0,198,3262,39,73,60,34,89,55,23,0,3493,167,3316,10,6,99,105,37,167,73,92,158,9,0,3272,45,3499,3317,167,0,66,54,2510756491.26947,272135.471452184,21,2,30,4
67,67,55,109,ST. JOHNS,2000-05-16T00:00:00.000Z,17847916417.1672,1130719.73111295,58,St. Johns,FL,67,55,109,2957,56,79,207,380,541,566,513,367,183,63,2,0,4,11,16,15,36,42,31,9,1,48,0 to 96,55,9 to 91,160,1636,1212,109,2949,8,0,198,2675,84,100,17,48,127,6,32,2,2940,165,2772,3,17,152,146,157,165,91,73,160,5,0,2770,3,2957,2773,165,2,139,116,1658206648.51031,344848.248220385,28,4,44,4
68,999,999,999,Unknown,,,,64,Unknown,FL,68,999,999,45,0,0,5,8,4,8,5,8,2,3,2,0,0,1,0,0,0,0,1,0,0,49,19 to 95,48,24 to 72,0,20,22,3,20,25,0,0,44,1,0,1,1,1,1,0,0,33,2,31,0,12,0,0,1,2,0,2,0,2,0,16,15,45,31,2,0,16,14,426757389.663452,73231.2921286601,0,0,0,1
