"county","as of","cases","deaths","url","notes","tested","pending","negative","positive","inconclusive","positives-travel","Locally Acquired (person to person or community spread)","Known Contact Positives","Community Transmission Positives","unknown/under investigation","recovered","Hospitalized","hospitalized-status","ICU","ICU-status","federal quarantine","Non-Resident Positive Tests","PUI (travelers + others)","travelers completed monitoring","for map?","updated","more granular data avaialble?","race data?"
"Alameda","4/16/2020 16:21:04","1007","39","http://www.acphd.org/2019-ncov.aspx","","","","","","","","","","","","","","","","","","","","","BANG","","x","x"
"Alpine","4/16/2020 16:22:52","1","0","http://alpinecountyca.gov/AlertCenter.aspx?AID=COVID19-CASES-12","","10","4","4","2","","","","","","","1","","","","","","1","","","","","",""
"Amador","4/16/2020 17:50:30","7","0","https://www.amadorgov.org/services/covid-19/-fsiteid-1","""Amador County Public Health has confirmed 1 county resident traveling abroad has been diagnosed with novel coronavirus (COVID-19). This individual has not been at home in the county.""","","","","","","","","","","","5","2","","","","","","","","","","",""
"Butte","4/15/2020 17:10:00","16","0","https://infogram.com/butte-county-covid-19-1h0r6r9k3k776ek?live","","672","","576","16","","","","","","","","1","currently","","","","","","","","","",""
"Calaveras","4/15/2020 17:11:00","11","0","https://covid19.calaverasgov.us/","","266","","","","","","","","","","7","","","","","","","","","","","",""
"Colusa","4/16/2020 16:24:20","3","0","http://countyofcolusa.org/99/Public-Health","","","","","","","","","","","","","","","","","","","","","","","",""
"Contra Costa","4/16/2020 16:25:19","631","16","https://cchealth.org/coronavirus/","","8282","","","","","","","","","","","44","currently","","","","","","","BANG","","",""
"Del Norte","4/16/2020 16:26:35","2","0","http://www.co.del-norte.ca.us/departments/health-human-services/public-health","*these represent ""approximate"" number of tests","202","1","199","2","","","","","","","2","","","","","","","","","","","",""
"El Dorado","4/16/2020 17:51:41","35","0","https://www.edcgov.us/Government/hhsa/Pages/EDCCOVID-19-Cases.aspx","they say there are ""more than 50"" pending results","1400","","1365","35","","","","","","","29","","","","","","","","","","","",""
"Fresno","4/16/2020 17:53:26","295","7","https://www.co.fresno.ca.us/departments/public-health/covid-19","fresno has stats on people who have been monitored and those who are currently being monitored","4285","","","","","","","","","","70","59","ever","","","","","","","","","x",""
"Glenn","4/16/2020 16:28:33","4","0","https://www.countyofglenn.net/dept/health-human-services/public-health/covid-19","","64","","60","4","","","","","","","2","0","","","","","","","","","","",""
"Humboldt","4/16/2020","52","0","https://humboldtgov.org/2707/COVID-Test-Results","","1504","","","","","","","","","","","3","","","","","","","","","","",""
"Imperial","4/16/2020","127","3","http://www.icphd.org/health-information-and-resources/healthy-facts/covid-19/","*(positives) Includes results from private laboratories. ∞(pending) Pending results for Public Health Laboratory testing only.","1016","","","","","","","","","","40","","","","","","","","","","","",""
"Inyo","4/15/2020 17:15:00","17","0","https://www.inyocounty.us/covid-19/press-releases","(the testing data is behind the case data, hence 2 positive tests reported, but 1 test reported)","","21","147","17","","","","","","","","","","","","","","","","","","",""
"Kern","4/16/2020 16:41:35","565","3","https://kernpublichealth.com/2019-novel-coronavirus/","we no longer include the non-residents listed","","3242","4214","574","","","","","","","203","","","","","","9","","","","","x",""
"Kings","4/16/2020 16:42:21","13","1","https://www.countyofkings.com/departments/health-welfare/public-health/coronavirus-disease-2019-covid-19","The number above indicating how many samples have been collected is the number of samples that our department has collected.","748","","694","","","","","","","","3","","","","","","","","","","","",""
"Lake","4/16/2020 16:43:40","6","0","http://health.co.lake.ca.us/Coronavirus.htm","","","","294","","","","","","","","3","","","","","","","","","","","",""
"Lassen","4/16/2020 16:45:03","0","0","https://lassencares.org/","","93","8","85","0","","","","","","","","","","","","","","","","","","",""
"Los Angeles","4/16/2020 16:46:46","10854","455","http://publichealth.lacounty.gov/media/Coronavirus/","","70000","","","","","","","","","","","2517","ever","","","","","","","SCNG","","x",""
"Madera","4/16/2020 17:07:03","33","2","https://www.maderacounty.com/government/public-health/corona-virus-covid-19/covid-revised","pending tests only from the public health lab","734","","701","","","","","","","","20","","","","","","","","","","","",""
"Marin","4/15/2020 17:06:00","184","10","https://coronavirus.marinhhs.org/surveillance","They sometimes miss our cutoff for reporting sat EOD because they post updates late, so day-to-day change might be off.","2343","","","","","","","","","","121","","ever/currently","","","","","","","BANG","","",""
"Mariposa","4/16/2020 17:08:06","0","0","https://www.mariposacounty.org/1592/COVID-19-Information","These numbers do not include additional testing through the commercial lab system, hospitals and clinics. Although Mariposa County Public Health does not receive information on the number of tests sent through those systems, Public Health is notified of all positive result tests.","89","5","84","0","","","","","","","","","","","","","","","","","","",""
"Mendocino","4/16/2020 17:08:49","4","0","https://www.mendocinocounty.org/community/novel-coronavirus","","492","14","474","4","","","","","","","","","","","","","","","","","","",""
"Merced","4/16/2020 17:10:07","79","3","http://www.co.merced.ca.us/3362/Coronavirus-Media","","","","","","","","","","","","28","","","","","","","","","","","",""
"Modoc","4/16/2020 17:10:37","0","0","https://www.modocsheriff.us/modoc-covid-19-incident-updates","they weirdly link to the sheriff instead of the public health department","57","5","52","0","","","","","","","","","","","","","","","","","","",""
"Mono","4/16/2020 17:11:51","23","1","https://coronavirus.monocounty.ca.gov/","Their numbers are reported on the Inyo county page.","131","7","104","23","","","","","","","","","","","","","","","","","","",""
"Monterey","4/16/2020","108","3","https://www.co.monterey.ca.us/government/departments-a-h/health/diseases/2019-novel-coronavirus-2019-ncov/2019-novel-coronavirus-2019-ncov-local-data","Number of tests only updated on Mondays, according to their site. Total number of tests only results received.","2132","","","","","","","","","","22","22","","","","","","","","","","x",""
"Napa","4/16/2020 17:13:48","39","2","https://legacy.livestories.com/s/v2/coronavirus-report-for-napa-county-ca/9065d62d-f5a6-445f-b2a9-b7cf30b846dd/","Napa has some competing info on different sites, so be careful.","925","165","721","39","","","","","","","","","","","","","","","","BANG","","","x"
"Nevada","4/15/2020 17:24:00","34","1","https://www.mynevadacounty.com/2956/COVID-19-Cases-in-Nevada-County","","","","","","","2","","","4","2","","","","","","","","","","","","x",""
"Orange","4/16/2020 17:16:36","1425","25","https://occovid19.ochealthinfo.com/coronavirus-in-oc","","15942","","","","","","","","","","","104","current","45","current","","","","","SCNG","","x",""
"Placer","4/16/2020 17:17:32","130","8","https://www.placer.ca.gov/6448/Cases-in-Placer","","","","3015","","","","","","","","","13","","9","","","","","","","","x",""
"Plumas","4/16/2020 17:18:26","4","0","https://www.plumascounty.us/2669/Novel-Coronavirus-2019","positive cases updated, but not testing results","339","5","330","4","","","","","","","1","","","","","","","","","","","",""
"Riverside","4/16/2020 17:20:12","2264","59","https://www.rivcoph.org/coronavirus","","29571","","","","","","","","","","472","247","current","66","current","","","","","SCNG","","x",""
