ï»¿OBJECTID,IACountyID,FIPS,Name,State,Confirmed,Recovered,Deaths,last_updated,Country,pop_est_2018,individuals_tested,SHAPE_Length,SHAPE_Area
1,60,19119,Lyon,IA,63,47,0,2020/07/14 16:00:17,USA,11811,775,2.21275267122741,0.16910183462716
2,72,19143,Osceola,IA,70,50,0,2020/07/14 16:00:17,USA,6040,492,1.43454319723463,0.11486727457819
3,30,19059,Dickinson,IA,309,205,3,2020/07/14 16:00:17,USA,17153,3000,1.43802348033932,0.116176401058861
4,32,19063,Emmet,IA,99,66,0,2020/07/14 16:00:17,USA,9253,1128,1.43404643573087,0.115803243352621
5,3,19005,Allamakee,IA,138,120,4,2020/07/14 16:00:17,USA,13832,1622,1.84786172939921,0.189375563365928
6,55,19109,Kossuth,IA,43,27,0,2020/07/14 16:00:17,USA,14908,1385,2.12797026687415,0.279506512742556
7,96,19191,Winneshiek,IA,51,27,0,2020/07/14 16:00:17,USA,20029,1642,1.78870782385609,0.198184395037308
8,45,19089,Howard,IA,37,18,0,2020/07/14 16:00:17,USA,9187,977,1.5222554542708,0.136239672336114
9,95,19189,Winnebago,IA,44,23,0,2020/07/14 16:00:17,USA,10518,1065,1.4353378151154,0.115503756567768
10,66,19131,Mitchell,IA,48,36,0,2020/07/14 16:00:17,USA,10569,1337,1.51579601242865,0.135076913448264
11,98,19195,Worth,IA,28,10,0,2020/07/14 16:00:17,USA,7453,718,1.43534589840123,0.115607405615691
12,84,19167,Sioux,IA,515,414,0,2020/07/14 16:00:17,USA,34909,3280,2.45753459118017,0.220121447846734
13,71,19141,Obrien,IA,98,73,1,2020/07/14 16:00:17,USA,13840,1367,1.63916495855897,0.164071999605506
14,21,19041,Clay,IA,152,104,1,2020/07/14 16:00:17,USA,16134,2075,1.63897894990378,0.163930120305046
15,74,19147,Palo Alto,IA,53,35,0,2020/07/14 16:00:17,USA,8929,1180,1.63360274301866,0.163027285618699
16,41,19081,Hancock,IA,64,48,1,2020/07/14 16:00:17,USA,10712,1351,1.64022442841417,0.164081009647297
17,17,19033,Cerro Gordo,IA,341,89,1,2020/07/14 16:00:17,USA,42647,5586,1.64167384598673,0.164593890089511
18,19,19037,Chickasaw,IA,32,29,0,2020/07/14 16:00:17,USA,11964,1236,1.5579330429406,0.144783457663011
19,34,19067,Floyd,IA,84,61,2,2020/07/14 16:00:17,USA,15761,2036,1.55184492435623,0.143525926262284
20,22,19043,Clayton,IA,50,39,3,2020/07/14 16:00:17,USA,17556,1679,2.20235204451794,0.226710827397518
21,33,19065,Fayette,IA,60,31,0,2020/07/14 16:00:17,USA,19660,2110,1.82861179547503,0.208640704071808
22,75,19149,Plymouth,IA,354,280,5,2020/07/14 16:00:17,USA,25095,3176,2.58616834565828,0.246019887462918
23,18,19035,Cherokee,IA,85,71,1,2020/07/14 16:00:17,USA,11321,1336,1.64015874620456,0.164270532443662
24,11,19021,Buena Vista,IA,1738,1645,11,2020/07/14 16:00:17,USA,19874,7311,1.64552268815282,0.1652216328257
25,76,19151,Pocahontas,IA,109,51,1,2020/07/14 16:00:17,USA,6740,996,1.64124953372891,0.164761949621183
26,46,19091,Humboldt,IA,61,49,1,2020/07/14 16:00:17,USA,9547,1016,1.46962109997574,0.124113863794899
27,99,19197,Wright,IA,403,315,1,2020/07/14 16:00:17,USA,12690,2843,1.64480853659461,0.16568411709874
28,9,19017,Bremer,IA,116,79,7,2020/07/14 16:00:17,USA,24947,2636,1.47509845559349,0.125164627007619
