ï»¿FID,OBJECTID,COUNTY,COUNTY_LAB,Region,OBJECTID_1,COUNTY_1,NEW_CASES,TOTAL_CASES,NEW_DEATHS,TOTAL_DEATHS,Number_of_Facilities,Number_COVID_Cases_Confirmed,Total_Number_of_COVID_Deaths_,SHAPE_Length,SHAPE_Area
1,1,ATLANTIC,Atlantic County,South,1,ATLANTIC,40,1716,3,110,14,681,92,2.05447812147641,0.16559498041373
2,2,BERGEN,Bergen County,North,2,BERGEN,55,17246,7,1450,63,4122,865,1.39387886623887,0.0664519051933741
3,3,BURLINGTON,Burlington County,South,3,BURLINGTON,38,3875,1,239,26,1647,197,2.44002736600597,0.223724841246765
4,4,CAMDEN,Camden County,South,4,CAMDEN,127,5381,6,268,26,1183,196,1.5543030516609,0.0620009389436172
5,5,CAPE MAY,Cape May County,South,5,CAPE MAY,13,500,1,41,7,292,32,1.58994162990645,0.0772352247636285
6,6,CUMBERLAND,Cumberland County,South,6,CUMBERLAND,103,1592,1,49,6,303,26,2.21365547167372,0.135867606809924
7,7,ESSEX,Essex County,North,7,ESSEX,75,16032,12,1522,46,2622,531,1.10531082341503,0.0358568237634079
8,8,GLOUCESTER,Gloucester County,South,8,GLOUCESTER,26,1811,7,113,14,541,90,1.80429807369917,0.0914749371966451
9,9,HUDSON,Hudson County,North,9,HUDSON,94,17326,4,1045,15,1062,165,1.22502437377172,0.0142321908375888
10,10,HUNTERDON,Hunterdon County,Central,10,HUNTERDON,18,795,Â 0,49,4,343,32,1.78512935993174,0.120468851107817
11,11,MERCER,Mercer County,Central,11,MERCER,42,5719,10,396,23,1397,266,1.5501420715373,0.0627676690792756
12,12,MONMOUTH,Monmouth County,Central,13,MONMOUTH,71,7297,8,503,51,1933,364,2.30128897653111,0.133191124803161
13,13,OCEAN,Ocean County,Central,15,OCEAN,60,7878,8,617,48,2301,366,2.1761306129879,0.206732780359718
14,14,PASSAIC,Passaic County,North,16,PASSAIC,106,15031,15,831,25,1533,314,1.56336840982204,0.0550131927088685
15,15,SALEM,Salem County,South,17,SALEM,12,457,1,19,4,56,11,2.08307712712064,0.0942680106180723
16,16,SOMERSET,Somerset County,Central,18,SOMERSET,30,4212,4,363,32,1429,273,1.71686776703541,0.0839848419907746
17,17,SUSSEX,Sussex County,North,19,SUSSEX,6,1053,Â 0,137,5,356,103,1.69177740640281,0.14878204079266
18,18,UNION,Union County,North,20,UNION,72,14569,7,946,29,1796,438,1.05870542897882,0.0290675390089666
19,19,WARREN,Warren County,North,21,WARREN,5,1077,1,118,7,393,98,1.7507652347905,0.100311884632681
20,20,MORRIS,Morris County,North,14,MORRIS,23,6012,11,561,41,1671,422,2.40809246203369,0.133188921848586
21,21,MIDDLESEX,Middlesex County,Central,12,MIDDLESEX,84,14514,8,872,42,2066,438,1.62072838209013,0.0871537443231625
