ï»¿FID,OBJECTID,COUNTY,COUNTY_LAB,Region,OBJECTID_1,COUNTY_1,NEW_CASES,TOTAL_CASES,NEW_DEATHS,TOTAL_DEATHS,Number_of_Facilities,Number_COVID_Cases_Confirmed,Total_Number_of_COVID_Deaths_,SHAPE_Length,SHAPE_Area
1,1,ATLANTIC,Atlantic County,South,1,ATLANTIC,30,1678,8,107,13,668,91,2.05447812147641,0.16559498041373
2,2,BERGEN,Bergen County,North,2,BERGEN,108,17195,22,1443,63,4068,864,1.39387886623887,0.0664519051933741
3,3,BURLINGTON,Burlington County,South,3,BURLINGTON,66,3849,9,238,26,1577,189,2.44002736600597,0.223724841246765
4,4,CAMDEN,Camden County,South,4,CAMDEN,76,5255,6,262,26,1142,191,1.5543030516609,0.0620009389436172
5,5,CAPE MAY,Cape May County,South,5,CAPE MAY,5,487,1,40,7,278,31,1.58994162990645,0.0772352247636285
6,6,CUMBERLAND,Cumberland County,South,6,CUMBERLAND,19,1488,1,48,6,295,26,2.21365547167372,0.135867606809924
7,7,ESSEX,Essex County,North,7,ESSEX,122,15953,14,1510,46,2609,530,1.10531082341503,0.0358568237634079
8,8,GLOUCESTER,Gloucester County,South,8,GLOUCESTER,35,1788,8,106,14,521,81,1.80429807369917,0.0914749371966451
9,9,HUDSON,Hudson County,North,9,HUDSON,111,17237,13,1042,15,1058,165,1.22502437377172,0.0142321908375888
10,10,HUNTERDON,Hunterdon County,Central,10,HUNTERDON,11,777,1,49,4,337,32,1.78512935993174,0.120468851107817
11,11,MERCER,Mercer County,Central,11,MERCER,66,5673,14,386,23,1366,263,1.5501420715373,0.0627676690792756
12,12,MONMOUTH,Monmouth County,Central,13,MONMOUTH,57,7224,15,495,51,1945,360,2.30128897653111,0.133191124803161
13,13,OCEAN,Ocean County,Central,15,OCEAN,81,7829,16,610,48,2155,361,2.1761306129879,0.206732780359718
14,14,PASSAIC,Passaic County,North,16,PASSAIC,61,14930,15,816,25,1498,311,1.56336840982204,0.0550131927088685
15,15,SALEM,Salem County,South,17,SALEM,9,446,0Â ,18,4,54,11,2.08307712712064,0.0942680106180723
16,16,SOMERSET,Somerset County,Central,18,SOMERSET,24,4181,11,359,32,1406,271,1.71686776703541,0.0839848419907746
17,17,SUSSEX,Sussex County,North,19,SUSSEX,4,1047,Â 0,137,5,346,102,1.69177740640281,0.14878204079266
18,18,UNION,Union County,North,20,UNION,72,14492,8,939,29,1785,435,1.05870542897882,0.0290675390089666
19,19,WARREN,Warren County,North,21,WARREN,6,1072,3,118,7,491,97,1.7507652347905,0.100311884632681
20,20,MORRIS,Morris County,North,14,MORRIS,42,5990,11,550,41,1716,413,2.40809246203369,0.133188921848586
21,21,MIDDLESEX,Middlesex County,Central,12,MIDDLESEX,115,14429,25,865,42,2059,435,1.62072838209013,0.0871537443231625
