ï»¿FID,OBJECTID,COUNTY,COUNTY_LAB,Region,OBJECTID_1,COUNTY_1,NEW_CASES,TOTAL_CASES,NEW_DEATHS,TOTAL_DEATHS,Number_of_Facilities,Total_COVID_Cases_Reported_by_F,Total_COVID_Cases_Reported_by_1,Total_COVID_deaths_Reported_by_,Total_COVID_deaths_Reported_by1,SHAPE_Length,SHAPE_Area
1,1,ATLANTIC,Atlantic County,South,1,ATLANTIC,28,2183,1,159,16,590,263,118,1,2.05447812147641,0.16559498041373
2,2,BERGEN,Bergen County,North,2,BERGEN,45,18211,7,1573,63,3115,1547,905,10,1.39387886623887,0.0664519051933741
3,3,BURLINGTON,Burlington County,South,3,BURLINGTON,48,4567,4,290,27,1271,657,233,4,2.44002736600597,0.223724841246765
4,4,CAMDEN,Camden County,South,4,CAMDEN,71,6425,8,334,28,1135,393,240,3,1.5543030516609,0.0620009389436172
5,5,CAPE MAY,Cape May County,South,5,CAPE MAY,6,615,1,49,9,189,138,38,0,1.58994162990645,0.0772352247636285
6,6,CUMBERLAND,Cumberland County,South,6,CUMBERLAND,51,2259,3,72,7,284,175,32,1,2.21365547167372,0.135867606809924
7,7,ESSEX,Essex County,North,7,ESSEX,51,17594,11,1657,46,2001,951,544,19,1.10531082341503,0.0358568237634079
8,8,GLOUCESTER,Gloucester County,South,8,GLOUCESTER,24,2217,1,147,15,459,228,113,3,1.80429807369917,0.0914749371966451
9,9,HUDSON,Hudson County,North,9,HUDSON,51,18343,5,1173,15,956,470,210,7,1.22502437377172,0.0142321908375888
10,10,HUNTERDON,Hunterdon County,Central,10,HUNTERDON,5,985,2,60,4,209,165,34,2,1.78512935993174,0.120468851107817
11,11,MERCER,Mercer County,Central,11,MERCER,69,6850,5,470,23,1074,517,298,3,1.5501420715373,0.0627676690792756
12,12,MONMOUTH,Monmouth County,Central,13,MONMOUTH,64,8159,9,596,53,1680,747,426,5,2.30128897653111,0.133191124803161
13,13,OCEAN,Ocean County,Central,15,OCEAN,81,8700,5,726,49,1801,775,418,2,2.1761306129879,0.206732780359718
14,14,PASSAIC,Passaic County,North,16,PASSAIC,63,16099,11,925,25,1146,664,352,13,1.56336840982204,0.0550131927088685
15,15,SALEM,Salem County,South,17,SALEM,18,621,3,37,5,135,81,29,0,2.08307712712064,0.0942680106180723
16,16,SOMERSET,Somerset County,Central,18,SOMERSET,15,4567,5,417,33,974,582,281,7,1.71686776703541,0.0839848419907746
17,17,SUSSEX,Sussex County,North,19,SUSSEX,3,1110,2,149,6,248,120,106,4,1.69177740640281,0.14878204079266
18,18,UNION,Union County,North,20,UNION,37,15764,8,1067,29,1364,589,458,10,1.05870542897882,0.0290675390089666
19,19,WARREN,Warren County,North,21,WARREN,6,1162,0,131,7,401,120,109,1,1.7507652347905,0.100311884632681
20,20,MORRIS,Morris County,North,14,MORRIS,20,6383,4,613,42,1360,624,451,3,2.40809246203369,0.133188921848586
21,21,MIDDLESEX,Middlesex County,Central,12,MIDDLESEX,85,15824,18,989,42,1645,776,462,8,1.62072838209013,0.0871537443231625
