ï»¿FID,OBJECTID,COUNTY,COUNTY_LAB,Region,OBJECTID_1,COUNTY_1,NEW_CASES,TOTAL_CASES,NEW_DEATHS,TOTAL_DEATHS,Number_of_Facilities,Total_COVID_Cases_Reported_by_F,Total_COVID_Cases_Reported_by_1,Total_COVID_deaths_Reported_by_,Total_COVID_deaths_Reported_by1,SHAPE_Length,SHAPE_Area
1,1,ATLANTIC,Atlantic County,South,1,ATLANTIC,38,1838,9,121,14,521,178,101,1,2.05447812147641,0.16559498041373
2,2,BERGEN,Bergen County,North,2,BERGEN,57,17522,14,1474,63,2856,1316,874,10,1.39387886623887,0.0664519051933741
3,3,BURLINGTON,Burlington County,South,3,BURLINGTON,24,4000,2,247,26,1120,585,196,5,2.44002736600597,0.223724841246765
4,4,CAMDEN,Camden County,South,4,CAMDEN,70,5644,5,279,26,952,284,200,2,1.5543030516609,0.0620009389436172
5,5,CAPE MAY,Cape May County,South,5,CAPE MAY,17,518,1,42,7,169,126,33,0,1.58994162990645,0.0772352247636285
6,6,CUMBERLAND,Cumberland County,South,6,CUMBERLAND,76,1759,3,56,6,188,142,29,1,2.21365547167372,0.135867606809924
7,7,ESSEX,Essex County,North,7,ESSEX,89,16686,21,1565,46,1913,767,520,19,1.10531082341503,0.0358568237634079
8,8,GLOUCESTER,Gloucester County,South,8,GLOUCESTER,30,1935,8,125,14,376,168,94,2,1.80429807369917,0.0914749371966451
9,9,HUDSON,Hudson County,North,9,HUDSON,52,17621,15,1082,15,698,366,163,6,1.22502437377172,0.0142321908375888
10,10,HUNTERDON,Hunterdon County,Central,10,HUNTERDON,32,885,1,53,4,203,158,32,2,1.78512935993174,0.120468851107817
11,11,MERCER,Mercer County,Central,11,MERCER,74,6018,14,422,23,1018,433,279,0,1.5501420715373,0.0627676690792756
12,12,MONMOUTH,Monmouth County,Central,13,MONMOUTH,60,7470,7,520,51,1390,586,382,4,2.30128897653111,0.133191124803161
13,13,OCEAN,Ocean County,Central,15,OCEAN,76,8067,10,643,49,1603,665,373,2,2.1761306129879,0.206732780359718
14,14,PASSAIC,Passaic County,North,16,PASSAIC,96,15371,6,842,25,990,577,305,13,1.56336840982204,0.0550131927088685
15,15,SALEM,Salem County,South,17,SALEM,7,470,2,21,4,44,23,14,0,2.08307712712064,0.0942680106180723
16,16,SOMERSET,Somerset County,Central,18,SOMERSET,33,4312,7,382,32,910,522,272,6,1.71686776703541,0.0839848419907746
17,17,SUSSEX,Sussex County,North,19,SUSSEX,5,1063,2,139,5,240,119,100,4,1.69177740640281,0.14878204079266
18,18,UNION,Union County,North,20,UNION,48,15031,14,977,29,1257,555,436,10,1.05870542897882,0.0290675390089666
19,19,WARREN,Warren County,North,21,WARREN,6,1091,Â 0,121,7,396,101,102,1,1.7507652347905,0.100311884632681
20,20,MORRIS,Morris County,North,14,MORRIS,15,6100,3,572,41,1152,549,426,3,2.40809246203369,0.133188921848586
21,21,MIDDLESEX,Middlesex County,Central,12,MIDDLESEX,84,14834,18,903,41,1458,638,437,7,1.62072838209013,0.0871537443231625
