ï»¿OBJECTID,CNTYNAME,CNTYFIPS,ADPHDistrict,CONFIRMED,DIED,Shape__Area,Shape__Length,GlobalID,LabTestCount
45246,Autauga,01001,East Central,553,12,0.150198352049983,2.1379328255407,26f1e4f2-5008-4223-a4e1-8605fcc99d40,4239
45247,Baldwin,01003,Southwestern,735,9,0.400159431601878,6.69300034847276,d69b9275-d979-4778-8190-c66718cd6c93,15388
45248,Barbour,01005,Southeastern,333,1,0.223267704174077,2.69097505269632,bc00ebb3-aece-4f3f-b783-8894e48868d1,1800
45249,Bibb,01007,West Central,176,1,0.156476914356972,1.8951692775798,ae8cde15-d621-4628-b575-7939600d3fe9,2132
45250,Blount,01009,Northeastern,218,1,0.164406638341006,2.45274784751908,ed81233d-0aec-4082-b99b-32c2d99d253a,3169
45251,Bullock,01011,East Central,364,9,0.154671563531792,2.06480197165101,586524e2-2199-48c2-a84c-f2d4e185ea6f,1323
45252,Butler,01013,Southeastern,607,27,0.191776547733298,1.83587954870993,bd615ad1-f5d5-48db-bbce-5d251eedf0c5,2458
45253,Calhoun,01015,Northeastern,280,5,0.154366224232035,2.21070839394633,c8331c8d-a1a6-4408-82a6-d6ca8e4f44b9,6573
45254,Chambers,01017,East Central,600,27,0.150563980768084,1.72306516183319,d8fbb326-1f0c-464a-b17d-a23801b3652a,3120
45255,Cherokee,01019,Northeastern,79,7,0.151975822791428,1.89808177880757,ac530707-0b9e-4a0c-8bfa-3a8706221ad7,1329
45256,Chilton,01021,West Central,215,2,0.174837510280213,2.09165532433194,385c41cc-0538-4413-9570-26da9783172a,2698
45257,Choctaw,01023,Southwestern,192,12,0.227681129400253,2.68700551554037,cc1cd5fb-d2ae-4b63-8c48-ca8793e1318c,701
45258,Clarke,01025,Southwestern,268,6,0.308508819690587,3.78655552072513,c8f958ec-9635-4286-83cc-146f553b305e,2398
45259,Clay,01027,Northeastern,61,2,0.151874743437702,2.02332180215824,0f8cec57-5ecd-4800-b28c-4925c7bf297a,764
45260,Cleburne,01029,Northeastern,30,1,0.141259985723536,2.17578212063938,cd0a23c5-33c4-49a7-b81b-d4fea0289543,536
45261,Coffee,01031,Southeastern,359,2,0.167143203828118,1.67989540600381,f6c95780-b26f-4b77-988f-3b84cbff72be,3695
