ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,783,17,18,88,105,111,118,119,100,70,36,1,0 to 118,49,440,332,11,783,0,0,11,675,2,118,2,106,677,0,0,783,86,20,0,0,29,77,0,106,4,6,15,20,19,19,16,4,2,0,1,0 to 83,38,76,10,15,5,29,68,9,5,0,0,0,0,0,106,77,29,106,0,0,2269,0,2378,2269,106,0,178,161,39,38,1.42926667229121,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,3645,76,135,369,530,452,565,606,436,301,162,13,0 to 118,49,2260,1342,43,3635,10,0,92,3303,133,347,22,433,3209,1,2,3632,238,193,1,1,231,195,5,431,8,42,80,76,59,59,48,31,20,8,2,0 to 98,36,196,160,33,42,67,306,58,58,0,36,0,0,6,433,196,232,431,2,0,6443,8,6885,6451,433,6,194,125,40,36,2.24642787374222,0.19954202112213
3,3,62,123,TAYLOR,Taylor,FL,923,33,20,85,143,118,115,166,142,74,23,4,0 to 118,49,510,382,31,916,7,0,17,761,3,175,28,85,836,1,1,914,68,16,1,0,32,52,0,84,0,2,18,28,14,4,9,3,7,0,0,6 to 84,32,51,8,19,6,26,51,7,18,0,7,0,0,1,85,52,33,84,1,0,1345,6,1438,1351,85,1,226,124,32,32,2.58429378620819,0.251180544250225
4,4,46,091,OKALOOSA,Okaloosa,FL,7399,167,165,618,1111,1067,969,1114,840,738,570,40,0 to 119,50,4443,2914,42,7252,146,1,192,6587,137,532,83,770,6627,0,2,7251,627,128,10,5,393,362,0,755,8,29,116,163,130,100,98,62,44,20,0,0 to 99,40,502,65,67,121,179,426,150,105,3,61,1,0,8,770,370,400,754,15,1,13196,131,14111,13327,770,8,1130,698,43,40,3.21429590024741,0.223073367593869
5,5,7,013,CALHOUN,Calhoun,FL,560,5,4,44,55,82,80,95,85,71,39,0,0 to 99,56,337,207,16,560,0,0,8,446,4,70,5,85,475,0,0,560,69,16,0,0,60,25,0,85,0,0,6,10,7,5,7,9,20,21,0,20 to 99,73,62,10,4,9,5,65,15,13,0,8,0,0,6,85,25,60,85,0,0,832,0,919,832,85,6,143,81,78,73,1.88103049327488,0.139649278946295
6,6,50,099,PALM BEACH,Palm Beach,FL,74563,1150,1748,5865,9291,9127,10494,12478,10998,7693,4113,1606,0 to 119,53,40672,33598,293,73768,793,2,3004,65294,465,10033,393,14859,59350,187,167,73419,14549,157,147,6,7331,7341,34,14706,254,522,2059,2648,2400,2174,1901,1223,927,742,9,0 to 105,42,6044,2506,2323,3833,4892,5731,4083,2506,38,1836,24,14,523,14859,7430,7394,14704,153,2,133180,637,148912,133817,14859,523,4855,4590,44,42,4.37197700721313,0.517626395458035
7,7,56,111,ST. LUCIE,St. Lucie,FL,11167,197,239,828,1396,1411,1730,1916,1740,1114,561,35,0 to 119,53,6427,4533,207,11021,146,0,554,9310,188,1664,76,1876,9195,5,91,10925,1785,80,11,0,1007,851,7,1865,41,56,251,328,290,324,249,171,93,69,4,0 to 99,43,655,303,169,738,362,645,858,239,1,176,2,1,49,1876,856,1013,1865,11,0,21304,135,23325,21439,1876,49,1095,1080,46,43,2.4043656096016,0.13681239009026
8,8,51,101,PASCO,Pasco,FL,15558,303,383,1361,1999,2146,2446,2647,2290,1372,581,30,0 to 119,51,8964,6538,56,15479,79,0,431,13719,223,1540,133,2274,13246,2,36,15441,2202,58,13,1,1165,1089,6,2260,43,64,420,459,386,329,261,199,83,30,0,0 to 99,38,1190,164,214,692,387,1083,790,271,5,146,4,1,22,2274,1097,1171,2260,14,0,34425,65,36776,34490,2274,22,2349,1797,43,38,2.21152384171728,0.18173091103068
9,9,20,039,GADSDEN,Gadsden,FL,3017,52,103,225,502,512,530,471,391,147,82,2,0 to 119,47,2086,920,11,2999,17,1,46,2693,46,392,17,406,2609,1,1,2998,392,10,4,0,281,121,0,402,4,17,33,79,85,78,43,35,21,11,0,0 to 98,43,151,163,20,68,49,272,81,87,0,65,0,0,7,406,121,285,401,4,1,5541,13,5969,5554,406,7,455,261,43,43,2.03339191693402,0.128633605861004
10,10,37,073,LEON,Leon,FL,13773,194,328,2008,2274,1969,2041,2151,1750,682,344,32,0 to 119,45,7109,6508,156,13527,245,1,252,12717,201,882,104,1377,12383,3,10,13515,1319,15,42,1,662,643,29,1334,7,41,651,258,133,115,99,53,15,5,0,0 to 91,24,370,382,49,533,68,700,566,121,11,52,9,7,8,1377,666,682,1333,43,1,28472,202,30104,28674,1377,8,924,505,30,24,2.42861632663576,0.170704044186268
