County,Cases,Deaths,Recovered,ReportDate
TULSA,3680,70,2655,2020-07-02
OKLAHOMA,3135,70,2244,2020-07-02
TEXAS,987,6,974,2020-07-02
CLEVELAND,935,40,710,2020-07-02
MCCURTAIN,501,7,337,2020-07-02
COMANCHE,418,7,369,2020-07-02
WASHINGTON,401,39,346,2020-07-02
PAYNE,398,1,272,2020-07-02
CANADIAN,293,3,226,2020-07-02
WAGONER,277,19,200,2020-07-02
ROGERS,192,6,139,2020-07-02
CADDO,190,11,167,2020-07-02
OSAGE,174,8,142,2020-07-02
MCCLAIN,170,4,136,2020-07-02
DELAWARE,162,16,111,2020-07-02
CREEK,151,7,120,2020-07-02
GRADY,144,5,120,2020-07-02
MUSKOGEE,127,11,82,2020-07-02
ADAIR,119,4,108,2020-07-02
CHOCTAW,114,1,104,2020-07-02
POTTAWATOMIE,109,4,84,2020-07-02
BRYAN,108,1,74,2020-07-02
KAY,104,7,75,2020-07-02
CARTER,96,1,75,2020-07-02
CHEROKEE,83,1,65,2020-07-02
MAYES,83,5,64,2020-07-02
OTTAWA,76,2,44,2020-07-02
GARFIELD,75,2,58,2020-07-02
GARVIN,73,1,52,2020-07-02
GREER,66,7,57,2020-07-02
OKMULGEE,64,0,44,2020-07-02
MCINTOSH,63,1,44,2020-07-02
STEPHENS,62,1,51,2020-07-02
PITTSBURG,59,3,48,2020-07-02
CUSTER,59,0,52,2020-07-02
PAWNEE,57,2,46,2020-07-02
LOGAN,52,1,30,2020-07-02
PONTOTOC,44,2,26,2020-07-02
SEMINOLE,43,3,32,2020-07-02
SEQUOYAH,41,3,26,2020-07-02
NOBLE,40,0,31,2020-07-02
JACKSON,38,3,28,2020-07-02
NOWATA,34,1,31,2020-07-02
LE FLORE,33,1,26,2020-07-02
MARSHALL,33,0,25,2020-07-02
LOVE,30,0,28,2020-07-02
BEAVER,30,0,30,2020-07-02
LINCOLN,30,2,25,2020-07-02
KINGFISHER,27,0,22,2020-07-02
TILLMAN,24,1,22,2020-07-02
ATOKA,22,0,13,2020-07-02
CRAIG,22,0,19,2020-07-02
MURRAY,18,0,14,2020-07-02
PUSHMATAHA,15,0,10,2020-07-02
OKFUSKEE,14,0,9,2020-07-02
BLAINE,14,0,12,2020-07-02
JOHNSTON,13,0,10,2020-07-02
WOODWARD,12,0,11,2020-07-02
HUGHES,11,0,7,2020-07-02
LATIMER,11,1,7,2020-07-02
BECKHAM,11,0,8,2020-07-02
KIOWA,10,1,6,2020-07-02
HASKELL,10,0,8,2020-07-02
JEFFERSON,9,0,4,2020-07-02
COAL,8,0,6,2020-07-02
MAJOR,8,1,7,2020-07-02
WOODS,7,0,5,2020-07-02
COTTON,5,2,3,2020-07-02
WASHITA,4,0,2,2020-07-02
DEWEY,4,0,4,2020-07-02
GRANT,2,0,2,2020-07-02
HARMON,1,0,0,2020-07-02
CIMARRON,1,0,1,2020-07-02
HARPER,1,0,1,2020-07-02
ALFALFA,1,0,1,2020-07-02
ELLIS,1,0,1,2020-07-02
