"county","cases","deaths","url","notes","tested","pending","negative","positive","inconclusive","positives-travel","Locally Acquired (person to person or community spread)","Known Contact Positives","Community Transmission Positives","unknown/under investigation","recovered","Hospitalized","ICU","Residents in Federal Quarantine","Non-Resident Positive Tests","PUI (travelers + others)","travelers completed monitoring","","",""
"Merced","0","0","http://www.co.merced.ca.us/3362/Coronavirus-Media","","28","","","","","","","","","","","","","","","","","","",""
"Modoc","0","0","https://modochealthservices.org/","","","","","","","","","","","","","","","","","","","","",""
"Mono","0","0","https://coronavirus.monocounty.ca.gov/","","32","27","5","","","","","","","","","","","","","","","","",""
"Monterey","2","0","https://www.co.monterey.ca.us/government/departments-a-h/administrative-office/office-of-emergency-services/response/covid-19","100+ tests completed","","","","","","2","","","","","","","","","","","","","",""
"Napa County","0","0","https://www.countyofnapa.org/2739/Coronavirus","","","","","","","","","","","","","","","","","","","","",""
"Nevada","1","0","https://www.mynevadacounty.com/2956/COVID-19-Cases-in-Nevada-County","","","","","","","","","","","","","","","","","","","","",""
"Orange","53","0","http://www.ochealthinfo.com/phs/about/epidasmt/epi/dip/prevention/novel_coronavirus","","589","","","","","25","","7","19","2","","","","","","","","","",""
"Placer","9","1","https://www.placer.ca.gov/6448/Cases-in-Placer","","","","","","","","","","","","","","","","","","","","",""
"Plumas","0","0","https://www.plumascounty.us/2669/Novel-Coronavirus-2019","","22","12","10","0","","","","","","","","","","","","","","","",""
"Riverside","22","3","https://www.rivcoph.org/coronavirus","","","","","","","4","18","","","","","","","","","","","","",""
"Sacramento","45","3","https://www.saccounty.net/COVID-19/Pages/default.aspx","","","","","","","","","","","","","","","","","","","","",""
"San Benito County","5","1","https://hhsa.cosb.us/publichealth/communicable-disease/coronavirus/","","","","","","","","","","","","2","","","","","","","","",""
"San Bernardino","5","0","http://wp.sbcounty.gov/dph/coronavirus/","","","","","","","","","","","","","","","","","","","","",""
"San Diego County","89","0","https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/community_epidemiology/dc/2019-nCoV/status.html","","","","","","","","","","","","","13","","8","8","","","","",""
"San Francisco","76","0","https://www.sfdph.org/dph/alerts/coronavirus.asp","","","","","","","","","","","","","","","","","","","","",""
"San Joaquin","17","2","http://www.sjcphs.org/","","","","","","","","","","","","","","","","","","","","",""
"San Luis Obispo","6","0","https://www.slocounty.ca.gov/Departments/Health-Agency/Public-Health/Department-News/COVID-19-Updates.aspx","","","","","","","","","","","","","","","","","","","","",""
"San Mateo County","100","1","https://www.smchealth.org/coronavirus","","","","","","","","","","","","","","","","","","","","",""
"Santa Barbara","8","0","https://publichealthsbc.org/","","","","","","","","","","","","","","","","","","","","",""
"Santa Clara","189","6","https://www.sccgov.org/sites/phd/DiseaseInformation/novel-coronavirus/Pages/home.aspx","","","","","","","18","","43","70","","","62","","","","","","","",""
"Santa Cruz","14","0","https://www.santacruzhealth.org/HSAHome/HSADivisions/PublicHealth/CommunicableDiseaseControl/Coronavirus.aspx","","","","","","","","","","","","","","","","","","","","",""
"Shasta","1","0","https://www.co.shasta.ca.us/index/hhsa/health-safety/current-heath-concerns/coronavirus","","","","","","","1","","","","","","","","","","","","","",""
"Sierra County","0","0","http://www.sierracounty.ca.gov/582/Coronavirus-COVID-19","","2","2","","","","","","","","","","","","","","","","","",""
"Siskiyou County","0","0","https://www.co.siskiyou.ca.us/publichealth","","24","17","7","","","","","","","","","","","","","","","","",""
"Solano County","10","0","http://www.solanocounty.com/depts/ph/ncov.asp","","","","","","","","","","","","","","","","","","","","",""
"Sonoma","9","0","https://socoemergency.org/emergency/novel-coronavirus/novel-coronavirus-in-sonoma-county/","","196","","","","","","","","","","","","","","","","","","",""
"Stanislaus County","5","0","http://schsa.org/publichealth/pages/corona-virus/","","","","","","","","","","","","","","","","","","","","",""
"Sutter","0","0","https://www.suttercounty.org/doc/government/depts/cao/em/coronavirus","","","","","","","","","","","","","","","","","","","","",""
"Tehama","0","0","https://www.tehamacohealthservices.net/services/communicable-diseases/#current-events","","","","","","","","","","","","","","","","","","","","",""
"Trinity","0","0","https://www.trinitycounty.org/Public-Health","","","","","","","","","","","","","","","","","","","","",""
"Tulare","7","0","https://tchhsa.org/eng/index.cfm/public-health/covid-19-updates-novel-coronavirus/tulare-county-health-report/","","","","","","","","","","","","","","","","","","","","",""
"Tuolumne County","0","0","https://www.tuolumnecounty.ca.gov/250/Public-Health","","56","28","28","0","","","","","","","","","","","","","","","",""
"Ventura","17","0","https://www.vcemergency.com/","","","","","","","","","","","","","","","","","","","","",""
"Yolo County","5","0","https://www.yolocounty.org/health-human-services/adults/communicable-disease-investigation-and-control/novel-coronavirus-2019","","","","","","","","","","","","","","","","","","","","",""
"Yuba","0","0","https://www.yuba.org/departments/emergency_services/coronavirus.php","","","","","","","","","","","","","","","","","","","","",""
