County,Cases,Deaths,Recovered,ReportDate
OKLAHOMA,6762,85,5243,2020-07-22
TULSA,6744,89,5521,2020-07-22
CLEVELAND,1847,40,1455,2020-07-22
TEXAS,1009,7,995,2020-07-22
MCCURTAIN,728,17,566,2020-07-22
CANADIAN,717,4,576,2020-07-22
COMANCHE,609,9,515,2020-07-22
PAYNE,560,2,484,2020-07-22
WAGONER,507,19,385,2020-07-22
WASHINGTON,505,39,438,2020-07-22
ROGERS,488,11,350,2020-07-22
GRADY,325,5,263,2020-07-22
DELAWARE,316,19,249,2020-07-22
MCCLAIN,315,4,271,2020-07-22
CREEK,299,9,219,2020-07-22
MUSKOGEE,288,16,187,2020-07-22
BRYAN,259,1,186,2020-07-22
OSAGE,257,9,217,2020-07-22
OKMULGEE,242,0,166,2020-07-22
POTTAWATOMIE,237,6,160,2020-07-22
CADDO,236,11,203,2020-07-22
OTTAWA,233,2,174,2020-07-22
CARTER,231,3,194,2020-07-22
JACKSON,228,3,100,2020-07-22
ADAIR,205,4,145,2020-07-22
MAYES,202,5,123,2020-07-22
GARFIELD,186,2,129,2020-07-22
CHEROKEE,182,1,133,2020-07-22
KAY,156,9,121,2020-07-22
GARVIN,152,3,129,2020-07-22
CHOCTAW,148,1,125,2020-07-22
STEPHENS,130,1,96,2020-07-22
LOGAN,128,1,101,2020-07-22
CUSTER,126,0,92,2020-07-22
PONTOTOC,115,2,84,2020-07-22
SEQUOYAH,111,3,68,2020-07-22
MCINTOSH,109,1,89,2020-07-22
LE FLORE,102,1,59,2020-07-22
SEMINOLE,102,5,67,2020-07-22
PITTSBURG,100,3,80,2020-07-22
PAWNEE,86,3,71,2020-07-22
GREER,72,7,59,2020-07-22
KINGFISHER,70,0,54,2020-07-22
NOBLE,65,2,49,2020-07-22
LINCOLN,63,2,43,2020-07-22
MARSHALL,58,0,45,2020-07-22
LOVE,57,0,52,2020-07-22
ATOKA,48,0,40,2020-07-22
PUSHMATAHA,46,0,25,2020-07-22
NOWATA,45,1,40,2020-07-22
CRAIG,44,0,29,2020-07-22
MURRAY,39,0,32,2020-07-22
TILLMAN,36,1,25,2020-07-22
BEAVER,33,0,32,2020-07-22
LATIMER,29,1,16,2020-07-22
BECKHAM,27,0,19,2020-07-22
HUGHES,25,1,15,2020-07-22
JOHNSTON,25,0,16,2020-07-22
BLAINE,24,0,18,2020-07-22
OKFUSKEE,24,0,19,2020-07-22
WOODWARD,23,0,16,2020-07-22
JEFFERSON,23,0,19,2020-07-22
HASKELL,23,0,19,2020-07-22
COAL,20,0,12,2020-07-22
KIOWA,19,1,15,2020-07-22
MAJOR,18,1,16,2020-07-22
WOODS,15,0,11,2020-07-22
WASHITA,12,0,7,2020-07-22
COTTON,12,2,9,2020-07-22
ROGER MILLS,6,0,1,2020-07-22
GRANT,5,0,3,2020-07-22
HARMON,4,0,2,2020-07-22
DEWEY,4,0,4,2020-07-22
HARPER,2,0,2,2020-07-22
ELLIS,1,0,1,2020-07-22
ALFALFA,1,0,1,2020-07-22
CIMARRON,1,0,1,2020-07-22
