ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,993,38,32,117,126,132,142,142,114,91,59,0,0 to 118,49,566,419,8,993,0,0,36,739,2,260,5,277,715,0,1,992,247,30,0,0,135,142,0,277,10,13,40,40,37,39,35,19,22,22,0,0 to 100,44,198,17,22,40,39,172,66,15,0,5,0,0,0,277,142,135,277,0,0,2820,0,3103,2820,277,0,387,370,,1.42926667229121,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,4201,93,183,467,637,543,632,672,470,320,172,12,0 to 118,48,2528,1612,61,4193,8,0,195,3654,133,788,22,1050,3147,1,3,4189,611,439,0,0,528,496,26,1050,23,89,190,183,157,138,123,72,48,26,1,0 to 100,37,492,286,130,142,190,688,172,196,0,111,0,0,11,1050,496,528,1050,0,0,9151,8,10214,9159,1050,11,259,190,,2.24642787374222,0.19954202112213
3,3,62,123,TAYLOR,Taylor,FL,1147,36,39,125,179,159,155,186,157,80,27,4,0 to 118,47,651,472,24,1139,8,0,38,795,3,403,28,226,921,0,0,1139,190,34,2,0,122,102,0,224,0,9,43,51,37,31,28,12,12,3,0,5 to 91,37,106,80,24,14,29,174,21,40,0,12,0,0,2,226,102,124,224,2,0,2209,6,2443,2215,226,2,576,476,,2.58429378620819,0.251180544250225
4,4,46,091,OKALOOSA,Okaloosa,FL,8788,244,217,897,1402,1276,1145,1251,933,778,602,43,0 to 119,47,5189,3500,99,8631,156,1,321,7258,137,1015,103,2104,6660,0,24,8608,1942,137,20,5,1114,919,46,2079,28,70,391,450,335,272,241,153,94,67,3,0 to 103,38,1010,185,168,716,300,956,823,166,3,99,1,0,16,2104,931,1127,2078,25,1,20239,131,22503,20370,2104,16,1962,1531,,3.21429590024741,0.223073367593869
5,5,7,013,CALHOUN,Calhoun,FL,756,12,19,72,79,112,106,129,106,80,41,0,0 to 99,52,447,295,14,756,0,0,24,472,4,200,9,230,525,0,1,755,214,16,0,0,141,89,0,230,1,6,29,25,22,30,34,30,29,24,0,1 to 99,55,181,18,16,15,12,196,22,33,0,22,0,0,7,230,89,141,230,0,0,1653,0,1889,1653,230,7,418,356,,1.88103049327488,0.139649278946295
6,6,50,099,PALM BEACH,Palm Beach,FL,88133,1462,2350,7951,11913,11361,12583,14205,11967,8238,4477,1626,0 to 119,51,47791,40019,323,87241,890,2,5240,73056,465,16937,510,27506,60256,173,198,86875,27015,240,245,6,13873,13291,91,27255,461,1031,4040,5209,4518,4140,3484,2067,1419,1109,28,0 to 105,41,10024,4203,3898,9130,7619,9786,9850,3210,42,2336,27,15,709,27506,13423,13988,27253,251,2,193960,635,222557,194595,27506,709,7681,7416,,4.37197700721313,0.517626395458035
7,7,56,111,ST. LUCIE,St. Lucie,FL,13825,274,363,1138,1834,1855,2164,2274,1952,1250,683,38,0 to 119,51,7997,5552,276,13673,152,0,846,10822,188,2863,100,3896,9707,6,216,13451,3767,108,21,0,2120,1708,47,3875,68,163,525,700,639,639,493,340,192,131,6,0 to 104,42,1193,707,425,1550,719,1339,1817,352,2,269,2,1,87,3896,1719,2130,3875,21,0,29981,128,34051,30109,3896,87,2483,2468,,2.4043656096016,0.13681239009026
8,8,51,101,PASCO,Pasco,FL,18727,362,499,1819,2529,2645,2972,3069,2575,1547,681,29,0 to 119,49,10606,8036,85,18636,91,0,1016,14958,223,3641,180,5260,13413,2,52,18582,5117,117,25,1,2666,2533,35,5234,84,160,832,966,845,830,659,469,263,151,1,0 to 105,41,2989,334,569,1342,908,2654,1672,600,9,377,4,1,59,5260,2546,2679,5234,26,0,49466,65,54829,49531,5260,59,3621,3069,,2.21152384171728,0.18173091103068
9,9,20,039,GADSDEN,Gadsden,FL,3584,72,151,326,597,608,610,533,427,168,89,3,0 to 119,45,2371,1193,20,3563,20,1,85,3036,46,616,24,957,2626,1,0,3563,900,50,7,0,562,378,10,950,20,59,128,173,182,159,107,69,41,18,1,0 to 98,39,272,342,61,275,146,483,321,139,0,83,0,0,12,957,378,569,949,7,1,7824,13,8829,7837,957,12,643,448,,2.03339191693402,0.128633605861004
10,10,37,073,LEON,Leon,FL,15779,243,432,2610,2669,2247,2256,2366,1834,717,362,43,0 to 119,43,8226,7409,144,15512,266,1,543,13905,201,1534,125,3319,12439,2,19,15492,3212,43,61,3,1718,1512,25,3255,33,132,1246,655,401,332,299,138,49,23,11,0 to 105,27,926,961,203,1165,220,1425,1610,219,13,87,11,7,13,3319,1545,1749,3254,64,1,42989,200,46595,43189,3319,13,1469,1053,,2.42861632663576,0.170704044186268
