ï»¿OBJECTID,CNTYNAME,CNTYFIPS,ADPHDistrict,CONFIRMED,DIED,Shape__Area,Shape__Length,GlobalID,LabTestCount
46198,Autauga,01001,East Central,610,12,0.150198352049983,2.1379328255407,7147640d-4a20-42b9-8e8d-09ce206e2a17,4540
46199,Baldwin,01003,Southwestern,894,9,0.400159431601878,6.69300034847276,12afbf8b-00b5-4ab0-9f7f-d3df9607f118,17299
46200,Barbour,01005,Southeastern,353,2,0.223267704174077,2.69097505269632,f400d3c8-5b90-4b4e-adc2-2023c834f0a0,1961
46201,Bibb,01007,West Central,194,1,0.156476914356972,1.8951692775798,377de900-ec7e-461e-9844-cfdea9805368,2223
46202,Blount,01009,Northeastern,243,1,0.164406638341006,2.45274784751908,b7fa89e9-3ec9-47b0-bf14-d83d6f5fd38b,3420
46203,Bullock,01011,East Central,369,10,0.154671563531792,2.06480197165101,fc7fae0d-d3ed-413e-87b3-40fff1b16188,1361
46204,Butler,01013,Southeastern,634,28,0.191776547733298,1.83587954870993,76fb9d4e-b7fd-4bde-9c7b-dba6d7517218,2530
46205,Calhoun,01015,Northeastern,376,5,0.154366224232035,2.21070839394633,0cad63f5-be50-4a4d-8f6c-aef8d4b7930e,7313
46206,Chambers,01017,East Central,642,27,0.150563980768084,1.72306516183319,a14eb7dd-3b66-4493-9605-e45131d5a190,3340
46207,Cherokee,01019,Northeastern,102,7,0.151975822791428,1.89808177880757,68ea1212-e41c-4e82-9970-0bce3070aa1c,1436
46208,Chilton,01021,West Central,252,2,0.174837510280213,2.09165532433194,87638126-29e3-48bb-b345-8ed4299f6e3d,2937
46209,Choctaw,01023,Southwestern,195,12,0.227681129400253,2.68700551554037,ec87e3da-dcb5-45ff-9052-78b4b1946375,726
46210,Clarke,01025,Southwestern,277,6,0.308508819690587,3.78655552072513,31f0b49a-848c-460b-9c2f-984f97c676e4,2529
46211,Clay,01027,Northeastern,69,2,0.151874743437702,2.02332180215824,80c7378e-33f3-4c5e-9aef-6e22ec58fd89,840
46212,Cleburne,01029,Northeastern,38,1,0.141259985723536,2.17578212063938,5f9eda1f-81e6-4ab8-983b-14c7e0b6a61c,606
46213,Coffee,01031,Southeastern,381,2,0.167143203828118,1.67989540600381,eb406dfa-d13d-4f36-b7b2-f1bab3923af4,3915
46214,Colbert,01033,Northern,408,6,0.15857369348987,2.31239229125845,cb384ba3-8e76-4b4f-92b3-ba12379dfd8a,5069
46215,Conecuh,01035,Southwestern,210,7,0.209509978242295,2.59686142559656,3f9b3b42-2efe-4953-82cd-78ef40939ecd,1033
46216,Coosa,01037,East Central,59,1,0.16640708911109,1.7505584986585,86da2b0c-7a1b-4bec-af99-04a6cb99551c,542
46217,Covington,01039,Southeastern,370,7,0.255971892285061,2.38709591035509,f84d9903-310d-4722-99c4-5d9810871b1f,2902
46218,Crenshaw,01041,Southeastern,125,3,0.150571897113878,2.31806123117494,ffdf8f3f-0002-421f-bec4-6c22ff509ff5,1250
46219,Cullman,01043,Northern,459,4,0.191087821164047,2.50218505547441,48d53a34-890e-4bd7-95e5-36f8846666c7,6441
46220,Dale,01045,Southeastern,299,0,0.138259666605563,1.65151999951547,d07cfc31-37fe-4337-aba2-e0d94ada0358,3571
46221,Dallas,01047,Southwestern,891,9,0.246497505086154,3.13752996820932,a3384d74-cbd9-4c87-876f-b0a24035ce3a,5177
46222,DeKalb,01049,Northeastern,737,5,0.197848401841384,2.21695752803772,9975aa05-3f64-4571-82da-5ab70b0a7fb4,5345
46223,Elmore,01051,East Central,943,14,0.163505782545826,2.27519521591255,46a690aa-5b9b-4219-974d-175bd0281952,7166
46224,Escambia,01053,Southwestern,396,6,0.233446648119298,2.50306921694382,2def3a0a-05a8-4707-87bb-57b5a83f6872,2854
46225,Etowah,01055,Northeastern,750,13,0.138757597037284,2.10053621990475,e69a6e20-626a-411b-ba05-8e4673585d9c,9849
46226,Fayette,01057,West Central,71,1,0.158552104918499,1.83779224583562,c884283a-f066-43ac-8155-3bd7a0b50f38,1224
46227,Franklin,01059,Northern,898,14,0.164243463038702,1.78358559509712,fcf6dce4-4a31-4c0c-b16c-a42ae16d2732,4019
46228,Geneva,01061,Southeastern,83,0,0.141768015065281,1.83488097279248,08c912b0-50b5-454d-bb9e-185baf7f496f,1515
46229,Greene,01063,West Central,186,8,0.164666965815741,3.57766804402764,57f87b99-db2e-4af6-98e5-49fe9d22ee5e,997
46230,Hale,01065,West Central,314,21,0.163613340422671,2.4799010938001,a609092d-f7e4-4852-9c9f-491550986107,2367
46231,Henry,01067,Southeastern,136,3,0.139761467476774,1.63725823418183,42174459-a499-40d9-956f-1e58503b9c04,1413
46232,Houston,01069,Southeastern,507,4,0.142463779205855,2.10452810210549,89ddcb3e-b1bf-40dd-865d-15d7ae063cdd,9753
46233,Jackson,01071,Northern,284,2,0.287410215888713,2.67694940746419,a73eb118-b992-47a3-a6e3-265425244738,5090
46234,Jefferson,01073,Jefferson,5410,152,0.282606031405749,2.91318939557353,e7c6b897-e1ae-4e57-9082-499879ee00c1,76799
