ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,796,17,20,93,106,111,120,120,102,71,36,0,0 to 118,49,444,341,11,796,0,0,13,677,2,161,2,116,680,0,0,796,96,20,0,0,31,85,0,116,4,6,20,21,19,20,17,6,3,0,0,0 to 83,38,82,11,16,7,29,76,11,5,0,0,0,0,0,116,85,31,116,0,0,2354,0,2473,2354,116,0,216,199,39,,1.42926667229121,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,3753,79,141,400,549,469,577,615,447,302,162,12,0 to 118,49,2286,1390,77,3743,10,0,93,3369,133,425,22,550,3200,1,2,3740,297,251,1,1,265,244,39,548,11,49,111,97,78,73,58,42,22,8,1,0 to 98,35,244,194,40,70,86,351,111,77,0,42,0,0,6,550,245,266,548,2,0,6888,8,7447,6896,550,6,207,138,40,,2.24642787374222,0.19954202112213
3,3,62,123,TAYLOR,Taylor,FL,945,33,20,89,148,124,118,170,143,73,23,4,0 to 118,49,524,390,31,937,8,0,18,766,3,193,28,101,843,1,0,936,80,19,2,0,44,54,1,99,0,2,19,33,18,5,12,4,8,0,0,6 to 84,33,58,11,20,10,26,62,11,20,0,8,0,0,1,101,54,46,99,2,0,1466,6,1575,1472,101,1,258,156,32,,2.58429378620819,0.251180544250225
4,4,46,091,OKALOOSA,Okaloosa,FL,7561,171,170,653,1143,1095,992,1122,852,747,576,40,0 to 119,50,4541,2978,42,7413,147,1,200,6665,137,588,85,917,6642,0,2,7412,771,130,11,5,481,420,0,901,11,33,154,188,155,119,106,70,53,28,0,0 to 99,39,550,74,71,206,188,462,251,110,3,64,1,0,8,917,429,488,900,16,1,15095,131,16158,15226,917,8,1177,745,43,,3.21429590024741,0.223073367593869
5,5,7,013,CALHOUN,Calhoun,FL,571,5,4,47,56,82,81,98,87,72,39,0,0 to 99,56,341,213,17,571,0,0,8,447,4,80,5,97,474,0,0,571,81,16,0,0,66,31,0,97,0,0,10,11,7,7,9,11,21,21,0,15 to 99,71,70,12,6,9,9,74,14,14,0,9,0,0,6,97,31,66,97,0,0,896,0,996,896,97,6,167,105,78,,1.88103049327488,0.139649278946295
6,6,50,099,PALM BEACH,Palm Beach,FL,77147,1204,1862,6325,9841,9551,10870,12791,11140,7779,4176,1608,0 to 119,53,41967,34879,301,76344,801,2,3247,67087,465,10856,404,17244,59544,185,174,75990,16922,160,154,6,8513,8523,46,17082,298,624,2486,3173,2806,2518,2183,1342,1002,799,11,0 to 105,41,6699,2768,2496,5119,5336,6320,5426,2595,38,1897,24,14,543,17242,8611,8584,17080,160,2,144458,638,162591,145096,17242,543,5287,5022,44,,4.37197700721313,0.517626395458035
7,7,56,111,ST. LUCIE,St. Lucie,FL,11676,202,264,900,1474,1494,1812,1974,1784,1149,588,35,0 to 119,53,6734,4731,211,11529,147,0,598,9595,188,1988,87,2264,9317,6,89,11434,2166,86,12,0,1226,1014,12,2252,47,77,318,399,360,382,283,201,117,76,4,0 to 99,43,776,369,194,913,455,782,1015,271,1,199,2,1,53,2264,1020,1232,2252,12,0,22823,135,25234,22958,2264,53,1483,1468,46,,2.4043656096016,0.13681239009026
8,8,51,101,PASCO,Pasco,FL,16173,310,410,1470,2105,2239,2561,2724,2343,1392,589,30,0 to 119,50,9243,6857,73,16093,80,0,535,13981,223,1890,137,2850,13285,2,36,16055,2761,74,14,1,1431,1387,17,2835,49,84,517,559,476,438,334,246,108,39,0,0 to 99,39,1495,186,264,890,490,1299,1046,334,5,178,4,1,26,2850,1396,1437,2835,15,0,37221,65,40150,37286,2850,26,2638,2086,43,,2.21152384171728,0.18173091103068
9,9,20,039,GADSDEN,Gadsden,FL,3083,54,109,237,509,526,540,480,395,148,83,2,0 to 119,47,2113,958,12,3065,17,1,51,2729,46,430,17,468,2611,1,3,3062,452,12,4,0,311,153,0,464,5,23,44,87,100,86,51,39,21,12,0,0 to 98,41,167,174,25,98,63,289,112,101,0,70,0,0,7,468,153,315,463,4,1,5935,13,6428,5948,468,7,496,302,43,,2.03339191693402,0.128633605861004
10,10,37,073,LEON,Leon,FL,14283,200,353,2181,2398,2043,2081,2186,1764,686,348,43,0 to 119,44,7395,6737,151,14034,248,1,264,13153,201,954,104,1870,12401,2,10,14023,1807,17,45,1,936,859,29,1824,12,63,825,380,200,156,128,68,18,9,11,0 to 105,25,460,468,60,836,90,792,942,127,11,59,9,7,8,1870,882,959,1823,46,1,32864,202,35011,33066,1870,8,1017,598,30,,2.42861632663576,0.170704044186268
